 	avant	la	fin	de	la	tornade	l'	arc-en-ciel	est	apparu	</S>
a23	0.326316	0.218783	0.102096	0.0587343	0.05834	0.0671833	0.0670705	0.0361539	0.0192409	0.0190365	0.0270452
a87	0.273156	0.178181	0.119873	0.100311	0.0690877	0.0373288	0.0378355	0.0321611	0.039958	0.0532068	0.0589009
a23	0.125979	0.0821062	0.0767282	0.110108	0.112934	0.085516	0.0708538	0.0459089	0.059103	0.103238	0.127525
a79	0.122401	0.0996104	0.0973008	0.101045	0.072107	0.0352868	0.0343522	0.0297833	0.057607	0.140614	0.209893
a4	0.324299	0.252379	0.185156	0.0917138	0.0340068	0.0115611	0.0110225	0.00784708	0.0108595	0.0282432	0.0429116
a57	0.191102	0.222931	0.264059	0.162877	0.0759744	0.0273183	0.0189414	0.00954603	0.00823153	0.0102778	0.00874054
a53	0.112875	0.127241	0.172298	0.183988	0.15736	0.0951062	0.066909	0.0280043	0.0177468	0.0188536	0.0196175
a76	0.0854608	0.102897	0.143312	0.172821	0.156212	0.103009	0.0827911	0.0465467	0.0339459	0.0361432	0.0368609
a94	0.0915295	0.112668	0.147783	0.182871	0.166044	0.0936661	0.0804357	0.0518899	0.0318843	0.0215578	0.0196708
a32	0.0724253	0.0849138	0.125803	0.186407	0.193462	0.118884	0.08994	0.0458289	0.0304521	0.0256872	0.0261973
a20	0.0433203	0.0421449	0.071641	0.16716	0.250465	0.165141	0.115129	0.045809	0.0317309	0.0309441	0.0365152
a58	0.0574045	0.0592479	0.0743687	0.155634	0.247155	0.125532	0.0918876	0.0470692	0.0473145	0.043347	0.0510401
a76	0.0456597	0.0424093	0.0540042	0.127656	0.2204	0.14769	0.112926	0.0611503	0.0688761	0.0576942	0.0615347
a94	0.0563952	0.0530371	0.0630363	0.119271	0.226407	0.148412	0.108418	0.0584907	0.0632811	0.0536515	0.0496001
a32	0.0468437	0.0465105	0.0596138	0.0967094	0.169663	0.136014	0.110943	0.0674285	0.088335	0.084235	0.0937043
a24	0.043827	0.0446007	0.0570376	0.0887232	0.134678	0.123998	0.110697	0.0822583	0.105064	0.0970273	0.112089
a43	0.0279182	0.0277316	0.0367848	0.0593384	0.0908248	0.113739	0.12076	0.115372	0.14857	0.121756	0.137205
a75	0.0350945	0.0293239	0.0320276	0.0592514	0.106402	0.146256	0.180177	0.144675	0.105889	0.069723	0.0911806
a73	0.0554242	0.042979	0.0380075	0.0537217	0.0703602	0.0764636	0.0857383	0.079697	0.124606	0.162199	0.210804
a94	0.0354619	0.0273148	0.0257611	0.0379027	0.0582842	0.0758867	0.0995314	0.108913	0.147865	0.164499	0.218579
a26	0.0338489	0.0245734	0.0238941	0.0374331	0.0562184	0.0679165	0.0945013	0.120443	0.153013	0.161405	0.226753
a20	0.0224433	0.014225	0.0125176	0.0196335	0.0382612	0.0796807	0.119899	0.141111	0.163577	0.166355	0.222296
a73	0.0605321	0.037771	0.0269105	0.0290075	0.0324243	0.0314584	0.0410288	0.0625814	0.11943	0.206429	0.352427
a84	0.0263654	0.0167456	0.0140375	0.0188434	0.0264296	0.0342539	0.0555591	0.0914445	0.141895	0.205206	0.369221
a57	0.00978113	0.00759821	0.00787525	0.0102375	0.0157348	0.0267966	0.0503275	0.0885079	0.152205	0.224006	0.40693
a87	0.0207922	0.0136861	0.0110946	0.0098973	0.0114886	0.0175389	0.0291038	0.0447387	0.111744	0.239311	0.490605
a23	0.0142355	0.00989224	0.00938068	0.00767411	0.00925399	0.0136749	0.0199665	0.0247009	0.105069	0.25462	0.531532
a79	0.0126307	0.00977228	0.00981105	0.00733069	0.00673852	0.00924047	0.0137975	0.0206311	0.14916	0.302253	0.458635
a4	0.00860947	0.00603742	0.00690264	0.00637752	0.0064421	0.00851936	0.0101171	0.0138773	0.0859427	0.275036	0.572139
a58	0.0134245	0.0132256	0.0178835	0.0188559	0.0237007	0.0329101	0.0290323	0.0243548	0.104752	0.273809	0.448052
a53	0.00514237	0.00414418	0.00522627	0.00592706	0.00788898	0.0126757	0.0144912	0.0186188	0.103469	0.298418	0.523999
a94	0.0127178	0.00790545	0.00815585	0.0111973	0.0161321	0.0216809	0.026493	0.0305371	0.100879	0.241219	0.523083
a76	0.0129727	0.0107913	0.011772	0.0156406	0.0196321	0.0173511	0.0190335	0.0234695	0.0945038	0.241661	0.533173
a73	0.024872	0.0184516	0.0167066	0.0256522	0.0348085	0.0305204	0.0308802	0.0344361	0.0928401	0.207786	0.483046
a94	0.00934194	0.00708377	0.00687684	0.0106703	0.0157591	0.0160101	0.0190601	0.0246244	0.0851454	0.218731	0.586697
a53	0.00868308	0.0064125	0.00585735	0.00939516	0.0135614	0.0119826	0.0120106	0.0142902	0.0672716	0.223897	0.626639
a76	0.00870445	0.00577108	0.00476291	0.00804657	0.0125925	0.0137195	0.0139134	0.0176931	0.0730718	0.217453	0.624271
a94	0.0220035	0.0142757	0.00985944	0.0142308	0.018891	0.0154766	0.0156825	0.0188531	0.0670946	0.212868	0.590765
a76	0.00396131	0.00255965	0.00205445	0.00316204	0.0050913	0.00600159	0.00689732	0.0105172	0.0537425	0.222805	0.683208
a90	0.0198545	0.0125908	0.00882932	0.0117617	0.0159812	0.0150914	0.0158401	0.019213	0.0792519	0.239026	0.56256
a57	0.0045438	0.00299345	0.00245143	0.00354649	0.00544251	0.00629123	0.00733706	0.0112078	0.0535282	0.209542	0.693116
a82	0.00455359	0.0026015	0.00167206	0.00173305	0.00255031	0.00349346	0.00448634	0.00746628	0.0473116	0.226659	0.697472
a10	0.00832479	0.00393373	0.00218724	0.00164394	0.0018521	0.00336367	0.00627042	0.0143858	0.0907042	0.273878	0.593456
a11	0.00790284	0.00478692	0.00282475	0.00161373	0.00135544	0.00175863	0.00324384	0.0112344	0.0947909	0.276444	0.594045
a94	0.00743702	0.00506067	0.00338103	0.00178419	0.00126573	0.0015624	0.00255783	0.010858	0.106267	0.304686	0.55514
a4	0.00891396	0.00624846	0.00452404	0.00246987	0.00199552	0.00252857	0.00410744	0.00950238	0.0930306	0.276119	0.59056
a57	0.0169782	0.0109488	0.0060678	0.00374637	0.00324232	0.00298846	0.00400097	0.00791219	0.0680828	0.25911	0.616922
a3	0.0114604	0.00665589	0.0037395	0.00239212	0.0022519	0.00280716	0.00384033	0.00762017	0.0643648	0.261103	0.633765
a87	0.0117054	0.00760863	0.00508206	0.00277269	0.00211953	0.00257907	0.0043467	0.0119314	0.0999418	0.278442	0.573471
</S>	0.0236626	0.015199	0.0111522	0.00567438	0.00329443	0.00336068	0.00452835	0.0148747	0.08852	0.272488	0.557245
