 	range-moi	cet	habit	dans	le	sac	</S>
a57	0.258889	0.202276	0.225944	0.146693	0.0775092	0.0477486	0.0409408
a10	0.424477	0.243134	0.10245	0.0729525	0.047119	0.0476061	0.0622606
a87	0.572283	0.125249	0.0510082	0.0320685	0.0386392	0.0684027	0.11235
a23	0.622689	0.127745	0.0587522	0.0352396	0.0349963	0.0475152	0.0730633
a87	0.615704	0.199403	0.0685017	0.0394081	0.0262115	0.0222596	0.0285119
a23	0.526283	0.215027	0.0833712	0.0531163	0.0404586	0.0340241	0.04772
a38	0.581706	0.203136	0.0695356	0.047199	0.0330806	0.0250422	0.0403009
a94	0.623509	0.184831	0.0684859	0.032735	0.0262669	0.029879	0.0342931
a43	0.647856	0.208375	0.064591	0.0213896	0.0146155	0.019473	0.0236993
a11	0.489851	0.240656	0.126219	0.0473639	0.0292502	0.0301452	0.0365153
a75	0.401438	0.245773	0.166195	0.0632115	0.0383646	0.0381563	0.0468619
a25	0.366281	0.24408	0.188846	0.0747575	0.0388404	0.0379209	0.0492747
a56	0.326418	0.269181	0.193241	0.083987	0.0426025	0.0384517	0.0461195
a43	0.277195	0.248475	0.210272	0.0838113	0.0517145	0.0550394	0.0734931
a25	0.202491	0.19134	0.230773	0.0939316	0.0667751	0.0893243	0.125366
a56	0.151561	0.144464	0.229423	0.12509	0.0945192	0.107619	0.147325
a75	0.129024	0.112872	0.188496	0.122774	0.109313	0.137744	0.199777
a47	0.0715195	0.0559356	0.109584	0.108238	0.147322	0.211279	0.296122
a7	0.0776946	0.0607902	0.130567	0.111767	0.124881	0.187976	0.306323
a40	0.0697979	0.047714	0.10442	0.121344	0.134697	0.170933	0.351094
a47	0.0466916	0.0306842	0.0559983	0.0785834	0.13665	0.231174	0.420218
a37	0.0390049	0.0303813	0.0584079	0.0869537	0.134921	0.221521	0.42881
a6	0.0339209	0.0199372	0.0406599	0.0741422	0.133605	0.223793	0.473942
a37	0.0252852	0.0158185	0.0349959	0.0684961	0.134166	0.248066	0.473172
a96	0.0129868	0.00760199	0.0209891	0.0449761	0.10964	0.251818	0.551988
a0	0.00778863	0.00494593	0.0114212	0.0287869	0.0876177	0.255091	0.604348
a75	0.00172137	0.00135761	0.00255561	0.0111634	0.0638988	0.245513	0.67379
a37	0.00601641	0.00429343	0.0103512	0.0296305	0.0937897	0.26467	0.591249
a26	0.000923424	0.000755158	0.00167395	0.00675293	0.0453361	0.226615	0.717944
a61	0.0107645	0.00678726	0.00770469	0.0249523	0.0947597	0.258285	0.596747
a96	0.00140135	0.000934858	0.00137768	0.00559793	0.0345743	0.18638	0.769734
a66	0.00208137	0.00141993	0.00212848	0.00787977	0.0417883	0.193444	0.751258
a38	0.0146323	0.00636307	0.00671797	0.0228649	0.0847161	0.250346	0.61436
a10	0.0191335	0.00840173	0.00753753	0.0226104	0.0788996	0.244353	0.619064
a87	0.0650302	0.035907	0.0320064	0.0730934	0.148655	0.249096	0.396213
a23	0.223479	0.075396	0.0422029	0.06054	0.100187	0.176965	0.321231
a87	0.0675913	0.0272649	0.0215759	0.0491067	0.11372	0.246388	0.474353
a23	0.0202576	0.0102948	0.012056	0.0338203	0.0973093	0.272368	0.553894
a97	0.0300376	0.0146661	0.018738	0.0465698	0.108801	0.271672	0.509516
</S>	0.028811	0.0137591	0.0180383	0.0381396	0.0869281	0.251457	0.562867
