 	on	ne	refuse	pas	de	têter	même	quand	sa	mère	a	une	plaie	au	sein	</S>
a66	0.0268057	0.0200184	0.0184846	0.0320723	0.0812787	0.110017	0.106771	0.0947992	0.0832062	0.105462	0.104933	0.119923	0.0753407	0.0191873	0.00112647	0.000574406
a87	0.17471	0.109693	0.0862928	0.100344	0.105605	0.107731	0.0669164	0.0431642	0.0401031	0.0383619	0.0318031	0.0347487	0.0336355	0.019202	0.00443854	0.00325155
a23	0.203624	0.139505	0.115905	0.0702528	0.0710381	0.0743429	0.0467062	0.0390369	0.0458902	0.0434816	0.0390387	0.0448674	0.0393271	0.019452	0.00362275	0.00390982
a83	0.155486	0.158863	0.198861	0.0852512	0.074759	0.0631369	0.0438077	0.0383858	0.0384061	0.029911	0.0234304	0.022007	0.0240328	0.0217947	0.0137112	0.00815615
a75	0.08207	0.0891141	0.0912193	0.0624399	0.0866938	0.105611	0.081682	0.0617785	0.0485703	0.0419682	0.0393539	0.0522869	0.070476	0.0564272	0.0204399	0.00986932
a5	0.107881	0.119165	0.108772	0.0755631	0.0744732	0.0924009	0.0621157	0.0412202	0.0254117	0.020327	0.0230786	0.0363387	0.0723387	0.0882342	0.0428773	0.00980407
a75	0.104302	0.159204	0.152186	0.0988834	0.0863609	0.0910632	0.0586773	0.0380775	0.0238721	0.0179147	0.0183143	0.0202109	0.0362889	0.0513911	0.0389843	0.00426886
a85	0.0816836	0.134057	0.128378	0.0897037	0.0854415	0.0985333	0.0679043	0.0503958	0.0359448	0.029973	0.031667	0.0310254	0.0440923	0.0563113	0.0298664	0.00502323
a92	0.0858133	0.137469	0.138559	0.0908329	0.0761611	0.072832	0.0544376	0.0468886	0.0373781	0.0342844	0.0369029	0.0313811	0.0355909	0.0452651	0.0509289	0.0252752
a37	0.136711	0.164989	0.157529	0.0942195	0.0785518	0.0703377	0.0478499	0.0393406	0.0336075	0.03013	0.0284968	0.0220447	0.0208646	0.0207396	0.0304931	0.0240963
a93	0.078641	0.11002	0.147576	0.118064	0.106605	0.089076	0.0670559	0.0559539	0.0468777	0.0405576	0.0354128	0.0238969	0.0211818	0.0187051	0.0216687	0.0187075
a4	0.0463489	0.0637316	0.10846	0.128418	0.118001	0.100339	0.0773872	0.0675523	0.0553812	0.0459247	0.0393599	0.0243714	0.0218524	0.0195564	0.0404073	0.0429087
a54	0.0251194	0.0338112	0.0640647	0.1139	0.119369	0.117277	0.091396	0.0809524	0.0675306	0.055719	0.0486891	0.0287555	0.0241714	0.0204477	0.0431976	0.0655993
a85	0.00980402	0.0120712	0.0218425	0.0416742	0.0638778	0.0794441	0.0870751	0.0879197	0.0786463	0.0813776	0.0781977	0.0613554	0.048163	0.0383363	0.0873325	0.122883
a6	0.00858852	0.0106724	0.0210333	0.0495119	0.0531322	0.0470117	0.0500402	0.0541668	0.0473389	0.0504514	0.0555722	0.0547113	0.0502324	0.0447012	0.142276	0.26056
a37	0.00586874	0.00735815	0.0194004	0.0564747	0.0739485	0.0709653	0.0837313	0.0894267	0.0798413	0.0789587	0.074877	0.0590121	0.0407543	0.0333119	0.0863575	0.139714
a61	0.00647214	0.00794439	0.0186364	0.0589793	0.0912763	0.0991856	0.102513	0.097292	0.0923402	0.0829447	0.0740807	0.0462066	0.0284006	0.0188518	0.0549393	0.119937
a62	0.00946742	0.0108306	0.0190924	0.0497004	0.075791	0.0909587	0.100218	0.103882	0.0967661	0.0931605	0.0835629	0.0529334	0.0328405	0.018982	0.0580552	0.103759
a12	0.00734242	0.00930319	0.0182264	0.0423247	0.0598412	0.079715	0.0956868	0.0964063	0.0932387	0.0807975	0.0729487	0.044953	0.0287935	0.0187708	0.0776816	0.17397
a56	0.00905098	0.0110675	0.018493	0.0349061	0.0472228	0.0621588	0.0805191	0.0862523	0.0791849	0.08122	0.0769668	0.0563903	0.0380933	0.0225275	0.0876307	0.208316
a93	0.0053782	0.0062973	0.0105563	0.0226052	0.0310867	0.0408487	0.0558789	0.0623898	0.0588546	0.0635529	0.060937	0.0461287	0.0319012	0.020934	0.128418	0.354233
a4	0.00350157	0.00387747	0.0069872	0.0164684	0.0244886	0.0344744	0.0489749	0.055159	0.0524767	0.0575306	0.0577728	0.0447212	0.0340368	0.026894	0.150896	0.381741
a13	0.0032157	0.00315317	0.00496423	0.0121667	0.0187245	0.0257252	0.0377211	0.0414393	0.0415181	0.0467279	0.0479185	0.0405415	0.0344085	0.0302155	0.15615	0.45541
a11	0.00441302	0.00438987	0.00602918	0.0133707	0.0227458	0.0268524	0.0405879	0.042456	0.0443495	0.0515326	0.0487781	0.0426325	0.029794	0.0221808	0.0990135	0.500874
a56	0.00589527	0.00581784	0.00698822	0.0136721	0.0239432	0.0297825	0.0461446	0.0490733	0.0525263	0.064608	0.0629812	0.0609402	0.0416579	0.0319623	0.0862316	0.417776
a92	0.00193898	0.00164117	0.00219053	0.00534377	0.00846745	0.0112024	0.0160513	0.0182395	0.0178502	0.0214952	0.0237316	0.0242585	0.0229527	0.0307907	0.180998	0.612848
a56	0.000542041	0.000550911	0.000894335	0.00213878	0.0032925	0.0043997	0.008128	0.0107204	0.00987683	0.0108302	0.0119965	0.00985729	0.00937947	0.0177203	0.202128	0.697544
a93	0.000623675	0.00054767	0.000787388	0.00182807	0.00281683	0.00400992	0.00739098	0.00832882	0.00840507	0.00913576	0.00960874	0.00788774	0.00758276	0.0149483	0.178782	0.737316
a4	0.000835436	0.000712384	0.00101212	0.00242701	0.00380513	0.00516256	0.00872843	0.00977685	0.00972506	0.00997612	0.00987395	0.00790246	0.00714067	0.0139524	0.182119	0.726851
a90	0.000992117	0.000725626	0.00092113	0.0023707	0.00306062	0.00374787	0.00612772	0.00666873	0.0072101	0.00767657	0.00786299	0.00657985	0.00580069	0.0115836	0.129417	0.799254
