 	les	herbes	sont	encore	couvertes	de	rosée	</S>
a66	0.347617	0.2797	0.180438	0.0956415	0.0467942	0.0301322	0.0144498	0.00522844
a87	0.404565	0.192874	0.137563	0.0999988	0.0746699	0.0606174	0.0207914	0.00892033
a23	0.338291	0.213364	0.186464	0.129679	0.0795076	0.0246956	0.0193799	0.00861902
a35	0.179627	0.177756	0.226596	0.134332	0.116574	0.0598541	0.0651238	0.0401375
a5	0.208658	0.200832	0.188247	0.0932863	0.0599065	0.0554494	0.114473	0.0791478
a43	0.134849	0.170199	0.156226	0.119109	0.0879911	0.115324	0.169292	0.0470084
a75	0.139395	0.214415	0.195428	0.120144	0.0853822	0.083846	0.115817	0.0455727
a47	0.108205	0.145738	0.180565	0.18762	0.10989	0.121905	0.118443	0.0276334
a37	0.0460995	0.0571336	0.0702194	0.0741111	0.0745742	0.167589	0.337324	0.172949
a36	0.0234701	0.0110665	0.0098861	0.011586	0.0204948	0.0887312	0.382886	0.451879
a2	0.0287788	0.0130207	0.00925097	0.0123841	0.0252899	0.0731101	0.333685	0.50448
a57	0.0596	0.0321245	0.0209799	0.0376752	0.04523	0.0843242	0.250083	0.469983
a87	0.124053	0.047577	0.0419154	0.0840933	0.0686147	0.0948076	0.18422	0.354719
a23	0.173793	0.101961	0.144605	0.188889	0.0966572	0.0805731	0.128753	0.084769
a87	0.0960542	0.0569908	0.0959907	0.137413	0.116723	0.111908	0.203078	0.181843
</S>	0.046389	0.0248058	0.0293271	0.0603323	0.0568277	0.125595	0.355294	0.301429
