 	on	a	augmenté	le	prix	du	manioc	à	oyo	</S>
a66	0.247625	0.189558	0.143617	0.117453	0.103543	0.0982699	0.0535449	0.0264923	0.0108629	0.009033
a87	0.339913	0.185103	0.114948	0.0771485	0.0493929	0.0442843	0.037979	0.0338407	0.0483079	0.069083
a23	0.336686	0.177459	0.101209	0.0599581	0.0516009	0.0560689	0.052641	0.0381612	0.0494232	0.0767927
a40	0.278667	0.165254	0.102324	0.0646521	0.0448384	0.0553514	0.059357	0.0555297	0.0568472	0.11718
a37	0.236436	0.207294	0.145644	0.0898917	0.0761896	0.0737355	0.05682	0.0425559	0.0361052	0.0353287
a61	0.194989	0.301711	0.267205	0.101319	0.050535	0.0346149	0.0183183	0.0142157	0.00899719	0.00809409
a88	0.168216	0.259379	0.25359	0.124265	0.0665654	0.0474874	0.0321822	0.0249183	0.0142559	0.00914039
a62	0.14469	0.229433	0.22707	0.141076	0.080331	0.0594263	0.0439684	0.0305092	0.0236638	0.0198317
a47	0.104724	0.171268	0.197867	0.156366	0.102222	0.0826794	0.0612626	0.0426624	0.0395738	0.0413749
a31	0.0935072	0.136849	0.16675	0.141149	0.103185	0.090875	0.0673737	0.0568593	0.0635752	0.0798762
a43	0.0806001	0.122839	0.175806	0.172605	0.138683	0.122655	0.085352	0.0438996	0.0271358	0.0304248
a75	0.0463728	0.0685901	0.12649	0.16359	0.156137	0.160241	0.124343	0.0679155	0.0393756	0.0469452
a47	0.0416461	0.0642115	0.128512	0.156259	0.120085	0.107801	0.104217	0.0938041	0.0719696	0.111494
a36	0.0380187	0.0463018	0.0926315	0.151554	0.143447	0.143552	0.123893	0.0884575	0.0592907	0.112854
a44	0.0272878	0.0296324	0.0534402	0.121339	0.169468	0.212804	0.163419	0.0844891	0.050465	0.087655
a13	0.0247719	0.0269306	0.0447432	0.0911696	0.127271	0.169099	0.159418	0.101354	0.0837653	0.171477
a38	0.0220414	0.0229877	0.0354085	0.0722926	0.112032	0.164244	0.166701	0.111701	0.0950057	0.197586
a70	0.0138284	0.013862	0.0200913	0.0372455	0.0649636	0.118363	0.16852	0.162195	0.138773	0.262158
a96	0.0110978	0.0115757	0.018639	0.0314172	0.0494689	0.0976532	0.160171	0.187642	0.161948	0.270388
a75	0.0115801	0.0116966	0.0177684	0.0277909	0.0433528	0.0849034	0.143268	0.167275	0.165168	0.327197
a92	0.00337101	0.00332114	0.00588749	0.0142981	0.0235664	0.0457892	0.099015	0.157255	0.224445	0.423052
a37	0.00377958	0.00364822	0.00611373	0.0130433	0.0213689	0.0434222	0.0999095	0.18177	0.222441	0.404504
a12	0.00354176	0.00352324	0.00592696	0.0115232	0.0188486	0.0363912	0.0685434	0.12028	0.216099	0.515324
a96	0.0020263	0.00191648	0.00326507	0.00673958	0.0106421	0.0213761	0.0426692	0.0872032	0.234083	0.590079
a66	0.00100897	0.00099468	0.00170277	0.00341233	0.00525343	0.0105532	0.0214265	0.0479495	0.231728	0.67597
a53	0.000386506	0.000357474	0.000468772	0.000748836	0.00125027	0.0024579	0.00568005	0.01971	0.266091	0.702849
a90	0.000358171	0.000322218	0.000489507	0.000927077	0.00156393	0.00330394	0.00734067	0.0204999	0.245579	0.719615
a32	0.000116006	0.000105288	0.000192376	0.000541663	0.00105906	0.00282991	0.00815066	0.0228278	0.241827	0.722351
a93	0.000171436	0.000144797	0.000220552	0.000520191	0.00110701	0.00218105	0.00602153	0.0233419	0.272667	0.693624
a4	0.000205784	0.000177167	0.000241306	0.000513291	0.00113043	0.00234225	0.00637378	0.0255698	0.283323	0.680124
a70	0.000283269	0.000261095	0.000424568	0.000956117	0.00184126	0.00349842	0.00853294	0.0317888	0.303382	0.649032
a50	0.000246674	0.000222132	0.00036039	0.000826586	0.00169184	0.00317331	0.00764471	0.0287752	0.325257	0.631803
a93	0.000519549	0.000457708	0.000674032	0.00143987	0.00297623	0.0052369	0.0106413	0.0322874	0.31448	0.631288
a13	7.01554e-05	6.70914e-05	0.000108389	0.000256082	0.000492188	0.00100039	0.00269427	0.0121937	0.252102	0.731016
a9	0.000305432	0.000303749	0.00047579	0.00107321	0.00226129	0.00378717	0.00847757	0.0277276	0.293869	0.661719
a99	0.00368625	0.00338453	0.00455297	0.00797565	0.014661	0.0206812	0.0346508	0.0632568	0.288436	0.558715
a87	0.00430179	0.00386861	0.00485391	0.00719982	0.011222	0.0155922	0.0292486	0.0623525	0.278641	0.582719
</S>	0.319439	0.114732	0.0628994	0.0491838	0.0526775	0.0574841	0.0585266	0.0643794	0.0834205	0.137257
