 	ces	enfants	ont	brûlé	la	maison	</S>
a66	0.295482	0.179749	0.140771	0.100568	0.0960479	0.0960023	0.0913803
a87	0.188339	0.141949	0.0986009	0.104898	0.128518	0.177744	0.159952
a23	0.396594	0.240372	0.0958249	0.0697479	0.0631241	0.0731883	0.061149
a54	0.375366	0.231528	0.0946108	0.0781491	0.0702595	0.0779337	0.0721529
a6	0.446491	0.231374	0.112643	0.0752251	0.0536169	0.0409092	0.0397407
a37	0.305308	0.230082	0.169231	0.116573	0.0809013	0.0540809	0.0438242
a98	0.301695	0.24205	0.181803	0.101245	0.0689861	0.0563134	0.0479073
a85	0.225305	0.221862	0.20156	0.127996	0.0974428	0.0702512	0.0555815
a6	0.139391	0.176774	0.199854	0.142233	0.124171	0.104843	0.112734
a37	0.103793	0.14475	0.194728	0.158948	0.13849	0.123405	0.135886
a61	0.0699664	0.0931054	0.135735	0.145749	0.162689	0.174432	0.218324
a34	0.0270586	0.0346156	0.0548265	0.0863687	0.15705	0.25059	0.389491
a43	0.0161246	0.0216065	0.0380862	0.072877	0.145255	0.258894	0.447157
a75	0.0126772	0.0172933	0.029364	0.0604191	0.124514	0.241095	0.514637
a5	0.00632507	0.00867802	0.0155822	0.0349925	0.0752118	0.190966	0.668244
a61	0.010674	0.0141832	0.0220245	0.0452322	0.0926381	0.215386	0.599862
a62	0.00781438	0.00992554	0.0144821	0.0332431	0.0762906	0.215964	0.642281
a88	0.00628917	0.00751809	0.0112695	0.0277861	0.0719229	0.220867	0.654347
a71	0.00526936	0.00552151	0.00813216	0.0226757	0.068775	0.213072	0.676554
a9	0.0266086	0.0298613	0.0380683	0.0630661	0.110236	0.212392	0.519768
a97	0.0689243	0.0690108	0.0710542	0.0832899	0.119128	0.197708	0.390885
a99	0.154187	0.121851	0.0902078	0.0845262	0.10001	0.15899	0.290228
a97	0.166995	0.122205	0.0776471	0.0736953	0.0928461	0.162613	0.303999
</S>	0.15005	0.102193	0.0603325	0.0541512	0.0734367	0.164781	0.395055
