 	adzoona	est	en	train	de	racler	avec	ses	dents	le	noyau	de	la	mangue	</S>
a66	0.250177	0.24543	0.20678	0.12937	0.0796942	0.0280504	0.017091	0.0132719	0.0130783	0.00646524	0.00423559	0.00212301	0.00137374	0.00121057	0.00165034
a87	0.480949	0.191932	0.12057	0.0540956	0.0316276	0.0202929	0.0126577	0.0111928	0.00972366	0.00692911	0.00736204	0.00897646	0.0101473	0.0124203	0.0211237
a10	0.201654	0.157684	0.14362	0.108515	0.0838809	0.0625584	0.0448779	0.0390195	0.0367073	0.0347258	0.0284241	0.0155065	0.013855	0.0116092	0.0173631
a87	0.141135	0.182777	0.172489	0.129204	0.0987502	0.0570051	0.0380092	0.0303165	0.0293911	0.029309	0.02958	0.0186542	0.0165979	0.0127189	0.0140627
a97	0.104502	0.137306	0.128594	0.101996	0.0746835	0.0505688	0.0439197	0.0425124	0.0493882	0.056629	0.064421	0.0424972	0.0398958	0.0301971	0.0328897
a40	0.110088	0.154925	0.144951	0.0961309	0.0727283	0.0566231	0.0452987	0.0433919	0.0501621	0.0556848	0.0582169	0.0344443	0.0307748	0.0230692	0.0235113
a6	0.345485	0.270766	0.158633	0.0737802	0.0303853	0.0150402	0.0113269	0.00953477	0.0130605	0.0122212	0.0145791	0.0106226	0.0107366	0.0105863	0.0132423
a36	0.385532	0.189903	0.103205	0.0631303	0.0483226	0.0389987	0.0311527	0.0208446	0.0201322	0.0171702	0.0189221	0.0173914	0.0152821	0.0140952	0.0159173
a37	0.250662	0.134674	0.0948051	0.0771928	0.0739894	0.0673636	0.0644378	0.046108	0.0410535	0.0290224	0.0291636	0.0269071	0.0218721	0.0200362	0.0227129
a93	0.128963	0.0850426	0.0744083	0.076008	0.0904085	0.0983443	0.1053	0.0786569	0.0689301	0.0533554	0.0464477	0.0341485	0.023564	0.019168	0.0172546
a54	0.124026	0.083192	0.0702736	0.0760214	0.0868901	0.0850566	0.0980967	0.0776459	0.0733426	0.059483	0.057548	0.0388588	0.0278882	0.0227151	0.0189619
a15	0.0904981	0.0736537	0.0744457	0.0801483	0.0750973	0.0615761	0.0770485	0.0735959	0.0805126	0.0549378	0.0565736	0.0583676	0.0480287	0.046634	0.0488821
a44	0.0856551	0.0889396	0.0966448	0.106966	0.101693	0.0803604	0.0828809	0.0646816	0.0601715	0.0412319	0.0385245	0.042217	0.0354327	0.0357792	0.038822
a90	0.066361	0.0665183	0.0785843	0.078462	0.0816543	0.0865585	0.0972799	0.0817419	0.0733801	0.0610424	0.0533805	0.0496966	0.0409912	0.0415665	0.0427826
a25	0.064231	0.0518721	0.0559749	0.0569706	0.0586633	0.0726152	0.0825161	0.0768636	0.0787092	0.0762476	0.0777953	0.0772448	0.060073	0.0566684	0.0535548
a98	0.0318558	0.022494	0.0281975	0.0372429	0.0429552	0.0652669	0.0790773	0.0743264	0.0737936	0.0670082	0.0746338	0.104713	0.095074	0.10286	0.100501
a15	0.0196256	0.0182034	0.0271055	0.03844	0.0469447	0.0757273	0.0908579	0.0805841	0.0776383	0.0657111	0.0679844	0.10104	0.09387	0.100086	0.096181
a79	0.00948869	0.0113548	0.0230978	0.0402415	0.055546	0.0856206	0.0978867	0.086626	0.0839483	0.0744017	0.0725913	0.0945103	0.0855404	0.0901297	0.0890163
a44	0.00857145	0.00945721	0.0177436	0.0304071	0.0419674	0.0734926	0.0859035	0.0768178	0.0752604	0.0743153	0.0762435	0.102699	0.101356	0.11371	0.112055
a53	0.00879102	0.00946456	0.0177097	0.0304245	0.0538212	0.092701	0.117568	0.10139	0.0937751	0.0852152	0.0713217	0.0830529	0.0757102	0.0808209	0.0782333
a90	0.00709272	0.00639562	0.0103996	0.0174321	0.0334883	0.0754176	0.091244	0.0816166	0.0772386	0.0762199	0.0724094	0.103536	0.112207	0.121824	0.113478
a98	0.00259769	0.00241589	0.00376499	0.00747473	0.0180716	0.0641214	0.0879763	0.0881673	0.0885374	0.0960792	0.084773	0.111096	0.11547	0.120882	0.108572
a47	0.00156245	0.00151706	0.00270099	0.00610591	0.0133346	0.0447319	0.0649491	0.0697727	0.0703074	0.0680055	0.0635953	0.103425	0.136629	0.174215	0.179149
a36	0.00125228	0.00116453	0.00194601	0.00427659	0.00995711	0.031667	0.0487252	0.0552405	0.0635262	0.0658685	0.0683768	0.111411	0.146506	0.1892	0.200883
a2	0.00180198	0.00201664	0.00309563	0.00546232	0.0110857	0.0425306	0.0620217	0.0657473	0.0669324	0.0776634	0.0880363	0.120541	0.137339	0.156746	0.15898
a44	0.00103522	0.000972107	0.00130274	0.00237536	0.00396224	0.0170227	0.0256994	0.0279316	0.0305033	0.0542682	0.0721634	0.136142	0.173334	0.209101	0.244186
a4	0.00147848	0.00150146	0.00206587	0.00320351	0.00471713	0.0192605	0.0268061	0.030113	0.0307418	0.0489067	0.0686108	0.127229	0.180417	0.221091	0.233858
a44	0.00114955	0.00118151	0.00161992	0.00212458	0.00348914	0.0177173	0.0246281	0.0272527	0.0258985	0.0395889	0.0548377	0.110082	0.184519	0.248109	0.257803
a13	0.000842563	0.00086048	0.00115664	0.00150602	0.00239765	0.0116491	0.0167992	0.019236	0.0187064	0.0306998	0.0447385	0.100504	0.186124	0.268969	0.295811
a11	0.000298891	0.000304329	0.000432982	0.000646857	0.000968898	0.00348271	0.00538167	0.00695697	0.00789872	0.0143244	0.0223768	0.0634685	0.150571	0.274139	0.448748
a12	0.000401581	0.000362776	0.000468804	0.000723223	0.00103844	0.00361165	0.00532652	0.00721182	0.00811081	0.0147825	0.0220577	0.0589322	0.143556	0.280026	0.45339
a18	0.000287895	0.0002479	0.000327849	0.000483362	0.000746414	0.00312189	0.00477333	0.00652155	0.00774171	0.0120525	0.0204672	0.0546271	0.131507	0.27242	0.484674
a54	0.000374895	0.000255845	0.000374065	0.00069934	0.001118	0.00362266	0.00553639	0.00809905	0.0104862	0.0187535	0.0259295	0.0633899	0.144344	0.285865	0.431151
a7	9.21335e-05	7.12017e-05	0.000120738	0.000248879	0.000400505	0.00153371	0.00250549	0.00345255	0.00447477	0.00760551	0.0155408	0.0495298	0.130924	0.282524	0.500976
a79	0.00023776	0.000152261	0.000247307	0.000534947	0.000833943	0.00258404	0.00390576	0.00596362	0.00831194	0.0167217	0.0230279	0.0586702	0.142077	0.288801	0.44793
