 	je	me	suis	abrité	de	la	pluie	dans	la	maison	de	mon	ami	</S>
a66	0.180343	0.143538	0.0936086	0.0865516	0.0486968	0.0667621	0.0776662	0.084603	0.0759853	0.0570175	0.0359082	0.0216032	0.0147974	0.0129196
a97	0.343297	0.198365	0.0870057	0.0411203	0.0386163	0.0364668	0.039097	0.0426061	0.0391167	0.0381846	0.0294174	0.0249893	0.0221325	0.0195851
a87	0.149457	0.131371	0.118741	0.142787	0.129709	0.0916142	0.0561221	0.0429943	0.0375763	0.0357592	0.0220947	0.0153934	0.0134849	0.0128956
a23	0.0941391	0.0892676	0.0996933	0.194762	0.188758	0.113313	0.0631162	0.0451269	0.0327999	0.0291191	0.0170407	0.012266	0.0102727	0.0103251
a97	0.112629	0.106427	0.136155	0.292149	0.147621	0.0685179	0.0291455	0.0237969	0.0180868	0.0185916	0.0133559	0.0110769	0.0105069	0.0119411
a99	0.134709	0.121245	0.142456	0.246904	0.123108	0.064215	0.0332813	0.0293629	0.0232415	0.0218096	0.0165558	0.014496	0.013344	0.0152715
a13	0.204483	0.196289	0.181479	0.182366	0.0790928	0.0405604	0.0221126	0.0190754	0.0159096	0.0140258	0.0117957	0.0107616	0.0104852	0.0115638
a50	0.184677	0.20166	0.218533	0.249292	0.0657613	0.0254757	0.0123163	0.00990181	0.00790706	0.00676483	0.00529834	0.00461332	0.00394598	0.00385218
a62	0.118526	0.152716	0.196948	0.322802	0.104402	0.0400824	0.0167317	0.012673	0.00938481	0.00764668	0.00583079	0.00489596	0.00394256	0.003418
a96	0.11586	0.154204	0.200105	0.263812	0.137705	0.0606656	0.020262	0.0130826	0.00876531	0.0068689	0.00539689	0.00475631	0.00442578	0.00409117
a43	0.0959068	0.148396	0.221501	0.267849	0.138511	0.059998	0.0204554	0.0129297	0.00865792	0.00679251	0.00538025	0.00480248	0.00455744	0.00426256
a94	0.0940855	0.137098	0.18654	0.230417	0.168919	0.0846279	0.0313986	0.0174733	0.011445	0.0091121	0.00788188	0.00751818	0.0070502	0.00643279
a96	0.0932116	0.138438	0.204086	0.226604	0.160449	0.081174	0.0343001	0.0184027	0.0109548	0.00780179	0.00662444	0.00620763	0.00599061	0.0057563
a35	0.0817083	0.113673	0.178167	0.229745	0.181269	0.0874139	0.0431918	0.0239218	0.0146599	0.0101298	0.00882865	0.00880135	0.00905856	0.00943206
a94	0.0506552	0.0813747	0.130788	0.182234	0.20228	0.118448	0.0773195	0.0482722	0.0305345	0.0191829	0.0146626	0.0142999	0.0145207	0.015428
a90	0.0413256	0.0565007	0.0864416	0.144821	0.197393	0.137331	0.0999011	0.0626189	0.0420552	0.0270833	0.0226403	0.0230796	0.0268561	0.0319526
a25	0.0402245	0.0531043	0.0696283	0.113942	0.176309	0.139933	0.117759	0.0863003	0.0578616	0.0369112	0.027239	0.0242974	0.0262576	0.0302325
a98	0.0239268	0.0307759	0.038733	0.0768871	0.161129	0.141712	0.139265	0.109335	0.0794122	0.0515991	0.036465	0.0315002	0.0353543	0.0439059
a6	0.0271189	0.0323472	0.0429441	0.0774089	0.122122	0.107445	0.129237	0.113189	0.0967754	0.065221	0.0490224	0.0437827	0.0420626	0.0513242
a0	0.0201237	0.0204295	0.0253846	0.0508844	0.0842609	0.086888	0.12195	0.126716	0.11808	0.0867579	0.0694355	0.0612691	0.0588258	0.0689948
a75	0.00536065	0.00486264	0.00499344	0.013588	0.032489	0.0501353	0.092054	0.122646	0.146713	0.128889	0.109341	0.0929122	0.0918891	0.104127
a5	0.00468748	0.00483073	0.00577818	0.0135493	0.0333246	0.0425405	0.0765087	0.0924324	0.112833	0.116129	0.115547	0.119203	0.120469	0.142167
a37	0.00372545	0.00320986	0.00312809	0.00788799	0.0209173	0.033996	0.0567318	0.0799112	0.10938	0.125323	0.136717	0.134678	0.136704	0.14769
a93	0.00188863	0.00157759	0.00153149	0.00493453	0.0140041	0.0230966	0.0447645	0.0666968	0.100934	0.127235	0.15255	0.15549	0.150148	0.155148
a4	0.000770762	0.000644934	0.000638082	0.00193501	0.00587407	0.010699	0.0313523	0.0531576	0.0901428	0.119987	0.153094	0.172329	0.169762	0.189614
a13	0.000632429	0.000511734	0.00045417	0.00115337	0.00346551	0.00624419	0.0209771	0.0370754	0.0671082	0.102489	0.143445	0.187791	0.200863	0.227789
a50	0.000561663	0.00049534	0.000412414	0.000711489	0.00236878	0.00382943	0.0119698	0.0178369	0.036397	0.0610081	0.0991901	0.172439	0.246988	0.345792
a75	0.00202376	0.00180688	0.00142437	0.00139834	0.00349091	0.00496789	0.0137252	0.0186728	0.0352226	0.0603533	0.0965758	0.17383	0.236694	0.349814
a5	0.000115933	0.000104737	0.000109667	0.000263576	0.00112985	0.0020865	0.00670865	0.0112925	0.0226502	0.0441562	0.0867242	0.189263	0.262762	0.372633
a36	0.000110471	9.91555e-05	8.33779e-05	0.000138556	0.000734912	0.00140778	0.00483357	0.00798562	0.0178669	0.0390549	0.0736881	0.166242	0.268775	0.418979
a94	0.000600424	0.000537114	0.000459587	0.000653283	0.00248274	0.00342988	0.0104586	0.0126572	0.0232372	0.0423974	0.0748572	0.155706	0.247419	0.425104
a36	0.000396678	0.000331519	0.000284823	0.000400689	0.00181503	0.00282066	0.00893392	0.011698	0.022081	0.0408614	0.07716	0.168403	0.269539	0.395274
a2	0.00105171	0.000952355	0.000854926	0.00097957	0.0046022	0.0053483	0.0128188	0.0155049	0.0284758	0.0523742	0.0919972	0.168856	0.251702	0.364482
a57	0.0567267	0.0444192	0.0313357	0.0106199	0.0188973	0.0179336	0.0303418	0.0447555	0.0601657	0.0904127	0.114435	0.139247	0.157159	0.18355
a87	0.117768	0.0808981	0.0527997	0.0230164	0.0285606	0.0266789	0.0398351	0.0537679	0.0633452	0.0861768	0.0885313	0.101471	0.111798	0.125352
a23	0.0686234	0.0529855	0.0393741	0.0241092	0.0304631	0.0330845	0.054925	0.0743519	0.0875401	0.107591	0.104057	0.109436	0.10553	0.10793
a99	0.00453025	0.00324174	0.00282374	0.00165435	0.00479903	0.00588855	0.017837	0.0365088	0.0584849	0.101008	0.132546	0.190115	0.217922	0.22264
a87	0.00356067	0.00304731	0.00329102	0.0028731	0.00845351	0.00961135	0.0236524	0.0387047	0.0577745	0.0964438	0.113862	0.160985	0.218094	0.259646
</S>	0.00299418	0.00236192	0.00207462	0.00238821	0.00927421	0.0112907	0.0254893	0.0353585	0.0465801	0.0750956	0.0878517	0.138946	0.223068	0.337227
