 	cette	termitière	n'	a	pas	de	joints	récents	</S>
a66	0.168032	0.196111	0.20399	0.193184	0.147906	0.0551667	0.0201891	0.0095119	0.00590998
a87	0.187412	0.191897	0.148869	0.129597	0.119509	0.0835412	0.0392546	0.0592181	0.0407024
a23	0.305287	0.235391	0.206719	0.132445	0.0782751	0.0169174	0.00691979	0.0102846	0.00776173
a30	0.345994	0.270654	0.199665	0.0971337	0.0443971	0.0120346	0.00422865	0.00849443	0.0173988
a70	0.344168	0.263459	0.175194	0.108854	0.0689959	0.0156577	0.00531636	0.00784028	0.0105153
a11	0.278272	0.254693	0.16766	0.155056	0.0938273	0.0195471	0.00775697	0.012411	0.0107768
a75	0.252848	0.241962	0.158012	0.14378	0.101869	0.0386766	0.0161256	0.0237507	0.0229769
a37	0.162381	0.175696	0.135194	0.17687	0.120921	0.0529039	0.0330856	0.0753882	0.0675604
a98	0.160732	0.152571	0.117566	0.131364	0.0929606	0.0621784	0.0616224	0.122307	0.0986978
a79	0.0481365	0.0718222	0.0749799	0.122924	0.129826	0.124148	0.116254	0.169446	0.142464
a85	0.0321371	0.0391875	0.0378479	0.0573251	0.0612837	0.0769683	0.12457	0.326135	0.244546
a47	0.0263718	0.0315926	0.0328591	0.0455547	0.0465126	0.0607689	0.112739	0.36908	0.274521
a79	0.0154628	0.0175635	0.018826	0.0289465	0.0368523	0.0630768	0.147794	0.334118	0.337361
a69	0.00669242	0.00784297	0.00975135	0.018067	0.0260163	0.0528383	0.147052	0.348145	0.383595
a40	0.00352527	0.00305751	0.00327567	0.00615562	0.0100137	0.0257424	0.0953753	0.28754	0.565314
a47	0.00293428	0.00173313	0.00169737	0.00301277	0.00545733	0.0257942	0.121592	0.286845	0.550934
a36	0.00152016	0.000922085	0.000830072	0.00135559	0.00232648	0.0107966	0.0723191	0.292371	0.617559
a2	0.00940378	0.00405912	0.00249345	0.00272235	0.00437444	0.0199163	0.135949	0.316801	0.50428
a57	0.0376626	0.0169438	0.010089	0.0093521	0.0128846	0.0289689	0.144809	0.324748	0.414542
a87	0.121341	0.0647362	0.0451546	0.0287295	0.018429	0.0191411	0.0673598	0.235976	0.399133
a23	0.276282	0.212183	0.166449	0.120658	0.0750501	0.0389824	0.0295235	0.0385632	0.0423087
a97	0.15726	0.0694697	0.0467749	0.0342826	0.0339119	0.0666766	0.118892	0.198314	0.274418
</S>	0.0158768	0.00903219	0.0068791	0.00707905	0.00917625	0.0305629	0.0963911	0.32885	0.496153
