 	souffle	pour	que	le	flemme	s'	éteigne	</S>
a66	0.289136	0.269824	0.182474	0.121644	0.0921588	0.0283288	0.00987266	0.00656199
a87	0.400821	0.270985	0.157214	0.090976	0.0308185	0.0170964	0.014486	0.0176034
a23	0.31899	0.303195	0.144504	0.0851074	0.0606417	0.0340451	0.0279408	0.0255769
a27	0.199292	0.260367	0.188485	0.13045	0.0818416	0.0557655	0.0438078	0.039991
a90	0.158018	0.235262	0.170136	0.145568	0.129376	0.0653503	0.0471878	0.0491009
a56	0.265612	0.298339	0.173242	0.116777	0.0882573	0.0352497	0.0133975	0.00912616
a25	0.310098	0.275325	0.150295	0.115831	0.080821	0.0371346	0.0208193	0.00967582
a15	0.295166	0.237848	0.137485	0.115563	0.0901168	0.0585189	0.0403512	0.0249514
a92	0.159467	0.151873	0.146906	0.169882	0.147784	0.103055	0.0729979	0.0480357
a79	0.180157	0.153393	0.136004	0.160111	0.138867	0.0964063	0.0703686	0.0646936
a92	0.138918	0.157159	0.17453	0.204175	0.146618	0.0818707	0.0496919	0.0470373
a79	0.1127	0.130306	0.153801	0.183185	0.146217	0.0981899	0.0834372	0.0921637
a98	0.0883318	0.115101	0.148259	0.185039	0.181861	0.116263	0.0816627	0.0834825
a85	0.0507619	0.0769271	0.116477	0.149727	0.190823	0.161389	0.125412	0.128481
a47	0.0426363	0.0618099	0.0890005	0.103659	0.144739	0.176116	0.175381	0.206659
a92	0.0136605	0.0248451	0.0481572	0.0642164	0.124609	0.172382	0.216902	0.335228
a12	0.0167287	0.0267423	0.0493325	0.059789	0.117842	0.192904	0.222291	0.314371
a31	0.00929996	0.0138046	0.0253521	0.0314936	0.0623882	0.175079	0.266051	0.416532
a18	0.004621	0.00510828	0.00877762	0.0127722	0.0302766	0.135779	0.310841	0.491824
a31	0.00125333	0.00140132	0.00228718	0.00390473	0.0101701	0.0591772	0.32719	0.594616
a62	0.00158202	0.00173375	0.00295561	0.00539573	0.0161136	0.0783079	0.360299	0.533613
a88	0.0016557	0.00186483	0.00264884	0.00480108	0.0192121	0.0698458	0.327137	0.572835
a66	0.000553809	0.000639592	0.000962508	0.00183276	0.00934823	0.0396887	0.301453	0.645522
a9	0.000976081	0.00117896	0.00176875	0.00388	0.0291319	0.0616367	0.276872	0.624556
a87	0.0171775	0.0214414	0.0303468	0.0380408	0.0567361	0.0683185	0.198303	0.569636
a23	0.144902	0.169062	0.166971	0.150071	0.120302	0.0754664	0.0670708	0.106154
a97	0.0641001	0.047049	0.0358908	0.0316762	0.0311124	0.0539466	0.208657	0.527568
a99	0.0301077	0.0244879	0.0231022	0.0214899	0.0334074	0.0899061	0.25226	0.525239
a97	0.0183704	0.0143084	0.0133233	0.0146775	0.0245064	0.0648592	0.213596	0.636359
</S>	0.0194237	0.0193533	0.0238701	0.0246212	0.0390209	0.0833761	0.213733	0.576601
