 	chaque	soir	chacun	rentre	dans	sa	demeure	</S>
a66	0.322228	0.134453	0.180602	0.0735828	0.106999	0.0859137	0.0727462	0.023475
a87	0.173474	0.202519	0.223076	0.0516756	0.060508	0.0672613	0.0855301	0.135956
a23	0.501306	0.151599	0.148637	0.0233875	0.0320407	0.0321731	0.0482231	0.0626336
a50	0.54731	0.162619	0.0968369	0.0227612	0.035115	0.037873	0.0584137	0.0390717
a83	0.359875	0.0935862	0.0917878	0.0358766	0.0755596	0.0944759	0.15069	0.098149
a9	0.487846	0.124072	0.0560492	0.0244313	0.0517952	0.0696081	0.0951037	0.0910951
a75	0.432592	0.151375	0.0715616	0.0309766	0.0557106	0.0718035	0.095186	0.0907945
a85	0.373971	0.188427	0.103432	0.0421229	0.0615498	0.0734959	0.0866995	0.0703024
a6	0.360165	0.224843	0.117967	0.0618631	0.071812	0.0657391	0.0556111	0.0420003
a5	0.288657	0.225204	0.123791	0.0586327	0.0761482	0.076971	0.077663	0.0729323
a75	0.268552	0.228705	0.15113	0.0907296	0.0907442	0.0697196	0.0545213	0.0458981
a5	0.143538	0.204968	0.157474	0.115957	0.119529	0.0968474	0.0746407	0.0870461
a37	0.0811621	0.175424	0.17356	0.151759	0.141978	0.108548	0.0785107	0.0890588
a27	0.0533239	0.168615	0.194335	0.139688	0.136336	0.102765	0.0791152	0.125822
a90	0.0235854	0.0865158	0.261166	0.149377	0.18246	0.120068	0.0807598	0.0960673
a69	0.0211753	0.0614673	0.0914844	0.131547	0.153728	0.162461	0.137768	0.240369
a57	0.0109321	0.0465435	0.102132	0.130529	0.164156	0.170763	0.147863	0.227082
a53	0.0103872	0.036528	0.121736	0.158397	0.207206	0.158392	0.106802	0.200552
a76	0.00976672	0.0321138	0.0810831	0.146333	0.172097	0.176232	0.146529	0.235846
a94	0.00726616	0.0280416	0.0877029	0.1597	0.178922	0.179804	0.148894	0.209669
a90	0.00652227	0.0236428	0.0752089	0.131109	0.17756	0.197188	0.163608	0.225161
a35	0.00516509	0.0179721	0.0536553	0.128615	0.179282	0.200994	0.173235	0.241082
a98	0.00720227	0.0206492	0.0367689	0.116333	0.151521	0.190932	0.179687	0.296908
a41	0.0103405	0.0245357	0.0392118	0.115321	0.141255	0.174543	0.164245	0.330549
a94	0.0084105	0.0188875	0.0292334	0.103059	0.125627	0.180427	0.189022	0.345334
a90	0.00315158	0.0120069	0.0255591	0.0680581	0.0961085	0.156569	0.182569	0.455978
a92	0.00396246	0.0124881	0.0292212	0.0919394	0.115181	0.163497	0.178854	0.404857
a85	0.0070503	0.0155754	0.0284772	0.0980647	0.10873	0.144507	0.161024	0.436572
a37	0.00735662	0.0183925	0.0352064	0.108655	0.115247	0.155166	0.172176	0.387801
a61	0.00181685	0.00542909	0.0108679	0.0288993	0.0496663	0.0924546	0.136166	0.6747
a96	0.0037907	0.0118951	0.0241974	0.0495453	0.0583949	0.0879098	0.124675	0.639592
a13	0.0011666	0.00415431	0.00982169	0.0187323	0.029918	0.0563468	0.100077	0.779783
a93	0.00102811	0.0039138	0.00958052	0.01227	0.0253113	0.0556907	0.114143	0.778063
a56	0.000572681	0.00269075	0.00898969	0.0105769	0.0235238	0.0540037	0.104463	0.79518
a98	0.000227903	0.00129827	0.0040164	0.00590636	0.0120229	0.0287418	0.0591964	0.88859
a73	0.000185632	0.00109884	0.00264135	0.00419652	0.00961999	0.0241917	0.0563705	0.901695
a69	0.000515491	0.0022579	0.00337481	0.00467692	0.010683	0.0263216	0.0626852	0.889485
a20	0.000406419	0.00194034	0.00332937	0.00555683	0.0120215	0.0290348	0.0658979	0.881813
a27	0.000726057	0.00385573	0.00517095	0.00740505	0.0136568	0.0325327	0.0729854	0.863667
a82	0.00560603	0.0213811	0.0205012	0.0325304	0.0450504	0.0798903	0.155132	0.639909
a27	0.077975	0.0681523	0.0562662	0.069063	0.0737779	0.0974674	0.17779	0.379508
a38	0.0847087	0.0553337	0.0550504	0.063513	0.0722897	0.103345	0.209583	0.356177
a82	0.0322963	0.0285289	0.0241002	0.0271005	0.0328908	0.0650904	0.162243	0.62775
a97	0.0349821	0.0281324	0.0425441	0.0498173	0.0573894	0.088888	0.177431	0.520816
</S>	0.0415332	0.0373796	0.0750293	0.0722505	0.0854208	0.118347	0.185008	0.385031
