 	ces	gens-ci	sont	en	train	de	se	taquiner	</S>
a66	0.163585	0.121896	0.107611	0.128799	0.135765	0.164138	0.109013	0.0545416	0.0146503
a87	0.128596	0.133628	0.121093	0.111723	0.124932	0.148153	0.125963	0.0703078	0.0356058
a10	0.218126	0.206684	0.160613	0.145122	0.106099	0.0907172	0.0398198	0.0194847	0.0133343
a87	0.219107	0.241819	0.18054	0.151605	0.0876414	0.0659485	0.0281648	0.0140659	0.011109
a23	0.220936	0.219352	0.168188	0.145337	0.0942328	0.0789436	0.0371419	0.0199058	0.0159631
a3	0.235449	0.170304	0.119007	0.130362	0.103751	0.0961984	0.0560874	0.04136	0.0474813
a97	0.226303	0.148425	0.10468	0.137097	0.114833	0.108687	0.0633121	0.0470015	0.0496619
a99	0.22648	0.126285	0.0891115	0.134169	0.128627	0.130344	0.074091	0.048164	0.0427293
a97	0.230179	0.112836	0.0803298	0.123461	0.132694	0.14501	0.0838836	0.0502112	0.0413956
a87	0.233254	0.128198	0.0895449	0.122465	0.118947	0.123736	0.081	0.0557872	0.0470684
a23	0.242861	0.136993	0.0943125	0.117935	0.109842	0.114436	0.0782119	0.0550953	0.0503124
a99	0.186645	0.105176	0.0798336	0.112315	0.121637	0.13437	0.099555	0.0790068	0.0814629
a54	0.145111	0.0865783	0.0778923	0.109152	0.132854	0.153884	0.117211	0.0922819	0.0850345
a92	0.132078	0.109091	0.106551	0.115653	0.120598	0.136509	0.120994	0.0974465	0.0610806
a37	0.128525	0.133317	0.119071	0.118665	0.11458	0.131706	0.121417	0.0873509	0.0453682
a98	0.104423	0.136605	0.138105	0.149278	0.117496	0.117944	0.0972489	0.090244	0.048656
a79	0.136636	0.144351	0.134988	0.131982	0.124076	0.127324	0.0968705	0.0640919	0.0396798
a44	0.0973106	0.1315	0.15118	0.157559	0.138677	0.133297	0.0886176	0.0582108	0.0436473
a15	0.0851059	0.108772	0.139493	0.156872	0.139359	0.140683	0.10108	0.0740199	0.0546155
a98	0.0625079	0.10056	0.142418	0.151508	0.14243	0.13918	0.102183	0.0800393	0.0791738
a6	0.0459079	0.0785102	0.125287	0.124075	0.130085	0.139789	0.128171	0.119852	0.108322
a36	0.0316316	0.055213	0.0984507	0.104282	0.125011	0.142759	0.142723	0.151466	0.148464
a61	0.0275789	0.0471987	0.0856303	0.0907884	0.110092	0.119227	0.135849	0.161682	0.221953
a47	0.0253218	0.0463657	0.0785754	0.0625204	0.0678797	0.07436	0.13213	0.224131	0.288716
a62	0.0232457	0.0365414	0.0705938	0.0610942	0.0683812	0.0676373	0.113711	0.208453	0.350342
a61	0.0180743	0.0283053	0.050305	0.039504	0.0456229	0.0479153	0.108324	0.264275	0.397674
a21	0.0107407	0.0156584	0.0272005	0.0220552	0.0265122	0.0292673	0.0758264	0.256208	0.536532
a85	0.00995768	0.0142763	0.0234792	0.0194586	0.0223423	0.0249613	0.0587985	0.205135	0.621591
a47	0.0124177	0.014589	0.0243161	0.0204655	0.0237193	0.0224937	0.0452105	0.145726	0.691062
a36	0.00513941	0.00688596	0.00905193	0.00617567	0.00706086	0.00793052	0.022251	0.115773	0.819732
a2	0.0355141	0.0341847	0.0342974	0.0259153	0.0355272	0.0418668	0.0703256	0.184028	0.538341
a57	0.0891336	0.0646682	0.0585528	0.0547533	0.0802911	0.0887905	0.10217	0.162158	0.299482
a87	0.152423	0.122728	0.111568	0.102125	0.106789	0.10127	0.0823916	0.0953449	0.12536
a23	0.0991632	0.0887288	0.107295	0.107139	0.125007	0.132986	0.129861	0.11423	0.0955908
a87	0.0823008	0.076309	0.0872864	0.0755985	0.0978448	0.104914	0.124872	0.137728	0.213147
</S>	0.0539073	0.0576527	0.07502	0.0579804	0.0693821	0.0804186	0.111373	0.144308	0.349958
