 	la	voiture	a	heurté	l'	enfant	</S>
a87	0.310969	0.256353	0.179526	0.120177	0.062998	0.0390402	0.0309368
a79	0.283878	0.142682	0.115311	0.144079	0.103998	0.0928358	0.117216
a25	0.369243	0.261381	0.150773	0.0830199	0.0477236	0.0415171	0.0463421
a44	0.326383	0.309009	0.168324	0.0572407	0.0603698	0.0425956	0.0360773
a57	0.489455	0.338738	0.110367	0.0205462	0.0171473	0.0119156	0.0118307
a75	0.318397	0.369455	0.166173	0.0555202	0.0377248	0.0265926	0.0261377
a25	0.397668	0.306204	0.114078	0.0419872	0.0439792	0.045052	0.0510322
a56	0.239437	0.167954	0.116286	0.0980362	0.117443	0.126586	0.134259
a61	0.266334	0.211811	0.136266	0.0868194	0.0946479	0.0963849	0.107736
a21	0.165041	0.16155	0.176736	0.13877	0.135863	0.111035	0.111006
a98	0.11958	0.117396	0.129041	0.156263	0.17922	0.152709	0.145791
a85	0.0320909	0.028392	0.0377339	0.111952	0.222005	0.260787	0.307039
a61	0.0337575	0.0338107	0.0454523	0.117395	0.226106	0.256354	0.287125
a21	0.0269499	0.0284525	0.0438436	0.110138	0.208893	0.262965	0.318758
a12	0.0150405	0.0170639	0.0236975	0.055444	0.163756	0.293191	0.431807
a98	0.00521515	0.00659168	0.0136737	0.0491244	0.139224	0.28127	0.504901
a85	0.00464461	0.00662822	0.0124511	0.0290431	0.113746	0.282558	0.55093
a37	0.00254918	0.00393878	0.00821369	0.0296622	0.131267	0.299041	0.525329
a36	0.0016192	0.00237273	0.00674738	0.030026	0.0994284	0.261943	0.597863
a26	0.00373348	0.00547223	0.0139851	0.0550046	0.136312	0.265738	0.519755
a57	0.013457	0.0110985	0.0161718	0.0526512	0.130831	0.285591	0.490199
a87	0.101707	0.0552839	0.0552783	0.0953746	0.154559	0.227657	0.31014
a23	0.0976354	0.0600293	0.0628876	0.127104	0.198682	0.22494	0.228722
a97	0.00968047	0.00587785	0.00951059	0.0427537	0.168732	0.326674	0.436772
</S>	0.00194112	0.00192731	0.00540476	0.0390371	0.149483	0.327836	0.474371
