 	ils	sont	allés	livrer	cette	bagarre	sous	l'	instigation	d'	okolo	</S>
a66	0.179907	0.151145	0.175018	0.207132	0.069832	0.0374018	0.0577895	0.0610884	0.0275445	0.0163515	0.0111242	0.00566586
a87	0.307047	0.131299	0.0941848	0.0655045	0.0414101	0.0373406	0.0683183	0.10003	0.0502837	0.0474097	0.0347204	0.0224518
a23	0.225263	0.141983	0.143761	0.0979017	0.084553	0.0492487	0.0565999	0.0721199	0.0392891	0.0356508	0.0253925	0.0282385
a30	0.127861	0.119962	0.110039	0.153703	0.0900954	0.050089	0.0635865	0.0787937	0.0483461	0.0555736	0.0492044	0.0527464
a87	0.10779	0.116814	0.107216	0.188778	0.0830309	0.0484875	0.0677224	0.0862034	0.0540606	0.064303	0.04873	0.0268636
a97	0.107953	0.101881	0.0900907	0.131198	0.0906328	0.0641268	0.0784055	0.097193	0.062382	0.0828665	0.0630284	0.030242
a99	0.100006	0.107171	0.0979895	0.126152	0.0722979	0.0552064	0.0706942	0.0933877	0.0608679	0.0938673	0.0802778	0.0420823
a54	0.103968	0.124741	0.103529	0.130343	0.0533947	0.0406867	0.0647361	0.0836911	0.0591628	0.0970252	0.0905669	0.0481552
a47	0.157991	0.135153	0.0759105	0.147919	0.0782177	0.0427706	0.0555369	0.0570543	0.0409697	0.0499762	0.0740118	0.0844886
a37	0.101419	0.107709	0.0776526	0.229366	0.109317	0.0627345	0.0669222	0.0651749	0.0383107	0.0389299	0.0483628	0.0541017
a44	0.0809384	0.102063	0.0885808	0.255415	0.146021	0.0747807	0.0642482	0.0533307	0.036869	0.0287785	0.0310131	0.0379613
a70	0.115473	0.117914	0.0920377	0.223474	0.137111	0.0776667	0.0553419	0.0428708	0.0324547	0.0253085	0.0314272	0.0489211
a11	0.111992	0.117062	0.100647	0.215466	0.152731	0.0830096	0.0545706	0.0417545	0.0300889	0.0214846	0.0255975	0.0455946
a96	0.0992973	0.0963078	0.0933857	0.171904	0.138321	0.0779427	0.0560714	0.0466921	0.0419922	0.0370501	0.044987	0.0960487
a21	0.0742898	0.0674606	0.092701	0.133306	0.155391	0.0953664	0.0752696	0.068235	0.0611892	0.0468591	0.0489243	0.0810073
a12	0.0404093	0.0391021	0.060047	0.1183	0.190906	0.131656	0.10176	0.0831711	0.0647207	0.0406445	0.0418672	0.087415
a61	0.0204076	0.0237464	0.0531439	0.127123	0.202889	0.137321	0.114747	0.099808	0.0728756	0.048861	0.0422777	0.0567996
a18	0.0265491	0.0296876	0.0634063	0.119641	0.18843	0.135835	0.113362	0.102905	0.078794	0.0517761	0.0384994	0.0511142
a70	0.00682681	0.00938145	0.0381563	0.0687468	0.201049	0.172931	0.162154	0.152842	0.0939835	0.042682	0.025764	0.025483
a75	0.00758347	0.0101695	0.0335955	0.054108	0.194326	0.174626	0.169408	0.157214	0.0980806	0.044274	0.0268351	0.02978
a21	0.00498636	0.00811715	0.0215398	0.0436187	0.157716	0.142899	0.126836	0.124904	0.105678	0.0965415	0.0687611	0.0984017
a47	0.00397421	0.00647209	0.0158872	0.0321394	0.156701	0.158173	0.143651	0.138083	0.117538	0.0910649	0.0602114	0.0761045
a31	0.00273158	0.00538917	0.0165315	0.0309116	0.159005	0.178132	0.163252	0.161362	0.116391	0.0763497	0.0425869	0.0473573
a88	0.00189662	0.00319641	0.00885845	0.0197867	0.131949	0.156342	0.151175	0.147304	0.140999	0.102597	0.0620247	0.0738723
a9	0.00117384	0.00209985	0.00659011	0.0136136	0.115058	0.162617	0.177982	0.180105	0.153921	0.0889021	0.0456984	0.0522393
a87	0.00218836	0.00307561	0.00751454	0.0128463	0.0959321	0.153638	0.187202	0.203547	0.177882	0.0730482	0.0420951	0.0410306
a23	0.00653752	0.00485684	0.00652865	0.0096738	0.0642683	0.125228	0.169615	0.213922	0.194315	0.0978009	0.0505774	0.056677
a62	0.0101949	0.00765741	0.00807567	0.00884168	0.0488418	0.0840339	0.123057	0.160193	0.154508	0.132239	0.0950371	0.167321
a34	0.00337851	0.0029249	0.00431031	0.00493553	0.0339031	0.0535581	0.0754749	0.0845829	0.0874539	0.0996225	0.122179	0.427677
a56	0.00136277	0.00101977	0.00179306	0.00205959	0.00951863	0.0153665	0.0233358	0.0282543	0.0371821	0.066442	0.134189	0.679476
a96	0.00212982	0.00163953	0.00261339	0.00382023	0.0132351	0.0198045	0.0273526	0.0297624	0.044101	0.0744861	0.141107	0.639949
a93	0.00230497	0.0020184	0.00355872	0.00480565	0.0200387	0.0334866	0.0518054	0.0599995	0.0933281	0.121452	0.177763	0.429439
a4	0.00155154	0.00184867	0.00407823	0.00668663	0.0231094	0.0298806	0.0402075	0.0433052	0.0663779	0.100555	0.159517	0.522883
a13	0.000709263	0.00105505	0.00282482	0.00403076	0.0190313	0.026879	0.0363318	0.041091	0.0643628	0.112417	0.171457	0.51981
a53	0.000494529	0.000692436	0.00167811	0.00179457	0.0144874	0.0299072	0.0496931	0.0602103	0.103683	0.110281	0.154972	0.472107
a93	0.000427226	0.000494177	0.00103594	0.00109376	0.00852858	0.0194813	0.0341684	0.0467596	0.0894826	0.12796	0.182898	0.487671
a70	0.0003916	0.000423259	0.000916825	0.00090868	0.00666327	0.0146248	0.0236327	0.0315839	0.0669863	0.105805	0.174744	0.57332
a13	0.000307887	0.000401111	0.000796997	0.000887907	0.00732702	0.0198084	0.0326837	0.0462049	0.107322	0.100744	0.164238	0.519278
a3	0.000483068	0.00071631	0.00154973	0.00165945	0.0114801	0.0303163	0.0488846	0.0688091	0.143356	0.101908	0.142803	0.448034
a87	0.00848596	0.00844608	0.0114214	0.0106215	0.0334497	0.0537531	0.0853703	0.122455	0.153311	0.125187	0.139431	0.248068
a30	0.0281338	0.0202108	0.0265298	0.0192248	0.0407822	0.0563678	0.0872986	0.124582	0.103587	0.127929	0.148396	0.216959
a87	0.0193775	0.00964594	0.0101816	0.00635368	0.0271434	0.0399532	0.063198	0.0931132	0.0886725	0.106403	0.131534	0.404423
a23	0.0265361	0.0132296	0.0201621	0.0129491	0.0374866	0.0435419	0.0617491	0.0828139	0.0649202	0.0976765	0.128094	0.410841
a99	0.0104828	0.00623877	0.0106654	0.00600542	0.0135981	0.0162212	0.0239034	0.032675	0.0433332	0.141884	0.210472	0.484522
a97	0.00549127	0.00421683	0.0105822	0.00683201	0.0146035	0.0200547	0.0255426	0.0323946	0.0511725	0.131361	0.222028	0.47572
</S>	0.012602	0.00914477	0.0214515	0.00939063	0.0208057	0.027851	0.0433872	0.0596965	0.0720615	0.114302	0.153595	0.455713
