 	ouvre	une	fente	sur	cet	arbre	</S>
a85	0.157406	0.1039	0.0801979	0.0820173	0.180922	0.217057	0.1785
a66	0.343736	0.121656	0.111318	0.143309	0.131813	0.0856364	0.0625313
a87	0.12388	0.0811991	0.100144	0.135389	0.152187	0.167625	0.239577
a40	0.271143	0.132326	0.149852	0.182722	0.13068	0.0746857	0.0585914
a41	0.405466	0.234228	0.0886844	0.0641402	0.0575449	0.0653921	0.0845442
a5	0.298138	0.377649	0.157025	0.0859126	0.0443599	0.0216203	0.015296
a12	0.158587	0.241795	0.193971	0.161975	0.116923	0.0703988	0.0563514
a96	0.109438	0.155729	0.164335	0.194829	0.170359	0.117977	0.0873327
a90	0.0293735	0.0514087	0.132246	0.2243	0.247348	0.201417	0.113907
a25	0.0136403	0.0323566	0.101343	0.192188	0.24393	0.220361	0.196181
a6	0.00751039	0.0178054	0.0479874	0.138391	0.264067	0.29474	0.229499
a5	0.00349237	0.0076041	0.0270398	0.0876249	0.20914	0.297723	0.367377
a12	0.00537959	0.00722261	0.015853	0.0562394	0.18157	0.335076	0.398659
a18	0.00319328	0.00467352	0.0115823	0.0390353	0.133992	0.303879	0.503645
a90	0.00439287	0.00468096	0.00807326	0.0382373	0.114639	0.277075	0.552901
a98	0.00114786	0.00146447	0.00286526	0.0149195	0.0703055	0.250518	0.65878
a6	0.00136747	0.00215178	0.00538598	0.0202008	0.084021	0.257524	0.629349
a36	0.000979276	0.00126523	0.00341593	0.0149466	0.0558162	0.216041	0.707535
a26	0.00139065	0.00187147	0.00414164	0.023144	0.0884934	0.282306	0.598653
a57	0.0084914	0.00808546	0.0126526	0.042328	0.148506	0.317676	0.46226
a82	0.0821051	0.0543158	0.0923543	0.17367	0.188942	0.198919	0.209694
a97	0.158622	0.109812	0.0958101	0.12895	0.154521	0.171905	0.18038
a10	0.0920027	0.0618738	0.0474374	0.0965028	0.167843	0.243573	0.290767
a97	0.0145739	0.0165107	0.019961	0.0655908	0.177534	0.329178	0.376652
</S>	0.0129107	0.0176084	0.0248561	0.0752463	0.189139	0.323093	0.357146
