 	le	père	a	blâmé	son	enfant	</S>
a66	0.512621	0.219948	0.107607	0.055365	0.0381485	0.032492	0.0338178
a87	0.41969	0.230492	0.138579	0.0668724	0.0589298	0.043649	0.0417882
a23	0.536343	0.206788	0.0807239	0.042163	0.0478762	0.0417722	0.0443343
a40	0.570961	0.178002	0.0565331	0.0224012	0.0337641	0.0510312	0.0873075
a36	0.466505	0.178698	0.0787995	0.0558442	0.0708541	0.0680082	0.0812913
a54	0.177897	0.218301	0.156475	0.103951	0.126562	0.10628	0.110534
a36	0.107046	0.169089	0.187734	0.166087	0.15825	0.113863	0.0979313
a37	0.0593504	0.0737454	0.0905467	0.131397	0.198553	0.222626	0.223781
a54	0.072592	0.0913259	0.109656	0.121241	0.166304	0.210436	0.228444
a15	0.0323554	0.0550836	0.0984633	0.14823	0.203091	0.224935	0.237842
a47	0.0107838	0.0146248	0.0333622	0.117991	0.211215	0.294053	0.31797
a36	0.00210496	0.00216133	0.00512627	0.045279	0.132288	0.329263	0.483778
a2	0.00163477	0.0014551	0.00286409	0.0233443	0.0834871	0.310224	0.57699
a57	0.00781163	0.00703525	0.0111275	0.044533	0.0860711	0.255407	0.588015
a87	0.0342878	0.0272658	0.0301463	0.0535486	0.0971038	0.238154	0.519494
a23	0.215044	0.0937827	0.0747142	0.0944197	0.120497	0.172265	0.229277
a87	0.194909	0.115257	0.10123	0.136989	0.172466	0.147524	0.131625
</S>	0.035069	0.0255095	0.0323198	0.0878429	0.207608	0.295116	0.316535
