 	notre	vie	a	été	bouleversée	par	l'	arrivée	des	blancs	</S>
a85	0.20516	0.120266	0.0923553	0.092013	0.116387	0.100639	0.0960691	0.0707074	0.050285	0.0336336	0.0224854
a87	0.154103	0.0840893	0.0735008	0.0701277	0.107821	0.107611	0.0951524	0.0647907	0.0858876	0.0828541	0.0740615
a23	0.230303	0.14031	0.102883	0.094172	0.110563	0.0693153	0.054478	0.0434234	0.0478926	0.0490656	0.0575945
a79	0.216064	0.106881	0.0950977	0.0905461	0.10511	0.069472	0.0443925	0.0384942	0.055686	0.0671008	0.111156
a94	0.197659	0.116105	0.092259	0.0815735	0.0886967	0.0674154	0.0497066	0.0504635	0.077904	0.0956459	0.0825715
a26	0.462909	0.167596	0.107211	0.0835977	0.0591806	0.0286437	0.018574	0.0126464	0.0155808	0.0227375	0.0213231
a94	0.364918	0.173936	0.134076	0.111675	0.0790826	0.0333669	0.0224667	0.0155889	0.0168383	0.0226116	0.0254404
a30	0.222796	0.157996	0.150529	0.137622	0.105165	0.0505181	0.0373447	0.0264473	0.0290322	0.0387497	0.0438009
a26	0.110565	0.126091	0.1372	0.145355	0.151632	0.0946416	0.0774265	0.0479441	0.0362363	0.0357911	0.0371182
a43	0.0564619	0.079589	0.10913	0.131466	0.173117	0.112046	0.094405	0.0628391	0.0508469	0.0558449	0.0742536
a75	0.0483748	0.0725924	0.106823	0.129208	0.170797	0.114831	0.0968536	0.0627611	0.0511695	0.0592215	0.0873681
a35	0.100718	0.108767	0.117837	0.129972	0.168336	0.121226	0.104083	0.0599969	0.0325014	0.0283959	0.0281676
a26	0.104897	0.101851	0.104885	0.116894	0.169774	0.137422	0.119708	0.0687131	0.0312556	0.0230252	0.0215765
a35	0.0877517	0.0996184	0.124342	0.135007	0.183431	0.144527	0.115307	0.0546037	0.0211044	0.0151786	0.0191299
a75	0.0715943	0.0812986	0.11394	0.123345	0.171391	0.157872	0.137596	0.070441	0.0278443	0.0198478	0.024831
a14	0.0723728	0.0818465	0.100002	0.110719	0.161429	0.141059	0.129807	0.0860773	0.0406329	0.0343063	0.0417493
a44	0.117743	0.107863	0.103281	0.104371	0.134264	0.11781	0.113421	0.0811446	0.0442972	0.0359543	0.0398524
a84	0.0362721	0.0594978	0.0918461	0.111925	0.171707	0.165634	0.157566	0.0870364	0.0383015	0.0336812	0.0465327
a11	0.0475098	0.0685022	0.103455	0.114875	0.139052	0.141068	0.140485	0.0884174	0.0417891	0.0404836	0.0743623
a75	0.0338746	0.0479329	0.0900664	0.106073	0.118154	0.141226	0.144049	0.096907	0.0563865	0.0575245	0.107807
a14	0.0226322	0.0380525	0.0644011	0.0834658	0.125426	0.1569	0.155452	0.116907	0.0700744	0.0713959	0.0952925
a30	0.0302113	0.0418887	0.0570518	0.0691254	0.0994536	0.131397	0.143562	0.13205	0.100955	0.0939748	0.10033
a2	0.0327176	0.0383368	0.0563303	0.0628231	0.0719738	0.106123	0.136076	0.140819	0.109332	0.101155	0.144313
a57	0.0246653	0.0314049	0.0461184	0.0549957	0.0642825	0.105018	0.126613	0.131756	0.0980285	0.106901	0.210216
a87	0.00914584	0.0151387	0.0238891	0.0315688	0.0645078	0.128124	0.135722	0.114991	0.108602	0.139065	0.229245
a23	0.0154898	0.025637	0.03391	0.0448073	0.0869959	0.147828	0.134252	0.109144	0.127597	0.143082	0.131256
a40	0.0152481	0.0240674	0.0329029	0.0417144	0.0576074	0.101141	0.101987	0.105385	0.18959	0.170332	0.160026
a30	0.0260648	0.0380608	0.0478358	0.056921	0.0685808	0.0737343	0.0683742	0.0648198	0.125962	0.188497	0.241149
a26	0.045961	0.0556633	0.0602401	0.0677091	0.0805684	0.0808786	0.0784648	0.0731978	0.119431	0.185237	0.152649
a75	0.0199988	0.032118	0.0456563	0.0555655	0.0767477	0.0866695	0.0910555	0.0817781	0.121788	0.186436	0.202187
a41	0.0159464	0.028971	0.0467618	0.0619043	0.0943684	0.115084	0.116928	0.0986736	0.109896	0.154253	0.157213
a27	0.0206402	0.0336012	0.0471884	0.0580881	0.0827323	0.101473	0.110592	0.105677	0.121407	0.160439	0.158161
a25	0.0125856	0.0189269	0.0318446	0.0393061	0.0431965	0.0613564	0.0765621	0.0884315	0.123916	0.188669	0.315205
a24	0.0175651	0.0239308	0.0375673	0.0446549	0.0468774	0.0623085	0.0708644	0.079517	0.128061	0.192647	0.296006
a71	0.0124615	0.0185978	0.03043	0.0395309	0.0494777	0.0651833	0.0709149	0.0668992	0.110646	0.228538	0.30732
a38	0.014438	0.0192272	0.0313686	0.0405585	0.0550497	0.0710311	0.0781463	0.0765709	0.0920224	0.173118	0.34847
a14	0.0129598	0.0191887	0.0341438	0.0439368	0.0527516	0.0725669	0.0780603	0.0734466	0.106127	0.20011	0.306708
a35	0.0103455	0.0160737	0.0292221	0.0366019	0.0400694	0.0609303	0.0648513	0.063076	0.1054	0.220642	0.352788
a94	0.00790969	0.0112451	0.0205942	0.0245066	0.024752	0.0349528	0.0367452	0.0451276	0.0848183	0.203407	0.505942
a24	0.00482553	0.00684763	0.0158867	0.0184425	0.0152655	0.0220906	0.0255173	0.0354525	0.0644913	0.163149	0.628032
a35	0.00638314	0.00787339	0.0141195	0.0185432	0.0262957	0.0353634	0.0322496	0.0361092	0.0667583	0.167892	0.588412
a41	0.0102797	0.0110274	0.016872	0.0201155	0.025404	0.0332613	0.0303715	0.039293	0.065559	0.153894	0.593923
a24	0.00644445	0.00667063	0.0108514	0.0130973	0.0159002	0.0234669	0.0245507	0.0362606	0.0775249	0.187048	0.598185
a75	0.00773726	0.00768225	0.0114595	0.014465	0.0207319	0.0281423	0.0260981	0.0338128	0.0664273	0.166101	0.617343
a14	0.00628543	0.00692694	0.0100501	0.012941	0.0205002	0.0333398	0.0346444	0.0467433	0.095087	0.209427	0.524055
a30	0.00423995	0.00469951	0.00693159	0.00907165	0.014358	0.0247191	0.0272218	0.0406126	0.0927051	0.217183	0.558258
a2	0.00526128	0.00560396	0.00856532	0.0106872	0.0134378	0.0221626	0.025635	0.040555	0.091566	0.194413	0.582113
a57	0.00685421	0.00675583	0.0080542	0.00959319	0.0198333	0.0329406	0.0371565	0.0609026	0.114841	0.16634	0.536729
a87	0.0169375	0.0158962	0.0118328	0.0108722	0.0181744	0.0363647	0.0519248	0.11338	0.160408	0.183319	0.38089
</S>	0.00902613	0.0093469	0.00806757	0.00819993	0.0169289	0.0449237	0.0651789	0.119224	0.156424	0.185986	0.376694
