 	sa	mère	l'	a	habitué	à	l'	argent	</S>
a15	0.334155	0.178417	0.110254	0.0831617	0.0924491	0.0826004	0.0506053	0.0386202	0.029737
a66	0.247771	0.184658	0.183752	0.134426	0.0796018	0.0607882	0.0392211	0.0334199	0.036362
a87	0.583376	0.20622	0.0769749	0.035374	0.0165136	0.0173468	0.0161116	0.0210757	0.0270071
a23	0.501778	0.268813	0.111673	0.0431225	0.021672	0.0151949	0.0109503	0.0125669	0.0142293
a18	0.478684	0.301918	0.110774	0.0343138	0.0161645	0.0113487	0.0108382	0.0146313	0.0213285
a30	0.306053	0.197671	0.102937	0.056432	0.0561107	0.0558355	0.0647046	0.0707995	0.0894572
a53	0.293313	0.230057	0.137158	0.0708104	0.0651427	0.0492265	0.047838	0.0483794	0.0580749
a20	0.261098	0.225097	0.137019	0.0773581	0.0639427	0.0620391	0.0581995	0.05322	0.0620261
a56	0.115327	0.19229	0.181844	0.147725	0.128164	0.0836656	0.05872	0.0480572	0.0442073
a44	0.060045	0.132777	0.188524	0.180005	0.119765	0.102701	0.0765556	0.0722174	0.0674099
a93	0.0423001	0.0719104	0.121755	0.135482	0.0951198	0.126097	0.121127	0.138558	0.147652
a94	0.0584757	0.0757424	0.119421	0.121063	0.0814564	0.124371	0.122634	0.142371	0.154466
a54	0.0320483	0.0351686	0.0615637	0.0859024	0.0785552	0.137036	0.155554	0.195652	0.21852
a73	0.0178932	0.0251727	0.0538071	0.102499	0.119421	0.168918	0.175862	0.172	0.164426
a69	0.0142834	0.0168896	0.0343989	0.0827157	0.11205	0.182104	0.167743	0.185253	0.204563
a53	0.00821735	0.00704863	0.0116202	0.0310988	0.0647525	0.156385	0.183972	0.24441	0.292496
a4	0.0125227	0.00951636	0.0126297	0.0258247	0.0533365	0.145773	0.189965	0.248755	0.301677
a13	0.00477895	0.00345986	0.00480453	0.00922867	0.0177814	0.0708759	0.150993	0.286467	0.451611
a53	0.00198275	0.00160574	0.00169125	0.00296291	0.00697194	0.0443801	0.136266	0.284229	0.51991
a4	0.00112071	0.000968508	0.00108865	0.00216315	0.00511084	0.0362571	0.124145	0.289268	0.539878
a99	0.00144955	0.00130114	0.00146112	0.00237874	0.0044055	0.0305037	0.120106	0.293163	0.545232
a13	0.000898894	0.000830713	0.00077148	0.00129823	0.00281788	0.024266	0.107164	0.287044	0.574909
a57	0.00228452	0.00263075	0.00234402	0.00340273	0.00667625	0.030783	0.11	0.277338	0.564541
a3	0.033191	0.01782	0.0105292	0.00961866	0.0137962	0.0423159	0.124042	0.270779	0.477908
a97	0.409977	0.214939	0.0930927	0.041683	0.0243673	0.0286842	0.0420638	0.061722	0.0834705
a87	0.304186	0.221359	0.125171	0.0588206	0.0309512	0.0311181	0.0453409	0.077568	0.105485
a23	0.266569	0.206505	0.12671	0.0628804	0.0328648	0.0351504	0.055178	0.0963169	0.117825
a87	0.187908	0.139833	0.0835649	0.052129	0.0291281	0.0458111	0.077152	0.156409	0.228065
</S>	0.0545595	0.0532438	0.0444065	0.0420264	0.033741	0.0715661	0.125897	0.240843	0.333717
