 	au	terme	de	la	saison	des	pluies	il	fait	froid	</S>
a66	0.432882	0.210863	0.0836342	0.0469306	0.0401216	0.0307219	0.0308364	0.0333443	0.0297089	0.0246808	0.0362762
a87	0.413269	0.190479	0.0862651	0.066253	0.0476894	0.0380498	0.0303036	0.029564	0.0259064	0.0274637	0.0447571
a23	0.556335	0.202353	0.0894823	0.0454761	0.0262115	0.0172623	0.0123332	0.00991761	0.00812606	0.0108793	0.0216236
a79	0.45453	0.19066	0.108663	0.0696794	0.0377348	0.0222899	0.0141855	0.011743	0.0147933	0.0263143	0.049406
a4	0.286893	0.22485	0.166929	0.0926605	0.0519261	0.0363995	0.0260781	0.0213859	0.0200697	0.0270902	0.045718
a83	0.205313	0.202734	0.190448	0.118269	0.0707174	0.0535791	0.041308	0.0343584	0.0284691	0.0242646	0.0305402
a62	0.0967667	0.136443	0.23368	0.216437	0.105468	0.0680506	0.0510387	0.0375266	0.0225482	0.0150487	0.0169931
a21	0.0465548	0.0844387	0.198996	0.238193	0.172416	0.116499	0.0666112	0.0366059	0.0167552	0.0106421	0.0122886
a85	0.0458263	0.073458	0.14182	0.185203	0.195411	0.161461	0.087308	0.0483446	0.0237981	0.0155673	0.021803
a47	0.0429784	0.0704754	0.104202	0.127645	0.144708	0.152084	0.119626	0.0867018	0.066445	0.0403466	0.0447878
a36	0.0121619	0.0178416	0.0467266	0.0963037	0.146021	0.175517	0.165571	0.13014	0.0806839	0.0581334	0.0708997
a54	0.0195307	0.0268605	0.0466783	0.0566193	0.080595	0.119312	0.177224	0.167471	0.108158	0.0907125	0.106839
a47	0.0141833	0.0189819	0.0281825	0.0349651	0.0529876	0.0810408	0.124568	0.162602	0.155486	0.141354	0.18565
a37	0.00763079	0.0095696	0.0148363	0.0239003	0.0576374	0.0972053	0.133304	0.152608	0.133629	0.13923	0.230451
a44	0.0130935	0.0143127	0.0172737	0.0253609	0.0416774	0.0734394	0.156045	0.185393	0.129272	0.125085	0.219048
a34	0.0201035	0.0196631	0.0187658	0.0281835	0.0470757	0.0750067	0.157494	0.192421	0.151712	0.119888	0.169686
a21	0.0102875	0.0103019	0.0105493	0.0193868	0.0432408	0.0743246	0.150191	0.185061	0.171922	0.136304	0.188431
a5	0.00513906	0.00522861	0.00529318	0.0092695	0.0243183	0.0584695	0.116969	0.160956	0.225326	0.194454	0.194577
a23	0.0082219	0.007856	0.0068904	0.0109395	0.0262157	0.0559105	0.105547	0.138685	0.17457	0.197146	0.268018
a88	0.00482046	0.00495755	0.00414628	0.00688467	0.0138333	0.0288178	0.0757808	0.112388	0.171402	0.221816	0.355153
a71	0.00835596	0.00853762	0.00635803	0.00761218	0.0135118	0.0188422	0.0406936	0.0559781	0.105645	0.203896	0.53057
a9	0.0211358	0.0228187	0.0158217	0.0118615	0.010984	0.00939006	0.013985	0.0242103	0.0718894	0.208402	0.589502
a87	0.0766626	0.0659813	0.0453362	0.028005	0.0239394	0.028863	0.0363345	0.0605102	0.110463	0.179406	0.344499
a23	0.248365	0.11236	0.0707658	0.0464406	0.0386802	0.051327	0.0709308	0.0884526	0.0868201	0.0791615	0.106697
a87	0.229897	0.0713736	0.0342004	0.0212667	0.0163854	0.0216798	0.0415421	0.0582433	0.114134	0.189985	0.201293
a23	0.06098	0.0222391	0.0140585	0.0136315	0.0136589	0.0229465	0.0427167	0.0600241	0.128909	0.26028	0.360556
a87	0.0876821	0.0260048	0.0149177	0.0151682	0.0207117	0.0331932	0.0656731	0.0826113	0.141032	0.238884	0.274122
</S>	0.0311462	0.013107	0.00856067	0.00744687	0.00949747	0.0195931	0.0442288	0.0658041	0.138742	0.281171	0.380703
