 	j'	ai	avalé	un	médicament	du	fait	que	j'	ai	mal	à	la	tête	</S>
a66	0.164386	0.0918099	0.0793275	0.06535	0.0598297	0.0672357	0.0800835	0.0761105	0.0789015	0.0693339	0.0540683	0.0374867	0.0278983	0.0251362	0.0230426
a87	0.115951	0.0938681	0.0966377	0.0795087	0.0635354	0.0572515	0.0539943	0.0565	0.0602382	0.0599033	0.0525171	0.045637	0.0496041	0.0568703	0.057983
a23	0.425574	0.211275	0.0913545	0.0340069	0.0236707	0.0187569	0.0177928	0.0191274	0.0216676	0.025003	0.0253397	0.0211753	0.0186788	0.0220143	0.0245631
a87	0.424761	0.256423	0.0740874	0.0253973	0.0201175	0.0177367	0.0172371	0.0179944	0.0205266	0.0226851	0.0226092	0.0189895	0.0174156	0.0210813	0.0229385
a23	0.356858	0.210255	0.0751585	0.0337886	0.0309361	0.0287543	0.0282743	0.0281843	0.0316017	0.0343095	0.0337946	0.0287504	0.0248524	0.02708	0.0274022
a99	0.285347	0.215875	0.0767439	0.0363126	0.0351603	0.0307059	0.029265	0.0305418	0.0337209	0.0373509	0.0372452	0.0340891	0.0340333	0.039191	0.0444175
a40	0.203352	0.190618	0.0951224	0.0443902	0.0393183	0.0297961	0.0289978	0.0311797	0.0386079	0.0433898	0.0474986	0.0464495	0.0494252	0.0548336	0.0570209
a5	0.237534	0.230196	0.180804	0.078179	0.0480547	0.0243308	0.0179571	0.0158969	0.019346	0.023414	0.0258544	0.0265946	0.0265046	0.0253945	0.0199394
a43	0.0976404	0.158766	0.20769	0.127486	0.0901581	0.0465878	0.0334805	0.0255061	0.0255261	0.0264271	0.0268569	0.0282846	0.0328914	0.0382963	0.0344026
a31	0.0942289	0.157992	0.217747	0.138539	0.0942583	0.051106	0.0358452	0.0247616	0.0242466	0.0234824	0.0224957	0.023294	0.0265825	0.0324896	0.0329307
a61	0.0673468	0.100216	0.157553	0.150581	0.147962	0.0887143	0.0584376	0.035647	0.0309816	0.0262184	0.0227056	0.022655	0.0252206	0.0312108	0.0345502
a47	0.0407662	0.0652454	0.118962	0.139631	0.15861	0.105925	0.0728239	0.0464213	0.0401636	0.0339975	0.0288019	0.0284871	0.0323333	0.0405808	0.0472519
a75	0.0280845	0.0379392	0.0521436	0.0902946	0.157506	0.163771	0.116462	0.0747886	0.05799	0.0451964	0.0351697	0.0313888	0.0324453	0.0351421	0.0416788
a25	0.0160578	0.0229642	0.0398174	0.0818753	0.145993	0.154338	0.113828	0.0760102	0.0569947	0.0442977	0.0357513	0.0346699	0.0433474	0.0561336	0.0779219
a79	0.0196775	0.0259884	0.0493473	0.0945296	0.147173	0.145004	0.0998896	0.0630849	0.0460898	0.0345161	0.0295891	0.031384	0.0437995	0.0639911	0.105936
a69	0.0137922	0.0180783	0.031774	0.0682425	0.125694	0.163722	0.120653	0.0857332	0.0608991	0.0465803	0.0386248	0.037433	0.0457892	0.0589013	0.084083
