 	la	fille	est	en	train	de	laver	les	assiettes	</S>
a66	0.219637	0.1557	0.125922	0.126246	0.11024	0.10409	0.0826164	0.0411548	0.020865	0.0135283
a87	0.362833	0.188518	0.0991939	0.0846833	0.0701301	0.0786108	0.0646136	0.0261694	0.0150394	0.0102085
a23	0.329975	0.204135	0.12328	0.0879031	0.077144	0.0794823	0.052763	0.0201134	0.0152766	0.00992767
a53	0.295469	0.165497	0.105558	0.0811475	0.077736	0.0830063	0.0660928	0.0452881	0.0425356	0.037669
a79	0.293075	0.160558	0.117243	0.109265	0.098471	0.0863981	0.0653371	0.0359924	0.0186552	0.0150044
a44	0.183352	0.169221	0.137397	0.111964	0.115218	0.0956017	0.102344	0.0451384	0.0242005	0.0155636
a70	0.0947593	0.133895	0.130506	0.115838	0.126899	0.10487	0.120074	0.0862096	0.0578419	0.0291064
a96	0.0565959	0.0903522	0.101633	0.105175	0.118996	0.105676	0.141716	0.123473	0.101492	0.0548901
a70	0.0386501	0.0615064	0.0716903	0.0829266	0.0963878	0.094594	0.154172	0.155065	0.141856	0.103151
a93	0.0330806	0.0519635	0.0637128	0.076667	0.0945436	0.0933954	0.160112	0.150101	0.150389	0.126035
a54	0.0398385	0.068426	0.0905182	0.109189	0.127783	0.119623	0.16958	0.115912	0.0913935	0.0677362
a6	0.0273559	0.0494075	0.0767729	0.1056	0.128951	0.129447	0.172294	0.12291	0.101805	0.0854575
a0	0.0309724	0.0530735	0.0857775	0.11458	0.13077	0.12889	0.158975	0.112489	0.098581	0.0858909
a11	0.00804781	0.011069	0.0205849	0.0368331	0.0545385	0.081401	0.146803	0.194329	0.229837	0.216556
a88	0.00393346	0.00458622	0.0084076	0.0168863	0.0291814	0.051797	0.108468	0.226204	0.278727	0.271809
a75	0.00158245	0.00166166	0.00271253	0.00523839	0.00962116	0.0226981	0.0588485	0.224265	0.338924	0.334448
a85	0.00813181	0.0102745	0.0195058	0.038444	0.0535869	0.0781246	0.101487	0.177569	0.248381	0.264496
a6	0.0137576	0.0171255	0.029225	0.0483429	0.0525782	0.0684571	0.0764819	0.175491	0.263407	0.255134
a0	0.00500511	0.00734569	0.0166994	0.0338498	0.0458208	0.0625753	0.0705389	0.182641	0.289523	0.286001
a54	0.00283474	0.00293356	0.00490958	0.00816036	0.0118976	0.0221321	0.0409438	0.179861	0.343279	0.383048
a6	0.00358457	0.00429542	0.00782148	0.0124005	0.0179618	0.0282308	0.0365134	0.124978	0.291785	0.472429
a36	0.0041878	0.00477901	0.00833456	0.012334	0.0178021	0.02751	0.0348277	0.115727	0.287682	0.486816
a26	0.00178729	0.00166827	0.00291351	0.00448173	0.00770234	0.0138229	0.0210425	0.0957769	0.274746	0.576059
a57	0.0467757	0.0241337	0.027558	0.0329445	0.0419583	0.0496684	0.0538613	0.106216	0.196283	0.420601
a87	0.2671	0.0998508	0.0750849	0.0624683	0.0622115	0.0633124	0.0507242	0.072373	0.0978938	0.148981
a23	0.377539	0.137789	0.09206	0.068034	0.0617835	0.0584973	0.030709	0.0392159	0.056437	0.0779353
a10	0.248469	0.101328	0.0757987	0.06929	0.0883045	0.107437	0.0689691	0.0752451	0.0820134	0.0831449
</S>	0.106208	0.0554176	0.0562078	0.0631242	0.0793307	0.108779	0.0754821	0.126073	0.17422	0.155158
