 	donne	de	l'	argent	pour	que	nous	achetions	le	fil	pour	tendre	le	filet	</S>
a66	0.270236	0.214231	0.15153	0.0892794	0.0431915	0.0354154	0.0265085	0.0302413	0.0381117	0.030647	0.0208787	0.0180518	0.0140296	0.0086307	0.00901741
a87	0.263676	0.200621	0.161374	0.105193	0.0694296	0.049203	0.0341236	0.0191882	0.0195884	0.019866	0.0179846	0.0148964	0.00972544	0.00768649	0.00744473
a23	0.308604	0.235132	0.178845	0.10262	0.0531958	0.03005	0.0201392	0.0107764	0.0143417	0.0112626	0.00704904	0.00523506	0.00590223	0.00766831	0.00917892
a79	0.223039	0.179584	0.1488	0.0869578	0.0607039	0.0432331	0.0363037	0.01722	0.023745	0.0235817	0.019606	0.0177898	0.0202178	0.0398195	0.0593992
a5	0.203291	0.135729	0.109613	0.0739633	0.0730625	0.0585057	0.0460218	0.0409964	0.0512754	0.0409117	0.0370634	0.0372446	0.0271547	0.0292082	0.0359592
a36	0.123725	0.123333	0.131325	0.118198	0.102139	0.0899306	0.0780639	0.0467926	0.0496137	0.0411089	0.0312569	0.0243952	0.0150467	0.0127253	0.0123462
a76	0.0879686	0.101425	0.123242	0.136037	0.130828	0.112346	0.0998693	0.0572367	0.0456787	0.0391048	0.022279	0.0141172	0.00948365	0.00944958	0.0109349
a94	0.0683068	0.0760492	0.0885076	0.117692	0.124176	0.114294	0.121575	0.0995468	0.0626937	0.0491932	0.0272663	0.0184514	0.0117804	0.00971436	0.0107524
a90	0.0362781	0.0451481	0.0743564	0.113026	0.153651	0.124549	0.114218	0.0853163	0.0750375	0.0658285	0.0395695	0.0237556	0.0158597	0.0150034	0.0184032
a20	0.0283821	0.0358055	0.0591868	0.100533	0.151725	0.135388	0.130892	0.0979739	0.0742547	0.0571177	0.0347617	0.0260393	0.0225919	0.0214764	0.0238725
a69	0.0177868	0.0199702	0.0276724	0.0575568	0.113922	0.124137	0.149618	0.128614	0.0760909	0.0582882	0.0392447	0.0427121	0.046157	0.0452735	0.0529556
a58	0.0224136	0.0227447	0.0287338	0.0499232	0.0918939	0.0994253	0.10971	0.10579	0.0829444	0.0735247	0.0590844	0.054121	0.0555209	0.0610478	0.083122
a98	0.0201638	0.019335	0.0206468	0.0285719	0.0459835	0.0523096	0.0534997	0.0616006	0.0514231	0.0579151	0.0609048	0.0743999	0.0992764	0.137675	0.216295
a47	0.0124749	0.0126538	0.0131487	0.0259703	0.058052	0.0781848	0.0870196	0.108075	0.074427	0.0659013	0.0541873	0.0682201	0.09774	0.106114	0.137831
a85	0.00490841	0.00408209	0.00368854	0.00837659	0.0212674	0.0388868	0.0468752	0.0729756	0.0433932	0.0426599	0.0424814	0.0634436	0.11573	0.158948	0.332283
a5	0.00406986	0.00354283	0.00298389	0.00580561	0.0123164	0.0187669	0.0227478	0.0384401	0.0239433	0.0261456	0.02862	0.0526807	0.139872	0.220721	0.399343
a43	0.0076667	0.00634239	0.00485808	0.00673146	0.00771661	0.0087955	0.00935798	0.0148824	0.0127613	0.0177223	0.0244993	0.0523835	0.182238	0.281477	0.362568
a56	0.00810053	0.00651405	0.0046264	0.00604368	0.00643804	0.00675008	0.0070076	0.0106339	0.00777393	0.010565	0.016269	0.0382373	0.160034	0.297488	0.413519
a94	0.00302778	0.00231704	0.00167567	0.00240842	0.00337343	0.00443251	0.00504835	0.00762826	0.00541956	0.00753572	0.012016	0.0272377	0.121996	0.298294	0.49759
a90	0.00135162	0.00126104	0.001119	0.00187695	0.00307361	0.00416524	0.00484899	0.00724026	0.00398811	0.00687106	0.0140757	0.0406531	0.152692	0.283578	0.473206
a94	0.00100698	0.00087382	0.00067667	0.00114403	0.00196661	0.00302399	0.00401179	0.00772802	0.0050033	0.00801585	0.0153311	0.0403755	0.148047	0.300611	0.462185
a7	0.000916987	0.000867298	0.000773552	0.00147652	0.00274232	0.00423845	0.00498422	0.00763727	0.00405084	0.00702931	0.0142743	0.0462907	0.182097	0.314988	0.407634
a84	0.00126457	0.00103431	0.0008649	0.00126179	0.00211263	0.00335468	0.00497359	0.010388	0.00551839	0.00995628	0.0186054	0.0696959	0.218905	0.27294	0.379125
a87	0.149609	0.0962165	0.0527791	0.0454703	0.0469691	0.0538207	0.0610519	0.0641544	0.0401938	0.04866	0.0529923	0.0684392	0.0701595	0.0669522	0.0825319
a23	0.245213	0.221047	0.158908	0.105572	0.0753936	0.0517064	0.0449292	0.0253871	0.0190519	0.0163623	0.00956698	0.00792512	0.00712949	0.00591975	0.0058881
a87	0.154799	0.124596	0.0778648	0.0591607	0.0608672	0.0518151	0.0622536	0.0430952	0.0266322	0.0258721	0.016467	0.028208	0.0648066	0.0990224	0.104541
</S>	0.0395844	0.0323867	0.0193686	0.0184719	0.0247445	0.0189683	0.0215739	0.0163458	0.0105113	0.0117294	0.00931434	0.0285825	0.115048	0.255629	0.377741
