 	je	suis	natif	de	boundji	</S>
a66	0.527837	0.307846	0.114749	0.0261039	0.0112142	0.0122495
a87	0.362088	0.364315	0.206054	0.0294266	0.0164767	0.0216405
a23	0.412239	0.35746	0.147697	0.0371339	0.0199654	0.0255056
a87	0.494926	0.302591	0.0719294	0.026611	0.0350114	0.0689311
a23	0.557189	0.307852	0.0824233	0.0192625	0.0140479	0.0192259
a87	0.576348	0.247503	0.0775543	0.0213326	0.0284224	0.0488396
a23	0.584499	0.244224	0.108676	0.0284298	0.0156488	0.0185229
a83	0.616735	0.209002	0.0903292	0.0280752	0.0240623	0.0317962
a61	0.296229	0.213807	0.219103	0.120948	0.0890843	0.0608283
a12	0.141702	0.189235	0.30721	0.186714	0.114739	0.0604001
a62	0.102264	0.136192	0.359955	0.254728	0.102156	0.0447057
a96	0.0778476	0.0962623	0.274885	0.333496	0.138106	0.0794033
a75	0.0578902	0.0731135	0.21402	0.343127	0.17994	0.131909
a98	0.0322591	0.047543	0.180038	0.302139	0.24423	0.193791
a85	0.0207006	0.0370103	0.112985	0.26472	0.307239	0.257345
a92	0.00892909	0.011232	0.0416052	0.209043	0.390489	0.338702
a37	0.00666946	0.00508806	0.0169691	0.145935	0.382748	0.44259
a44	0.00379161	0.00235442	0.00455536	0.0267516	0.19884	0.763707
a70	0.00140081	0.000964798	0.00227712	0.0130967	0.133042	0.849219
a66	0.0022716	0.00176118	0.00474548	0.0216538	0.121229	0.848339
a0	0.0233004	0.012841	0.00852716	0.0394521	0.177888	0.737992
a9	0.0646873	0.036776	0.0182104	0.05425	0.192038	0.634039
a10	0.37935	0.234574	0.0537961	0.058276	0.099091	0.174912
a87	0.387458	0.25524	0.0753215	0.0513457	0.080981	0.149653
a23	0.238822	0.191567	0.110723	0.0623546	0.114205	0.282329
a87	0.108932	0.0840838	0.0445634	0.0440591	0.143985	0.574377
</S>	0.0338096	0.0278304	0.0283783	0.0439392	0.156874	0.709169
