 	je	découpe	un	peu	de	manioc	</S>
a87	0.372274	0.210947	0.145945	0.126673	0.0838206	0.0374712	0.022869
a23	0.535317	0.189484	0.0907169	0.0694418	0.0509904	0.034271	0.0297785
a70	0.329312	0.2222	0.133713	0.0941351	0.0687397	0.0680635	0.0838361
a75	0.372254	0.281651	0.151561	0.0968341	0.0531429	0.0257405	0.0188161
a85	0.32299	0.330698	0.190823	0.0863418	0.0373432	0.0172456	0.0145594
a61	0.225167	0.309549	0.308065	0.109343	0.0308846	0.0101448	0.0068468
a12	0.237376	0.357604	0.276445	0.0870487	0.0221557	0.00979478	0.00957586
a66	0.198293	0.282845	0.28129	0.145541	0.05249	0.0210469	0.0184946
a38	0.114488	0.175957	0.232253	0.202841	0.128177	0.0747442	0.0715396
a75	0.077125	0.124171	0.163129	0.190775	0.17489	0.133819	0.136091
a85	0.135193	0.152747	0.161127	0.173469	0.14205	0.114587	0.120827
a44	0.10678	0.0998324	0.101525	0.147942	0.178694	0.174482	0.190744
a84	0.106164	0.0909602	0.0785107	0.125676	0.201717	0.191333	0.20564
a40	0.0157989	0.0218249	0.0224166	0.0556955	0.150537	0.295237	0.43849
a90	0.017074	0.0190272	0.0155571	0.0326815	0.113777	0.300736	0.501148
a25	0.0105457	0.0139375	0.0161329	0.0405089	0.126603	0.312651	0.47962
a69	0.00437417	0.00573597	0.00648083	0.0172709	0.0711531	0.291731	0.603254
a84	0.00574077	0.00714585	0.0070713	0.0208777	0.0793383	0.29535	0.584476
a87	0.00563407	0.0047122	0.00663231	0.0218975	0.0809346	0.254831	0.625359
a23	0.102647	0.0837361	0.0672385	0.0742173	0.114464	0.214061	0.343636
a87	0.0338126	0.0281792	0.0280227	0.0504393	0.155177	0.320865	0.383504
</S>	0.0195497	0.0237345	0.029713	0.0648333	0.158421	0.315049	0.388699
