 	montre-moi	ta	blessure	</S>
a66	0.513576	0.240743	0.132168	0.113513
a87	0.308188	0.273081	0.185585	0.233146
a23	0.738519	0.115797	0.0630807	0.0826031
a38	0.642596	0.149311	0.0928404	0.115253
a94	0.493945	0.171675	0.148173	0.186207
a79	0.425353	0.229859	0.150681	0.194107
a56	0.399516	0.284598	0.163672	0.152214
a43	0.32155	0.280568	0.197058	0.200824
a11	0.249427	0.27436	0.230266	0.245947
a90	0.256082	0.225782	0.225657	0.292479
a56	0.236888	0.24194	0.236537	0.284635
a94	0.218178	0.22859	0.241321	0.311911
a90	0.201966	0.221142	0.255732	0.32116
a94	0.157571	0.23843	0.279963	0.324036
a56	0.149455	0.210231	0.290424	0.34989
a43	0.11373	0.196983	0.303496	0.385791
a54	0.0604351	0.110753	0.274594	0.554218
a37	0.0528303	0.129426	0.306245	0.511499
a35	0.028162	0.0508867	0.196458	0.724493
a54	0.0326656	0.0577006	0.213945	0.695689
a7	0.0203946	0.0531445	0.213463	0.712998
a26	0.0061968	0.0155794	0.110288	0.867936
a53	0.0123952	0.0308498	0.193061	0.763694
a79	0.0109163	0.0272914	0.140331	0.821461
a98	0.00642465	0.0168699	0.107617	0.869089
a47	0.0028592	0.0119973	0.105632	0.879511
a37	0.00292791	0.0133404	0.120861	0.862871
a35	0.00698485	0.0210313	0.141848	0.830136
a37	0.021845	0.0479463	0.20552	0.724689
a66	0.0119995	0.0331562	0.192042	0.762803
a83	0.025763	0.0560111	0.262948	0.655277
a9	0.0298784	0.0560305	0.25908	0.655011
a87	0.196494	0.131797	0.270038	0.401672
a23	0.396261	0.176362	0.183164	0.244213
a87	0.375659	0.1521	0.167698	0.304543
</S>	0.13316	0.109115	0.198664	0.559062
