 	la	voiture	s'	est	embourbée	dans	la	mare	</S>
a23	0.250252	0.160671	0.105469	0.123998	0.144196	0.112387	0.0498302	0.0280319	0.0251638
a87	0.260609	0.154867	0.117848	0.128742	0.165842	0.0793789	0.0339956	0.0279134	0.030804
a23	0.223965	0.166531	0.14441	0.147343	0.127334	0.0631523	0.0380297	0.0411425	0.0480917
a53	0.223213	0.231758	0.165462	0.141648	0.0926348	0.0418441	0.0286837	0.029351	0.0454057
a90	0.424052	0.311022	0.105702	0.0601855	0.038059	0.0186262	0.0139718	0.0133368	0.0150448
a57	0.282496	0.292301	0.180304	0.118883	0.0607949	0.0246483	0.0155457	0.0123809	0.012647
a38	0.213968	0.251389	0.192705	0.156881	0.0900377	0.040296	0.0214676	0.0168412	0.0164147
a90	0.194392	0.230264	0.176443	0.151237	0.0898043	0.0502104	0.036365	0.0348988	0.0363852
a56	0.187054	0.205725	0.163908	0.152548	0.10917	0.0609264	0.0401819	0.040848	0.0396394
a96	0.191692	0.187338	0.159921	0.162236	0.135276	0.0722285	0.0340674	0.0283011	0.0289396
a47	0.123492	0.128947	0.13306	0.160157	0.167323	0.114103	0.0610751	0.0555949	0.0562488
a75	0.0956345	0.0983439	0.116599	0.15401	0.171797	0.123486	0.0767665	0.0807401	0.0826234
a34	0.0762081	0.0744493	0.0800057	0.109653	0.144774	0.122526	0.119427	0.135297	0.13766
a75	0.0419406	0.0382684	0.0497579	0.0822865	0.156841	0.197353	0.151547	0.141939	0.140066
a98	0.0561101	0.0423449	0.0397908	0.04939	0.0814392	0.113886	0.159531	0.215626	0.241881
a47	0.01488	0.0119364	0.0143617	0.0188937	0.0360009	0.0697609	0.16286	0.309825	0.361481
a6	0.0184592	0.0135873	0.0154671	0.0177431	0.029907	0.0626451	0.165392	0.314355	0.362445
a85	0.00879496	0.00658176	0.00780706	0.0090964	0.0156249	0.0381907	0.149392	0.354662	0.40985
a43	0.013403	0.0104586	0.0107612	0.0115121	0.0173961	0.0406485	0.160567	0.358922	0.376332
a11	0.00346321	0.00201282	0.00244544	0.0032285	0.00885482	0.0327557	0.133874	0.371941	0.441424
a24	0.000754808	0.000368507	0.000413976	0.000632699	0.00289676	0.0137577	0.0842429	0.295876	0.601057
a0	0.00100104	0.000528876	0.000579651	0.000826924	0.00375019	0.0138687	0.0834789	0.250218	0.645748
a62	0.00287856	0.00149972	0.0015682	0.00175977	0.0060664	0.0159591	0.0745713	0.217074	0.678623
a88	0.00105652	0.000557332	0.000651361	0.000811391	0.00291937	0.0122037	0.0766277	0.279699	0.625473
a83	0.00251816	0.00155524	0.0018361	0.00206262	0.00731388	0.0233166	0.108524	0.246466	0.606407
a9	0.00334072	0.00188367	0.00225562	0.00252122	0.00955489	0.0264442	0.106804	0.232936	0.614259
a10	0.0263208	0.012056	0.010809	0.0100748	0.0206334	0.0323764	0.0892782	0.229285	0.569167
a87	0.0197791	0.00928237	0.00942258	0.0115095	0.0259936	0.0454102	0.112541	0.254621	0.511441
a10	0.0359391	0.0206584	0.0182784	0.0208405	0.0477256	0.0890747	0.184238	0.261127	0.322118
a87	0.023795	0.0148655	0.0126066	0.0162694	0.0431073	0.083239	0.171141	0.272151	0.362825
</S>	0.0181643	0.0116436	0.0108982	0.0135131	0.0355278	0.0718961	0.164668	0.284057	0.389632
