 	je	m'	étais	perdu	d	brazaville	</S>
a66	0.435856	0.246228	0.154847	0.079809	0.0359846	0.0287868	0.0184886
a10	0.361687	0.133852	0.0964153	0.0657448	0.0915598	0.156859	0.0938824
a79	0.355296	0.28086	0.183728	0.0879529	0.0378169	0.0259404	0.0284064
a44	0.356706	0.249907	0.208178	0.13377	0.0363356	0.00944852	0.00565513
a75	0.38135	0.27276	0.198546	0.114373	0.0236204	0.0055735	0.00377594
a85	0.30005	0.25846	0.227435	0.146311	0.0513312	0.011093	0.00531996
a47	0.272594	0.263808	0.231392	0.138333	0.0617559	0.0218824	0.0102351
a36	0.22837	0.265164	0.259543	0.165474	0.0564538	0.0162146	0.00878052
a90	0.160815	0.233827	0.190452	0.134738	0.133221	0.0845627	0.0623838
a93	0.145943	0.1916	0.161386	0.123823	0.160069	0.127989	0.0891886
a21	0.127591	0.161173	0.162039	0.140057	0.184418	0.135777	0.0889434
a92	0.0447115	0.0560114	0.0832609	0.11059	0.269639	0.26544	0.170348
a56	0.0205513	0.0384035	0.0863537	0.165152	0.283797	0.231194	0.174549
a21	0.0215621	0.0407619	0.090595	0.179546	0.284769	0.225015	0.157752
a12	0.0065404	0.0101201	0.0229719	0.0557705	0.182046	0.310685	0.411866
a21	0.00242667	0.00349972	0.00959699	0.0313214	0.135844	0.330463	0.486848
a12	0.00144774	0.00179131	0.00506194	0.0161904	0.0835008	0.272295	0.619713
a18	0.000728073	0.000992767	0.0033053	0.0148079	0.0714199	0.26267	0.646076
a25	0.000787614	0.00086948	0.0016963	0.00501965	0.0294275	0.231586	0.730613
a82	0.00345153	0.00348474	0.00554089	0.0129005	0.0391642	0.194871	0.740587
a97	0.0663329	0.0385782	0.0396012	0.0513527	0.0897795	0.264383	0.449973
a99	0.0900612	0.0663668	0.0730018	0.092606	0.120428	0.239388	0.318148
</S>	0.017806	0.0114471	0.0133611	0.0219993	0.0612051	0.236329	0.637852
