 	cette	jeune	fille	a	mis	les	cendres	sur	son	visage	</S>
a66	0.20464	0.136339	0.111185	0.126621	0.136476	0.11734	0.0885841	0.0372818	0.0154927	0.0134627	0.0125774
a87	0.229696	0.128309	0.10075	0.0758132	0.0746828	0.0503422	0.0417535	0.0807637	0.0599107	0.0769357	0.0810424
a23	0.435113	0.183626	0.0895174	0.0530572	0.0395101	0.0328545	0.0304193	0.0284106	0.0236038	0.0361026	0.0477849
a97	0.327557	0.169492	0.10507	0.0685676	0.0522224	0.0506962	0.0661079	0.0470514	0.0290942	0.0341211	0.0500199
a83	0.245372	0.171723	0.117324	0.0813817	0.0527389	0.0550511	0.0804981	0.0586832	0.0499785	0.0408988	0.0463502
a54	0.326977	0.216001	0.122712	0.073228	0.0455058	0.0285145	0.0331181	0.0392387	0.0324967	0.0403038	0.0419045
a98	0.251686	0.183541	0.110299	0.0679844	0.0488776	0.0362619	0.0660547	0.0553653	0.0448022	0.0665769	0.0685506
a92	0.197107	0.1768	0.137565	0.101749	0.0809769	0.0570915	0.0730496	0.0498457	0.0320898	0.0459816	0.0477433
a56	0.14986	0.171243	0.1539	0.12661	0.0928976	0.0643243	0.0975076	0.0474797	0.0263632	0.0324935	0.0373212
a96	0.118559	0.1464	0.156327	0.156223	0.123592	0.0906738	0.114302	0.0371253	0.0182013	0.0185408	0.0200557
a12	0.105127	0.132982	0.151489	0.161988	0.133519	0.0949957	0.10792	0.0378168	0.0227757	0.0242061	0.0271805
a93	0.0916157	0.118308	0.148253	0.166053	0.15215	0.121175	0.115011	0.0338398	0.0170076	0.0167741	0.0198139
a90	0.0988018	0.125729	0.154078	0.165337	0.14724	0.115242	0.0971152	0.0292003	0.0188414	0.020772	0.0276429
a25	0.0505113	0.0694793	0.118489	0.161128	0.158613	0.122446	0.122156	0.0542644	0.0353086	0.0428293	0.0647748
a79	0.0260546	0.036347	0.0784586	0.138017	0.152862	0.141444	0.159723	0.0770854	0.0521354	0.0561884	0.0816854
a56	0.0196574	0.0261595	0.0542072	0.101734	0.128956	0.149078	0.166531	0.0948577	0.0785573	0.0775125	0.102749
a44	0.0254022	0.0325119	0.0648891	0.126114	0.157052	0.173877	0.155493	0.0720765	0.0524285	0.0567971	0.0833582
a98	0.0154019	0.0178608	0.0342191	0.0784023	0.119076	0.162673	0.16277	0.0967087	0.0854933	0.0896695	0.137725
a92	0.00583229	0.00698766	0.0155492	0.0431063	0.0780688	0.12525	0.149083	0.113563	0.146144	0.138119	0.178296
a56	0.00462457	0.00567446	0.0118726	0.030893	0.0596396	0.0999004	0.125955	0.11015	0.161539	0.177988	0.211763
a44	0.00719184	0.00833396	0.0162158	0.0388399	0.0711606	0.128789	0.136638	0.109471	0.128044	0.150473	0.204842
a70	0.00478881	0.00504956	0.00905859	0.0206674	0.0395774	0.0910983	0.112788	0.112072	0.175938	0.187261	0.241702
a93	0.00409541	0.00436028	0.00773185	0.016078	0.0279963	0.0595915	0.0816915	0.0990311	0.18226	0.216315	0.30085
a70	0.00343886	0.00322197	0.0051329	0.0112497	0.0224294	0.0566312	0.0862644	0.103595	0.188539	0.206188	0.31331
a34	0.00274669	0.00254311	0.00399878	0.0076631	0.0131149	0.0263696	0.0423314	0.0725417	0.188956	0.263802	0.375933
a47	0.00166097	0.00157625	0.00260651	0.00546539	0.0100916	0.0235756	0.038256	0.0675308	0.187341	0.277749	0.384147
a62	0.00104444	0.000978815	0.00150855	0.00291221	0.00495832	0.00965394	0.0188911	0.0447282	0.180913	0.318671	0.41574
a47	0.00060574	0.000570598	0.000891392	0.00158621	0.00277752	0.00483354	0.0108788	0.0393266	0.190909	0.314909	0.432712
a62	0.00185525	0.00160162	0.00222529	0.00362893	0.00551916	0.00908911	0.0163486	0.0532764	0.212805	0.296592	0.397058
a96	0.00105672	0.000940872	0.00141035	0.0023413	0.00375108	0.00629706	0.0148242	0.0482722	0.215156	0.296757	0.409193
a88	0.000317839	0.000294915	0.000508167	0.0010441	0.00187588	0.00347931	0.00828338	0.0327271	0.170919	0.293406	0.487145
a71	0.000576382	0.000503374	0.00086334	0.00162135	0.00270624	0.00450127	0.0120294	0.045033	0.205033	0.300852	0.426281
a9	0.00510324	0.00409536	0.00483819	0.00693526	0.0100956	0.0210697	0.0333338	0.0720474	0.244027	0.258955	0.3395
a87	0.0660024	0.0386651	0.0359909	0.0369437	0.0429949	0.0610751	0.0656828	0.115166	0.184754	0.164348	0.188377
a23	0.136436	0.0732732	0.0579609	0.0518569	0.0606904	0.0793132	0.0764178	0.107464	0.121728	0.122672	0.112187
a99	0.0505838	0.0189144	0.0120736	0.00804199	0.00905492	0.0107135	0.00939761	0.036689	0.0962324	0.245814	0.502485
a87	0.0315553	0.0132858	0.00915092	0.00797009	0.0102804	0.014191	0.014207	0.0407075	0.0962895	0.241467	0.520895
</S>	0.00822675	0.00340569	0.00278719	0.00318514	0.00489227	0.0061599	0.0081803	0.0291715	0.0815302	0.237908	0.614553
