 	je	n'	aime	jamais	rater	la	messe	</S>
a66	0.246877	0.149561	0.136868	0.124468	0.100896	0.106216	0.0880012	0.0471124
a87	0.149155	0.130253	0.142412	0.133817	0.181841	0.135773	0.0972337	0.0295158
a23	0.336546	0.232289	0.152758	0.0676287	0.0693004	0.0610452	0.0615064	0.0189274
a18	0.282172	0.214979	0.218227	0.120936	0.090171	0.0413676	0.0235905	0.0085571
a24	0.274699	0.208792	0.176557	0.125304	0.0821186	0.0446783	0.0631006	0.0247508
a31	0.2338	0.178933	0.155196	0.176532	0.106333	0.0591405	0.069815	0.0202511
a88	0.211268	0.204096	0.212397	0.185236	0.113666	0.0397054	0.0250254	0.00860657
a31	0.204578	0.213424	0.221579	0.18372	0.113932	0.0353149	0.0186193	0.00883347
a88	0.162662	0.182666	0.212011	0.20428	0.153539	0.0459031	0.0246863	0.0142525
a90	0.163623	0.189681	0.206805	0.198729	0.141833	0.0455907	0.0299133	0.023826
a56	0.13516	0.164754	0.2023	0.213391	0.152826	0.0534741	0.0415047	0.0365902
a43	0.121098	0.168048	0.214626	0.220448	0.155957	0.0526913	0.0332219	0.0339096
a75	0.0920512	0.149238	0.230623	0.241627	0.164901	0.0558681	0.0307786	0.0349141
a61	0.0678795	0.100305	0.171297	0.186985	0.148627	0.110619	0.081758	0.132529
a12	0.0736103	0.112083	0.216045	0.207874	0.145143	0.0921456	0.0587375	0.0943617
a75	0.0652282	0.0948617	0.189647	0.181408	0.140035	0.114573	0.0778047	0.136442
a21	0.0425353	0.0478289	0.0833528	0.0818407	0.0788267	0.133699	0.155312	0.376605
a61	0.0592641	0.0656941	0.109021	0.0981362	0.0833072	0.134232	0.152363	0.297983
a21	0.0474438	0.0548782	0.084403	0.0857757	0.0758859	0.153387	0.194891	0.303335
a24	0.0433879	0.0441276	0.0592242	0.0591599	0.0521635	0.12754	0.207568	0.40683
a31	0.0211922	0.0235086	0.0301313	0.0311313	0.0328839	0.0830477	0.200308	0.577797
a88	0.0192512	0.0213982	0.0296415	0.0291082	0.0339214	0.0871847	0.187894	0.591601
a75	0.00777596	0.00927267	0.0121723	0.0160533	0.0208658	0.0657808	0.184378	0.683702
a6	0.0028374	0.00337573	0.0044171	0.00500777	0.00823704	0.0530363	0.134634	0.788454
a36	0.00171207	0.00219999	0.00317991	0.0041058	0.00854536	0.0488419	0.117282	0.814133
a26	0.0125831	0.0140082	0.0116471	0.00999403	0.021975	0.0921051	0.178905	0.658782
a57	0.189277	0.152475	0.101881	0.092943	0.0927317	0.0931677	0.0944165	0.183108
a10	0.30241	0.177775	0.107424	0.0800532	0.0788985	0.0696629	0.0922777	0.0914991
a87	0.229126	0.167061	0.11851	0.0733422	0.0767677	0.079202	0.141459	0.114533
a23	0.1807	0.139189	0.107137	0.0689771	0.0818108	0.0953911	0.179147	0.147648
a87	0.0723884	0.0611202	0.0490332	0.0322349	0.0444093	0.109605	0.270541	0.360668
a10	0.0325065	0.0239894	0.0212956	0.0154609	0.0246545	0.0802201	0.300338	0.501535
</S>	0.0491817	0.0418768	0.0497206	0.0358454	0.0549516	0.118003	0.289455	0.360966
