 	la	pintade	est	aussi	tâchetée	que	le	léopard	</S>
a66	0.0310388	0.0963938	0.163504	0.40318	0.250491	0.0462605	0.00522726	0.00226969	0.00163525
a87	0.29818	0.242528	0.167357	0.120105	0.117685	0.0399615	0.00670063	0.00394491	0.00353917
a23	0.29002	0.162887	0.106208	0.115812	0.255454	0.0461947	0.0111214	0.00630179	0.00600124
a87	0.391218	0.20181	0.141028	0.0777805	0.0977379	0.0334715	0.0174401	0.015814	0.0237009
a23	0.361418	0.186446	0.132943	0.0950546	0.145182	0.0365112	0.0172066	0.0111918	0.0140476
a54	0.34416	0.138551	0.110917	0.0821128	0.157065	0.0733603	0.0390955	0.0256789	0.0290591
a92	0.231332	0.264408	0.19754	0.108778	0.0977703	0.0706133	0.0141611	0.00799165	0.00740656
a37	0.218039	0.210848	0.14312	0.0996817	0.126619	0.129512	0.046985	0.0186726	0.00652234
a5	0.183285	0.161756	0.0993324	0.0606035	0.122458	0.172177	0.0948124	0.078568	0.0270079
a12	0.151172	0.150702	0.117337	0.10362	0.129232	0.16622	0.0770304	0.0752058	0.0294792
a75	0.0968939	0.113388	0.103857	0.108081	0.138218	0.225406	0.0941903	0.0838608	0.0361062
a85	0.0486722	0.110296	0.117294	0.116187	0.153222	0.154891	0.104386	0.133247	0.061805
a6	0.0491356	0.096913	0.104056	0.0938852	0.0925258	0.143065	0.105877	0.16644	0.148103
a36	0.0372953	0.0536657	0.0599095	0.0549052	0.0549922	0.132074	0.168663	0.247234	0.191262
a92	0.0138546	0.0174172	0.0260569	0.0302133	0.021328	0.0619749	0.15939	0.34462	0.325145
a12	0.00112831	0.00178793	0.00234343	0.00412909	0.00402629	0.0401693	0.197671	0.365572	0.383173
a96	0.000236914	0.00021744	0.000345339	0.000784961	0.000933787	0.00816695	0.090298	0.298176	0.600841
a56	0.000259757	0.000235682	0.000365927	0.000853366	0.00119026	0.00907303	0.0779858	0.253681	0.656355
a37	0.000145246	0.000147331	0.000227596	0.000518919	0.000900093	0.00612687	0.0673465	0.237661	0.686926
a66	0.000296307	0.000250824	0.000388673	0.000912398	0.00219176	0.0113157	0.0910088	0.251686	0.641949
a3	0.000520476	0.000248858	0.000432713	0.00123667	0.00257135	0.00928982	0.0690002	0.230218	0.686482
a87	0.0237072	0.0128893	0.0153256	0.0418105	0.0477528	0.0378358	0.0791447	0.168385	0.573149
a23	0.108633	0.0764027	0.0807665	0.142717	0.159874	0.119408	0.0959223	0.100096	0.116179
a99	0.0333966	0.0174776	0.0108886	0.0122263	0.0171413	0.0153351	0.0813274	0.288642	0.523565
a97	0.00669457	0.00410721	0.00259683	0.00409117	0.00569061	0.0126965	0.0995441	0.327096	0.537484
a87	0.00368493	0.00270715	0.00195665	0.00377609	0.00704652	0.0273212	0.133349	0.326642	0.493517
</S>	0.00726846	0.00515024	0.0050963	0.0107025	0.0120948	0.0306729	0.132363	0.298989	0.497663
