 	l'	eau	est	maintenant	chaude	</S>
a23	0.507302	0.290134	0.0947309	0.0467206	0.0346481	0.0264641
a87	0.542732	0.275916	0.094259	0.0427819	0.0287045	0.015606
a23	0.245806	0.205432	0.185819	0.129198	0.129465	0.10428
a10	0.439554	0.268232	0.141449	0.0701394	0.0444977	0.0361278
a99	0.47471	0.272686	0.132091	0.0566708	0.0333649	0.0304773
a83	0.372116	0.251397	0.158969	0.0959556	0.0633857	0.0581765
a34	0.285531	0.250239	0.209872	0.137961	0.0716519	0.0447448
a54	0.287201	0.272107	0.234555	0.128647	0.0523146	0.0251754
a47	0.183546	0.176962	0.204556	0.204787	0.138716	0.0914317
a6	0.178796	0.18009	0.212633	0.17963	0.142569	0.106282
a61	0.154509	0.15119	0.220406	0.209774	0.157594	0.106527
a47	0.0901548	0.0831563	0.1459	0.267447	0.260468	0.152874
a70	0.0976891	0.0840957	0.122596	0.193576	0.248224	0.25382
a90	0.0336241	0.0316982	0.0604727	0.18444	0.340512	0.349253
a25	0.0363677	0.0305198	0.0528592	0.142	0.281335	0.456918
a94	0.00907161	0.00786073	0.0179622	0.0830166	0.264269	0.61782
a96	0.020145	0.0159307	0.0256518	0.0703895	0.206702	0.661181
a62	0.00798157	0.00657771	0.0173046	0.0642204	0.226054	0.677861
a31	0.00313811	0.0025552	0.00678531	0.039996	0.244474	0.703051
a21	0.00221574	0.00223315	0.00617803	0.0344704	0.252309	0.702593
a41	0.00339877	0.00318187	0.0069431	0.0315058	0.200335	0.754636
a6	0.00154203	0.001459	0.0040954	0.0277413	0.222334	0.742828
a36	0.00188181	0.00208009	0.00680786	0.0398836	0.243866	0.705481
a2	0.0072634	0.00414338	0.00890942	0.0514141	0.259799	0.668471
a30	0.14381	0.0989937	0.0644508	0.0789408	0.190505	0.4233
a10	0.315646	0.272419	0.136532	0.0894674	0.0848781	0.101058
a87	0.116371	0.110286	0.107438	0.139499	0.24083	0.285576
a10	0.10005	0.0820213	0.0839541	0.135665	0.273187	0.325122
a87	0.0458083	0.0369976	0.0505328	0.107433	0.266018	0.49321
a23	0.0367507	0.0332812	0.0476225	0.101675	0.259432	0.521239
a87	0.0139636	0.0123167	0.0216613	0.0625555	0.203082	0.686421
</S>	0.015277	0.015883	0.0293744	0.073413	0.207882	0.658171
