 	les	bananes	sont	pleines	</S>
a40	0.224365	0.195914	0.137598	0.160249	0.281875
a44	0.0827636	0.113652	0.164584	0.259309	0.379692
a26	0.273194	0.285631	0.18904	0.129775	0.122361
a84	0.477423	0.331495	0.0963972	0.0429898	0.0516946
a53	0.424749	0.301903	0.13356	0.0674593	0.0723295
a15	0.273304	0.312898	0.195417	0.117938	0.100442
a7	0.178874	0.210599	0.219359	0.207035	0.184133
a11	0.191276	0.210182	0.229778	0.198627	0.170136
a75	0.162827	0.162993	0.209201	0.224424	0.240556
a47	0.111936	0.132804	0.203317	0.308268	0.243676
a44	0.0958295	0.094256	0.164096	0.30265	0.343168
a93	0.100791	0.0961112	0.152894	0.318209	0.331995
a66	0.0857413	0.0919056	0.178265	0.353717	0.290371
a38	0.0382376	0.0457549	0.100114	0.318907	0.496987
a0	0.043803	0.0546282	0.101183	0.284839	0.515547
a10	0.0282217	0.0345908	0.0708395	0.257523	0.608825
a87	0.0244921	0.0325953	0.06142	0.239413	0.642079
a23	0.0671616	0.0927846	0.134842	0.258054	0.447157
a87	0.0665715	0.0782617	0.134977	0.324951	0.395239
</S>	0.0605482	0.0600579	0.106551	0.294734	0.478109
