 	la	manière	dont	il	regarde	ma	femme	montre	qu'	il	a	un	problème	</S>
a87	0.260427	0.13694	0.10286	0.117983	0.100713	0.0526131	0.0391572	0.0305102	0.0339074	0.0275151	0.0258135	0.0243184	0.0224892	0.0247517
a10	0.167335	0.0771085	0.0436806	0.0333635	0.0262356	0.0339149	0.0650874	0.0983947	0.124101	0.0864559	0.0738647	0.0613957	0.0513701	0.0576929
a97	0.166009	0.147969	0.145602	0.0809843	0.0419907	0.0313769	0.0412996	0.0479532	0.0487647	0.0451567	0.0402329	0.0437147	0.0534202	0.0655268
a3	0.260758	0.223208	0.164507	0.048014	0.0229276	0.0172831	0.0253263	0.0301536	0.0361945	0.0361552	0.0348517	0.0341506	0.0346728	0.0317981
a99	0.29752	0.23445	0.13541	0.0306316	0.0192996	0.0156831	0.023922	0.026722	0.0347468	0.0369299	0.0415417	0.0397462	0.0353009	0.0280959
a62	0.280502	0.204244	0.115464	0.0240782	0.0210137	0.0233702	0.0379481	0.0407047	0.04603	0.0448759	0.0499957	0.0437929	0.0369291	0.0310512
a47	0.288723	0.286146	0.156359	0.028061	0.0171072	0.0176132	0.0264534	0.0257939	0.0278159	0.0247823	0.0237025	0.0228977	0.0218579	0.0326874
a62	0.248026	0.358167	0.200995	0.0262712	0.0153029	0.0172984	0.0251322	0.0221043	0.0208224	0.0161014	0.0131346	0.0116278	0.0100268	0.0149897
a21	0.260624	0.376455	0.185692	0.0234695	0.0154503	0.0171827	0.0229025	0.0196893	0.0180767	0.0140166	0.0113483	0.0106004	0.00998482	0.0145077
a47	0.188998	0.304135	0.226322	0.0434293	0.0265874	0.0304101	0.0377428	0.031755	0.0259774	0.0188637	0.0154225	0.0147279	0.0147115	0.0209175
a12	0.199011	0.224136	0.215284	0.0559351	0.0393213	0.0505101	0.0517308	0.0414912	0.0292165	0.0214163	0.0167463	0.0152046	0.0167958	0.0232017
a31	0.17434	0.184416	0.207612	0.0733687	0.0495908	0.0589332	0.0554916	0.0447409	0.03095	0.0244582	0.0202524	0.0192982	0.0225944	0.033954
a24	0.11548	0.128744	0.214128	0.111999	0.0738087	0.0668721	0.0553561	0.0473334	0.0352627	0.0298834	0.0254974	0.0247452	0.0289664	0.0419245
a21	0.0653854	0.0672413	0.145295	0.135833	0.103026	0.101422	0.0814205	0.0678127	0.0492021	0.0400364	0.0321128	0.0296484	0.0346739	0.0468901
a47	0.116754	0.0991571	0.181506	0.125796	0.0915908	0.0700636	0.060186	0.0538173	0.0426497	0.0375839	0.0299101	0.0279524	0.0279921	0.0350416
a21	0.0562004	0.0428169	0.0883697	0.155787	0.137644	0.126459	0.09534	0.0764079	0.0555582	0.0441435	0.0320814	0.0266893	0.0277895	0.0347133
a24	0.0505518	0.0411438	0.0689924	0.131041	0.126219	0.126334	0.100074	0.085809	0.0635015	0.0514161	0.0382676	0.0332689	0.0359824	0.0473984
a75	0.0292311	0.0248259	0.0456296	0.127817	0.140145	0.133269	0.0987977	0.0848789	0.0699732	0.0584163	0.0425501	0.0395685	0.0471551	0.0577427
a85	0.0303697	0.0181489	0.0299439	0.0607236	0.0836478	0.121719	0.113567	0.116154	0.088494	0.0792718	0.057219	0.0520887	0.0637217	0.0849311
a79	0.0194175	0.012789	0.0244344	0.0784173	0.0976568	0.110187	0.0965613	0.100942	0.0856	0.0826536	0.0604703	0.0587012	0.075456	0.0967134
a37	0.00733418	0.00571594	0.0111178	0.0479641	0.0855468	0.144277	0.131789	0.135027	0.0900515	0.0762265	0.0503903	0.0467182	0.0699594	0.0978823
a85	0.00733	0.00536822	0.0104542	0.0451437	0.0749842	0.139681	0.123692	0.135633	0.0930317	0.0794686	0.0521628	0.048771	0.0736304	0.110649
a79	0.00937562	0.00643147	0.0102905	0.0318633	0.0510545	0.0962551	0.0942542	0.13337	0.104566	0.107324	0.0739357	0.0664233	0.0890972	0.12576
a98	0.00562003	0.00451066	0.00829543	0.0312426	0.0565115	0.120159	0.112879	0.145893	0.101815	0.0929446	0.0581679	0.0528974	0.0814441	0.127619
a6	0.00811622	0.00697611	0.0104424	0.0273406	0.0424141	0.0814551	0.0829877	0.127626	0.0907419	0.0970395	0.0666379	0.0663965	0.113316	0.17851
a0	0.00948189	0.00786889	0.0107996	0.0255016	0.0403264	0.085874	0.0876425	0.127915	0.0919834	0.0963527	0.0679809	0.0672098	0.112432	0.168632
