 	la	femme	a	emballé	le	manioc	dans	des	feuilles	</S>
a66	0.250088	0.161295	0.131864	0.134066	0.134239	0.0977238	0.0496529	0.0191505	0.0118119	0.0101088
a87	0.258942	0.153105	0.147736	0.138332	0.0920874	0.0637519	0.0460672	0.0365358	0.0324506	0.0309918
a23	0.383199	0.21922	0.141601	0.0518866	0.0343488	0.0294819	0.0326392	0.0316482	0.0353457	0.0406293
a30	0.318103	0.204592	0.142993	0.0612961	0.0384476	0.0333857	0.0373257	0.0432686	0.0514296	0.069159
a99	0.256043	0.217311	0.170463	0.054338	0.0463539	0.0480014	0.0502839	0.0509247	0.0497017	0.0565793
a70	0.198203	0.209011	0.152607	0.0582803	0.0541879	0.0627544	0.0723558	0.072655	0.0620303	0.0579148
a61	0.269582	0.290583	0.18227	0.0585397	0.0371042	0.035971	0.0371947	0.0357254	0.0290435	0.0239865
a75	0.281848	0.313657	0.202285	0.0683801	0.0386902	0.0285322	0.0224045	0.0173253	0.0140062	0.0128721
a79	0.234401	0.249903	0.193846	0.0968555	0.067637	0.0495738	0.0342283	0.0264029	0.0234373	0.0237154
a47	0.155003	0.189909	0.182114	0.137358	0.104481	0.0697424	0.0427886	0.036013	0.0379881	0.0446044
a6	0.150359	0.175548	0.152796	0.102649	0.0885862	0.0608233	0.0450964	0.0524044	0.0736789	0.0980591
a56	0.153467	0.157875	0.150482	0.12453	0.0992133	0.0653581	0.0412435	0.0460983	0.0685159	0.0932181
a90	0.148038	0.163797	0.162092	0.148196	0.12691	0.0769911	0.038133	0.0330476	0.0440611	0.058734
a25	0.0741271	0.0937709	0.115828	0.150859	0.150525	0.110653	0.0617777	0.0556607	0.078757	0.108042
a56	0.0468793	0.0628033	0.0810905	0.114438	0.144924	0.132271	0.0840219	0.0737992	0.104295	0.155478
a94	0.0333363	0.0399764	0.0539658	0.122531	0.145243	0.134511	0.0980216	0.0881934	0.121314	0.162908
a90	0.0208183	0.0219931	0.025929	0.0748866	0.098749	0.103242	0.100062	0.108286	0.174374	0.27166
a98	0.0157319	0.0164537	0.0228386	0.0737832	0.10502	0.127077	0.130197	0.124801	0.160576	0.22352
a5	0.0081135	0.00824224	0.0111929	0.0362778	0.0450868	0.0579861	0.0884064	0.143051	0.232928	0.368716
a75	0.00517555	0.00440127	0.00441681	0.0127306	0.0175269	0.0257127	0.0502717	0.122239	0.282632	0.474894
a85	0.00239386	0.00270804	0.00398779	0.0139437	0.0179355	0.0267448	0.0584073	0.158547	0.289004	0.426327
a6	0.00187318	0.00204053	0.0026841	0.00839831	0.0113669	0.017608	0.0419177	0.137461	0.303679	0.472971
a36	0.00184358	0.00145725	0.00166993	0.00555283	0.00652287	0.0110576	0.0306858	0.104665	0.287224	0.549321
a85	0.00315784	0.00203767	0.0015384	0.00293772	0.00335889	0.00676255	0.0205826	0.0782072	0.280526	0.600892
a0	0.00243325	0.00164766	0.00165879	0.00417083	0.00441376	0.00962313	0.0293465	0.0919467	0.282461	0.572299
a11	0.0209443	0.0132433	0.0171279	0.0281846	0.0340036	0.0524528	0.0724482	0.116784	0.230792	0.414019
a10	0.0501325	0.0320283	0.0297616	0.0364518	0.0418494	0.0544919	0.062175	0.0947033	0.20451	0.393896
a87	0.202651	0.0867919	0.0628248	0.0591801	0.0637346	0.0672316	0.0724282	0.081355	0.122669	0.181134
a23	0.254656	0.120912	0.0969438	0.071346	0.0755284	0.0677836	0.0662215	0.0649697	0.0820544	0.0995845
a99	0.0676713	0.0281898	0.0230728	0.0245177	0.0185396	0.0218984	0.0456157	0.114681	0.258918	0.396895
a26	0.0258627	0.0136406	0.0131897	0.020425	0.020225	0.0259472	0.0520975	0.126093	0.275222	0.427297
</S>	0.0126049	0.00826749	0.00941728	0.0172883	0.0148016	0.0184067	0.0365351	0.0976224	0.268271	0.516786
