 	les	femmes	d'	otsende	étaient	en	train	de	vendre	des	fruits	gambea	</S>
a66	0.270427	0.222223	0.175407	0.0919892	0.0471865	0.0478316	0.0415621	0.0348129	0.0176622	0.0132299	0.0122489	0.012454	0.0129668
a87	0.409158	0.174647	0.101039	0.0593457	0.0230868	0.0210039	0.0171933	0.0193287	0.0200345	0.0235903	0.0308286	0.0437732	0.056971
a23	0.377679	0.194312	0.153737	0.0618764	0.0207806	0.0170977	0.0182094	0.0207954	0.0204652	0.0211136	0.0248361	0.0298527	0.0392448
a40	0.19903	0.0960106	0.120402	0.121927	0.0596309	0.0504926	0.0467054	0.0363278	0.0372887	0.0390058	0.0440654	0.0558701	0.0932427
a37	0.181089	0.123435	0.117021	0.114162	0.0817276	0.070366	0.0701012	0.0569364	0.0406053	0.035748	0.0361023	0.0347978	0.0379078
a96	0.277459	0.22791	0.252673	0.101564	0.0222988	0.0117547	0.00975016	0.00754669	0.0074498	0.00984289	0.0157707	0.0217426	0.034237
a90	0.155577	0.165071	0.241888	0.215809	0.0591621	0.0342989	0.0260516	0.0185775	0.0152612	0.0153339	0.0173771	0.0181715	0.0174211
a92	0.105855	0.149226	0.195855	0.183771	0.0932367	0.0629923	0.0500236	0.0369299	0.0254461	0.0219025	0.0225763	0.025539	0.0266456
a79	0.0682711	0.100164	0.139084	0.188092	0.127879	0.0932736	0.0723175	0.0525208	0.0342551	0.0314759	0.0299255	0.0299707	0.0327708
a56	0.0552249	0.0809234	0.107845	0.168654	0.142578	0.118231	0.0935201	0.0725137	0.0410803	0.0341793	0.028463	0.0275821	0.0292052
a21	0.0751918	0.0971704	0.130801	0.172981	0.163858	0.110578	0.081038	0.051338	0.0271998	0.0241437	0.0217247	0.0195851	0.024391
a12	0.0579526	0.085208	0.0943871	0.163175	0.135595	0.120629	0.0982231	0.082576	0.0442866	0.034086	0.0280455	0.025563	0.0302735
a75	0.0205483	0.0394614	0.0612125	0.135387	0.14729	0.145003	0.129969	0.114332	0.0603486	0.0446427	0.0355755	0.0311347	0.0350957
a85	0.0116429	0.0222784	0.0300104	0.0862731	0.133586	0.132843	0.113452	0.105385	0.0856361	0.081248	0.0698142	0.0624502	0.0653798
a92	0.00653831	0.0134436	0.0200773	0.0754166	0.134777	0.133996	0.101713	0.102707	0.0923908	0.0904791	0.0834384	0.0755244	0.0694971
a98	0.0108497	0.0192732	0.0294086	0.0805342	0.149726	0.160453	0.142477	0.134556	0.0809771	0.0604128	0.0451367	0.0377477	0.048447
a85	0.00384678	0.00837911	0.0130376	0.0521135	0.129692	0.145483	0.12302	0.119516	0.0980308	0.0867715	0.0766853	0.0692752	0.0741488
a47	0.00262958	0.00584445	0.00904409	0.028239	0.0913056	0.128452	0.120845	0.136095	0.123447	0.104984	0.0873929	0.0729406	0.0887809
a36	0.00245289	0.0043385	0.00650392	0.0114929	0.0653152	0.11442	0.108239	0.124642	0.107069	0.100219	0.0927851	0.079829	0.182693
a61	0.00555523	0.00714424	0.0093138	0.0160041	0.0644734	0.120951	0.129288	0.154762	0.131109	0.086481	0.0697922	0.055834	0.149292
a21	0.00491151	0.00709432	0.00824827	0.0178751	0.064789	0.113479	0.120454	0.154164	0.15874	0.115668	0.0799769	0.0584509	0.0961495
a85	0.00255585	0.00417803	0.00492438	0.0114157	0.0477639	0.0868609	0.0945009	0.128551	0.166286	0.141092	0.107867	0.0791636	0.12484
a47	0.000621374	0.000936988	0.00136815	0.00399846	0.0190572	0.0419853	0.0418734	0.0730425	0.140039	0.130143	0.126997	0.122791	0.297148
a36	0.000915852	0.00131308	0.00151976	0.00357633	0.0163868	0.0356977	0.0379654	0.0629325	0.118105	0.131124	0.146995	0.139716	0.303754
a47	0.00407466	0.00535022	0.00580596	0.00765362	0.0224561	0.0419868	0.0447129	0.066131	0.115186	0.125385	0.141537	0.139832	0.27989
a36	0.00183986	0.00245541	0.00263465	0.00515396	0.0195371	0.0385468	0.0398078	0.0555526	0.111604	0.131223	0.153517	0.15034	0.287787
a26	0.0168191	0.0163716	0.0169028	0.0125835	0.0235953	0.0329382	0.0336698	0.0458347	0.0796182	0.126239	0.164515	0.16908	0.261833
a57	0.0447788	0.0418099	0.0347908	0.0252716	0.0508925	0.0561765	0.0521583	0.0542845	0.0902357	0.123404	0.13355	0.127104	0.165543
a87	0.0402885	0.0350872	0.030599	0.0255394	0.0483083	0.0603762	0.0570673	0.0653192	0.114625	0.122857	0.127267	0.118128	0.154539
a23	0.153074	0.0961925	0.064742	0.0341323	0.0405515	0.0477892	0.0460712	0.0575678	0.0829365	0.0885216	0.088911	0.0924481	0.107062
a99	0.0310386	0.0187562	0.0120861	0.00678158	0.0102216	0.0175959	0.0172767	0.0325385	0.0905629	0.153316	0.186534	0.192674	0.230618
a97	0.0086683	0.00579434	0.00353907	0.00406087	0.0143676	0.0252657	0.0309988	0.0530657	0.120803	0.166507	0.190601	0.180098	0.19623
</S>	0.00578562	0.0040108	0.00275034	0.00385345	0.0203221	0.0360092	0.0355285	0.0479265	0.0725202	0.106001	0.137297	0.16453	0.363466
