 	il	n'	aime	que	les	boissons	froides	</S>
a85	0.254116	0.226559	0.179674	0.160971	0.106523	0.0418599	0.0197827	0.0105139
a87	0.276027	0.273033	0.210702	0.137168	0.0641396	0.0239311	0.00873758	0.00626224
a23	0.187263	0.195721	0.190941	0.169233	0.140149	0.0664213	0.0265052	0.0237672
a13	0.244212	0.237717	0.199645	0.131523	0.0779136	0.047841	0.0270863	0.0340628
a24	0.269467	0.268043	0.225501	0.115544	0.0532	0.0260165	0.0259283	0.0162994
a98	0.314334	0.255554	0.218049	0.122492	0.0513686	0.0200708	0.0122767	0.00585617
a24	0.221772	0.241292	0.227182	0.150284	0.0749183	0.0386389	0.0264393	0.0194732
a31	0.225833	0.237166	0.210433	0.1382	0.0883462	0.0508592	0.0288475	0.020314
a24	0.237917	0.250758	0.214056	0.128428	0.0750331	0.039274	0.0303771	0.0241564
a98	0.165124	0.20793	0.218183	0.165085	0.106532	0.0584403	0.0412953	0.0374101
a71	0.136719	0.190097	0.231512	0.205146	0.118412	0.0532856	0.0335657	0.031263
a38	0.122908	0.158938	0.200364	0.195699	0.147356	0.0830512	0.0471166	0.0445668
a53	0.0979719	0.118872	0.172151	0.207667	0.172345	0.107175	0.062884	0.0609333
a76	0.0931618	0.111978	0.165725	0.173633	0.147557	0.100949	0.0992629	0.107734
a94	0.0931208	0.101141	0.134142	0.139543	0.143632	0.121193	0.128102	0.139126
a32	0.0643773	0.0628795	0.0822215	0.115009	0.158616	0.210677	0.162532	0.143688
a54	0.0528141	0.0404031	0.0452942	0.079829	0.143931	0.227964	0.21726	0.192505
a73	0.0549646	0.0419981	0.0447733	0.0713821	0.127912	0.212896	0.208795	0.237278
a94	0.0509436	0.0359506	0.0412954	0.0752755	0.133951	0.203311	0.21383	0.245443
a25	0.043497	0.0287512	0.0299506	0.0494538	0.10206	0.168072	0.255464	0.322751
a12	0.0262872	0.0159455	0.0157398	0.0292261	0.0734438	0.164643	0.304968	0.369747
a96	0.0201915	0.0113845	0.0095501	0.0146532	0.0442578	0.120323	0.299598	0.480042
a98	0.0187149	0.0106352	0.00822106	0.0107862	0.0312775	0.092636	0.305366	0.522363
a73	0.0282102	0.0162858	0.0123059	0.0153934	0.042429	0.148323	0.352681	0.384372
a44	0.0301629	0.017132	0.0134915	0.0163752	0.0416431	0.135564	0.325409	0.420221
a26	0.023642	0.01289	0.0110019	0.0139878	0.0318995	0.105629	0.302427	0.498523
a94	0.0134488	0.00739927	0.00613884	0.00872421	0.0239583	0.103645	0.303159	0.533526
a24	0.0133477	0.00721521	0.00620267	0.00899827	0.0215356	0.0850301	0.287139	0.570531
a12	0.0126645	0.00649574	0.0055706	0.00902427	0.0241092	0.0955287	0.276324	0.570283
a96	0.0193469	0.00945496	0.00749818	0.0109726	0.0272301	0.101405	0.284705	0.539387
a62	0.0161204	0.00800768	0.00634281	0.00893578	0.0226717	0.0843594	0.271566	0.581997
a83	0.0146404	0.00742225	0.00623894	0.00975444	0.0274943	0.105882	0.274452	0.554116
a9	0.0106392	0.00563386	0.0046472	0.00715085	0.0195702	0.077334	0.255383	0.619641
a38	0.0237985	0.0130067	0.0118371	0.0177875	0.0377388	0.104147	0.248205	0.543479
a73	0.0105666	0.00627722	0.00655669	0.012241	0.0307633	0.0859029	0.242523	0.605169
a84	0.0097443	0.00625358	0.00600863	0.0106218	0.0273466	0.0805281	0.259729	0.599768
a57	0.012601	0.0059766	0.00497222	0.00694676	0.0161778	0.0388621	0.129281	0.785183
a87	0.0145862	0.00814785	0.00773362	0.00993883	0.0198041	0.0366619	0.128254	0.774873
</S>	0.0205691	0.00988157	0.00877545	0.0123036	0.0324114	0.0818998	0.199216	0.634943
