 	cet	homme	blanc-ci	ne	comprend	pas	la	langue	mbochi	</S>
a87	0.212816	0.117503	0.0734014	0.100664	0.118327	0.122624	0.128582	0.0714451	0.031536	0.0231021
a10	0.284308	0.116457	0.0379942	0.0424421	0.085687	0.089483	0.0848928	0.123131	0.0708264	0.0647793
a87	0.25713	0.144269	0.0841893	0.0655062	0.0675421	0.0663693	0.0590172	0.0638042	0.06549	0.126682
a23	0.298332	0.189171	0.123615	0.0651301	0.0416013	0.0406104	0.0466179	0.0586121	0.0473424	0.0889681
a97	0.283248	0.158009	0.101438	0.063573	0.0283415	0.0401894	0.0575109	0.0743802	0.0655838	0.127726
a79	0.214045	0.13585	0.115055	0.0771004	0.0348691	0.0452534	0.0632127	0.0801042	0.0823265	0.152183
a5	0.399195	0.226813	0.0971904	0.0556633	0.0212764	0.0280006	0.0324721	0.0386312	0.0391354	0.0616225
a27	0.374812	0.280474	0.122065	0.0865305	0.0259261	0.024077	0.0241486	0.0230944	0.0162588	0.0226139
a54	0.280549	0.196492	0.134754	0.119812	0.0452233	0.0457503	0.0488004	0.0463731	0.0328393	0.0494055
a47	0.144269	0.0972204	0.117145	0.115662	0.0923185	0.0942574	0.0949793	0.0811401	0.0710286	0.0919801
a37	0.168321	0.132487	0.170898	0.140761	0.0782226	0.0639137	0.0578219	0.0518788	0.0577222	0.0779741
a31	0.17867	0.123826	0.153703	0.137992	0.0839024	0.0782668	0.0739583	0.0626945	0.0473479	0.0596386
a21	0.100054	0.0892716	0.201446	0.185332	0.11372	0.0956288	0.079886	0.0581098	0.036661	0.0398898
a18	0.0950154	0.0754275	0.173226	0.165817	0.121947	0.11218	0.0940325	0.0775851	0.0443866	0.040383
a75	0.0391804	0.0313264	0.0964705	0.1385	0.187576	0.171434	0.137026	0.101187	0.0496553	0.0476443
a37	0.0438577	0.0264966	0.0636595	0.100431	0.183604	0.193762	0.150791	0.114418	0.0666932	0.0562879
a66	0.0502736	0.030039	0.0621591	0.0916301	0.168274	0.193847	0.151137	0.118786	0.0745555	0.0592987
a15	0.0234765	0.0133185	0.0209047	0.0298043	0.108473	0.1857	0.196023	0.179427	0.112535	0.130337
a56	0.0346272	0.0240484	0.0433562	0.0483476	0.101307	0.189128	0.186369	0.148391	0.112647	0.111778
a11	0.0137619	0.00847527	0.0172203	0.0246551	0.0904908	0.18646	0.21237	0.194148	0.135362	0.117057
a90	0.00790375	0.00532376	0.0109414	0.0163571	0.0690909	0.15283	0.192012	0.185709	0.184136	0.175695
a13	0.00816771	0.00469242	0.011868	0.0173088	0.0662856	0.164286	0.19512	0.174475	0.19324	0.164556
a90	0.00295629	0.00181857	0.00415094	0.00666546	0.0321522	0.0795357	0.1138	0.132512	0.255493	0.370915
a44	0.00352104	0.00226659	0.00598647	0.00868582	0.0318923	0.0780819	0.117449	0.132257	0.264761	0.355099
a75	0.00318801	0.00190611	0.00412719	0.00653746	0.0258285	0.0657946	0.0993909	0.119487	0.268312	0.405429
a41	0.00270579	0.00158562	0.00343579	0.00540935	0.0186417	0.0451035	0.0711782	0.0915676	0.255537	0.504835
a27	0.003397	0.00196317	0.00321905	0.00405063	0.0118457	0.0271623	0.0439256	0.0626876	0.233204	0.608545
a75	0.00068826	0.000371626	0.000562135	0.000892173	0.00366383	0.00754587	0.0166188	0.0326026	0.259382	0.677673
a47	0.00315155	0.00199251	0.00349632	0.00446917	0.0136946	0.0240761	0.0365727	0.0570785	0.248695	0.606774
a30	0.00137991	0.000813966	0.00148244	0.00229307	0.00706653	0.0137478	0.0235251	0.0435438	0.24611	0.660038
a2	0.00112234	0.000582836	0.0011367	0.00170751	0.00618023	0.0094978	0.0177913	0.0426763	0.259134	0.660171
a57	0.00574476	0.00224847	0.00151409	0.00233986	0.00726218	0.0125552	0.0235855	0.0602259	0.290579	0.593945
a87	0.0172973	0.00738563	0.00450315	0.00659782	0.015657	0.0224744	0.0333131	0.086739	0.274358	0.531674
a23	0.0258956	0.0103396	0.00710484	0.0102352	0.0305344	0.0492654	0.0721068	0.131902	0.2709	0.391716
a87	0.0090128	0.00634484	0.00457069	0.00710972	0.021404	0.0300088	0.040174	0.120218	0.309253	0.451904
</S>	0.00541759	0.00365106	0.00281565	0.00700854	0.0243809	0.027926	0.0352517	0.0917623	0.267293	0.534493
