 	là	où	tombe	un	régime	de	noix	de	palme	il	y	a	affaissement	du	sol	</S>
a66	0.172891	0.0993788	0.0663075	0.0416078	0.0354569	0.029722	0.0414497	0.0511126	0.0650792	0.0886296	0.0663699	0.0840725	0.0750653	0.0383661	0.0262111	0.01828
a87	0.0983535	0.0846724	0.0793942	0.0677546	0.083669	0.095106	0.068525	0.0767496	0.0567852	0.0597306	0.0514275	0.053192	0.0275386	0.0253918	0.0354632	0.0362467
a79	0.24873	0.186678	0.200632	0.11069	0.0482104	0.0285539	0.02231	0.02066	0.0184746	0.0240603	0.021512	0.0152186	0.00721415	0.00983402	0.0162139	0.0210084
a47	0.187737	0.174749	0.228912	0.156846	0.0937466	0.0279099	0.0144103	0.0102319	0.00683102	0.0117883	0.0116471	0.0125016	0.00835741	0.012386	0.0202656	0.0216803
a88	0.206991	0.145339	0.143861	0.0835587	0.070895	0.0404617	0.0346947	0.0284062	0.0251385	0.0387947	0.0326991	0.022904	0.021093	0.0268825	0.0358395	0.0424407
a71	0.237497	0.197627	0.152769	0.0857102	0.0806076	0.0405356	0.0352131	0.0248553	0.0155077	0.0261284	0.0239226	0.0227356	0.0130912	0.0125471	0.0157263	0.015527
a9	0.156816	0.16419	0.130972	0.090386	0.0961453	0.0469725	0.0429278	0.0355034	0.0253094	0.0339762	0.0369028	0.0351651	0.0191485	0.0218831	0.0270479	0.0366541
a75	0.121017	0.138023	0.141923	0.10519	0.108514	0.0484235	0.0348584	0.0277792	0.0212401	0.0286353	0.0280798	0.0301562	0.0250183	0.0351567	0.043241	0.0627448
a61	0.0779142	0.0856085	0.0970159	0.0824191	0.120333	0.0848165	0.08396	0.0578642	0.0424194	0.0518945	0.0493387	0.0431586	0.0327734	0.0300158	0.0291608	0.0313074
a12	0.0837148	0.0948096	0.0973567	0.0854215	0.122317	0.0941942	0.0925404	0.0681222	0.0497202	0.051675	0.0599727	0.038171	0.0184314	0.0166642	0.0142406	0.0126486
a75	0.0587694	0.0656388	0.0767467	0.082618	0.118443	0.100225	0.0987454	0.0790298	0.0646221	0.0664917	0.0769973	0.0488805	0.0212056	0.0161965	0.0129426	0.0124479
a98	0.0322502	0.0304245	0.0274355	0.0277263	0.0450337	0.0565627	0.103903	0.109452	0.1123	0.126754	0.143327	0.0882673	0.0425137	0.0247312	0.0165547	0.012764
a56	0.0187341	0.0164521	0.0149226	0.0168281	0.029269	0.0400269	0.0842651	0.106204	0.125652	0.149846	0.163223	0.101929	0.0541143	0.034617	0.0232459	0.020671
a96	0.0307882	0.0234479	0.0164116	0.019092	0.0290895	0.0442347	0.104031	0.11024	0.132796	0.153381	0.140906	0.09627	0.0400559	0.0240813	0.0179932	0.0171822
a61	0.0216226	0.0165136	0.0115565	0.0148951	0.017772	0.0319053	0.0888681	0.102494	0.145691	0.175413	0.135154	0.101541	0.0550915	0.0339931	0.024782	0.0227075
a21	0.0191623	0.0136836	0.00894137	0.0119408	0.0141117	0.0256095	0.0746178	0.0915634	0.135229	0.170761	0.134749	0.110021	0.0753891	0.0503249	0.0343534	0.0295417
a85	0.0198055	0.0147953	0.0109373	0.0150434	0.0133503	0.0233861	0.0590969	0.0805233	0.127689	0.159296	0.104773	0.113741	0.101428	0.0708388	0.0488236	0.0364735
a79	0.0125662	0.00818674	0.0048984	0.00677123	0.00665982	0.0112399	0.0367281	0.0654332	0.109854	0.148473	0.10005	0.122163	0.121598	0.10542	0.0751595	0.0647981
a44	0.00508328	0.00323777	0.00229605	0.00384545	0.00390653	0.00716125	0.0192176	0.0350678	0.0579034	0.0808303	0.058602	0.0655999	0.134272	0.219439	0.1619	0.141638
a93	0.0110557	0.00716721	0.0051165	0.00786273	0.00804659	0.0107562	0.0206106	0.0291693	0.046107	0.0648438	0.0499028	0.0542702	0.13701	0.197383	0.161443	0.189255
