 	son	enfant	a	le	ventre	ballonné	</S>
a10	0.21219	0.178802	0.114374	0.142657	0.15349	0.10292	0.0955678
a94	0.220773	0.138815	0.122354	0.150673	0.122908	0.110219	0.134258
a76	0.385036	0.255304	0.134529	0.0962359	0.0650635	0.0336365	0.0301953
a41	0.589902	0.245733	0.0868117	0.0317413	0.020527	0.011158	0.0141262
a35	0.502074	0.264169	0.11531	0.0516688	0.034358	0.0159876	0.016433
a85	0.420367	0.272583	0.140096	0.0729008	0.0543517	0.0215774	0.0181248
a73	0.272932	0.236517	0.17912	0.127429	0.102064	0.0480282	0.0339095
a76	0.232303	0.212167	0.169671	0.146076	0.129889	0.0644659	0.0454287
a98	0.200052	0.189537	0.166051	0.158432	0.141647	0.091528	0.052753
a73	0.199435	0.192724	0.166507	0.162466	0.144371	0.0828171	0.0516796
a84	0.12431	0.163616	0.17386	0.210342	0.184167	0.0889524	0.0547541
a40	0.106527	0.138387	0.153539	0.214644	0.191191	0.10818	0.0875312
a41	0.10021	0.123977	0.141136	0.209074	0.194934	0.132278	0.0983908
a44	0.110999	0.145028	0.166741	0.192914	0.155172	0.118754	0.110391
a26	0.0514364	0.0759711	0.106417	0.197359	0.239841	0.18284	0.146135
a61	0.0281569	0.0473514	0.0786848	0.189123	0.237818	0.234974	0.183892
a24	0.0187843	0.0285739	0.048321	0.112844	0.173376	0.279521	0.33858
a25	0.0129068	0.018161	0.0312271	0.0740376	0.116579	0.282894	0.464195
a24	0.0296169	0.0380558	0.0566556	0.118471	0.177321	0.291	0.28888
a62	0.0191543	0.0256545	0.039831	0.082919	0.122836	0.264833	0.444772
a0	0.0213054	0.0284045	0.0432442	0.0803909	0.113123	0.246354	0.467178
a11	0.0249203	0.0328519	0.0539854	0.096482	0.131336	0.260634	0.399791
a38	0.0301376	0.0376653	0.0585907	0.096658	0.121546	0.240808	0.414594
a90	0.0296555	0.0366622	0.0570538	0.0911499	0.110645	0.228151	0.446683
a96	0.0250942	0.0316819	0.0476375	0.0820311	0.107173	0.213855	0.492527
a61	0.0232729	0.0282453	0.0472799	0.0796771	0.102106	0.213173	0.506246
a24	0.0258724	0.0307046	0.0455313	0.0660271	0.0889835	0.177847	0.565034
a47	0.0305942	0.0348456	0.051815	0.0743124	0.0908343	0.193583	0.524016
a24	0.0226033	0.0271494	0.0460887	0.0753975	0.0989772	0.218584	0.5112
a43	0.0362499	0.0406994	0.0560536	0.0771514	0.089596	0.185582	0.514668
a38	0.0298211	0.0353216	0.0534847	0.075201	0.0974851	0.190276	0.518411
a75	0.0334607	0.0392345	0.0594996	0.086292	0.105107	0.201678	0.474728
a12	0.0281081	0.0353903	0.0506701	0.0726154	0.0942499	0.173734	0.545232
a43	0.0188532	0.0246581	0.0385017	0.0577583	0.0846373	0.172309	0.603283
a75	0.0247314	0.0309795	0.0483236	0.0689272	0.0890198	0.195143	0.542876
a41	0.0256584	0.0342798	0.0524362	0.0721014	0.10001	0.173566	0.541948
a0	0.0180825	0.0238457	0.0378084	0.0554507	0.0805434	0.179597	0.604672
a11	0.0199186	0.0261909	0.0408759	0.0650401	0.0752689	0.228607	0.544098
a93	0.0203533	0.0261358	0.039456	0.0655207	0.0812161	0.213245	0.554073
a43	0.0209725	0.0257552	0.0366429	0.0619996	0.077399	0.206286	0.570945
a54	0.0511796	0.0560296	0.0592224	0.077483	0.0806386	0.214791	0.460655
a94	0.0334021	0.0372282	0.0439838	0.0702029	0.0870115	0.178016	0.550155
a84	0.0233857	0.0317209	0.0449876	0.080194	0.0959394	0.219688	0.504084
a82	0.0363649	0.0430606	0.0515703	0.0769964	0.0786892	0.235626	0.477692
a87	0.0728738	0.0554691	0.0457022	0.0532891	0.0469299	0.185176	0.540559
</S>	0.0818876	0.0707776	0.0516557	0.0549601	0.0508756	0.159803	0.53004
