 	c'	est	mon	frère	aîné	</S>
a23	0.336563	0.192659	0.113237	0.0894644	0.124946	0.143131
a10	0.301724	0.218419	0.15761	0.0987854	0.106104	0.117358
a87	0.329055	0.232682	0.125639	0.0694772	0.0999786	0.143168
a23	0.357582	0.241434	0.154804	0.088825	0.0738074	0.0835467
a79	0.40871	0.254532	0.1249	0.0636345	0.0678844	0.0803386
a41	0.521082	0.280836	0.0920808	0.0391593	0.0320817	0.0347598
a25	0.47305	0.290341	0.136509	0.058236	0.0247169	0.017147
a26	0.294988	0.271586	0.209302	0.129277	0.0582135	0.0366326
a66	0.25918	0.244452	0.195545	0.160867	0.0830976	0.0568577
a76	0.16953	0.196032	0.189238	0.197063	0.13944	0.108698
a35	0.308197	0.262448	0.196892	0.130006	0.0653749	0.037082
a14	0.294888	0.245492	0.192173	0.140244	0.0804298	0.0467728
a44	0.211402	0.215847	0.199096	0.184948	0.111657	0.0770491
a20	0.149169	0.16945	0.197714	0.205228	0.166553	0.111886
a30	0.123542	0.155828	0.205945	0.22528	0.169792	0.119613
a35	0.0785554	0.118334	0.167584	0.221235	0.234325	0.179966
a30	0.053416	0.0715808	0.105471	0.192959	0.270948	0.305625
a35	0.0295341	0.0448059	0.0724488	0.137324	0.328759	0.387129
a30	0.0239642	0.0316547	0.047568	0.107107	0.285886	0.503821
a14	0.0185589	0.0286905	0.0509158	0.110476	0.313125	0.478234
a44	0.0152129	0.0200509	0.0318599	0.080944	0.275834	0.576099
a57	0.00892714	0.0123958	0.0218167	0.0610037	0.255977	0.639879
a90	0.00516593	0.00723294	0.0148246	0.0510683	0.277264	0.644444
a32	0.0108863	0.0130856	0.0219645	0.0583616	0.240015	0.655687
a11	0.0150521	0.0152974	0.0229282	0.0513083	0.23587	0.659544
a90	0.0223431	0.0222276	0.0318387	0.0683516	0.25152	0.603718
a70	0.0115859	0.0131311	0.0218274	0.0474921	0.234295	0.671669
a4	0.0418425	0.0359377	0.0454437	0.076308	0.250505	0.549963
a58	0.0440436	0.0415296	0.0553323	0.0887449	0.253808	0.516542
a82	0.103644	0.0810354	0.0863934	0.111862	0.224699	0.392366
a87	0.0908229	0.0974862	0.103164	0.15139	0.232287	0.32485
a23	0.134693	0.142694	0.12697	0.128232	0.193403	0.274009
a87	0.169791	0.164325	0.146458	0.139446	0.159336	0.220644
</S>	0.087291	0.0960913	0.112828	0.149166	0.221366	0.333258
