 	les	jeunes	gens	assassinent	les	vieillards	sous	prétexte	que	ceux-ci	sont	des	sorciers	</S>
a87	0.139202	0.0867775	0.0875107	0.127405	0.132039	0.133998	0.0669294	0.0494153	0.0365858	0.0574481	0.0314529	0.0232124	0.0167188	0.0113054
a97	0.0810068	0.0266941	0.0176396	0.0271661	0.0400962	0.113601	0.0804048	0.0686368	0.102049	0.15803	0.105881	0.0768601	0.0532213	0.0487128
a87	0.130904	0.0908083	0.0672266	0.0547098	0.0592366	0.105515	0.076283	0.0510755	0.052939	0.0630256	0.061126	0.060472	0.0552518	0.0714266
a40	0.137183	0.118576	0.0833434	0.0655674	0.0544769	0.0823769	0.061276	0.0420898	0.0474109	0.0606919	0.0683237	0.0648817	0.0549333	0.0588699
a2	0.219073	0.135137	0.0689642	0.0275617	0.0338358	0.0514628	0.0337344	0.0229603	0.0205617	0.0255346	0.0478951	0.0768268	0.11557	0.120882
a57	0.164505	0.196686	0.115369	0.047668	0.0538883	0.0556066	0.0333908	0.0202512	0.0172246	0.0196059	0.0377744	0.0642266	0.0851671	0.0886362
a10	0.118697	0.12209	0.0578373	0.0289498	0.0492817	0.0735416	0.0557686	0.0389997	0.0275453	0.0328611	0.0551314	0.0846705	0.134472	0.120154
a75	0.0999249	0.079689	0.038324	0.0207131	0.0449814	0.090061	0.0660661	0.0516148	0.0423944	0.0469615	0.0620762	0.0898932	0.148344	0.118956
a5	0.283266	0.168596	0.0933414	0.0426503	0.038232	0.0522595	0.0341515	0.0308775	0.0289544	0.0281913	0.0302699	0.0368939	0.0621223	0.0701943
a66	0.225448	0.212295	0.124152	0.0590498	0.0661724	0.0720749	0.0412902	0.0361254	0.0296878	0.0213857	0.0184465	0.0198332	0.0334806	0.0405587
a98	0.161903	0.196839	0.153898	0.0975876	0.0721487	0.0639546	0.0452955	0.041598	0.0361425	0.0251109	0.0216247	0.0190993	0.0273288	0.0374695
a47	0.0899998	0.147237	0.151881	0.105395	0.0872357	0.0774172	0.0581925	0.0595419	0.052999	0.0343401	0.0216234	0.0184245	0.036049	0.059663
a85	0.0720535	0.130513	0.154236	0.123163	0.0833227	0.0733039	0.0551702	0.059006	0.0569498	0.0414315	0.0302102	0.0240665	0.0386769	0.0578961
a26	0.066459	0.124727	0.151011	0.121828	0.0870253	0.0737307	0.0594339	0.0657216	0.069183	0.0489538	0.0251422	0.0192315	0.0342176	0.0533356
a38	0.0241748	0.0623075	0.116446	0.152507	0.10444	0.101787	0.0819698	0.0845087	0.0730996	0.052056	0.0304547	0.0214831	0.03606	0.0587058
