 	c'	est	donc	toi	qui	a	occupé	cette	parcelle	</S>
a15	0.109153	0.119191	0.192933	0.163717	0.15224	0.107455	0.0782825	0.0377571	0.022446	0.0168248
a66	0.118859	0.127216	0.268165	0.178266	0.133639	0.0957603	0.0480722	0.0150508	0.00886071	0.00611027
a87	0.246073	0.234681	0.211743	0.125903	0.0681589	0.03653	0.0202248	0.0118028	0.017799	0.0270853
a23	0.249329	0.250009	0.19037	0.120582	0.0846673	0.0497737	0.0223269	0.010666	0.00952745	0.0127476
a83	0.214658	0.233258	0.187559	0.115433	0.0908911	0.0473539	0.0268972	0.0228265	0.0275712	0.0335536
a34	0.169085	0.186429	0.227447	0.115294	0.0853395	0.0522185	0.0410919	0.0349683	0.043081	0.0450462
a47	0.181544	0.231672	0.192505	0.142942	0.10762	0.0701731	0.037127	0.0176469	0.0121169	0.00665342
a21	0.127786	0.187699	0.165693	0.150477	0.120069	0.093363	0.0583016	0.0375045	0.0341069	0.0250015
a5	0.0945221	0.148882	0.176483	0.169704	0.149776	0.117489	0.0652454	0.0339286	0.0245099	0.0194601
a98	0.0925033	0.122689	0.143362	0.13589	0.131983	0.132848	0.0953449	0.0555367	0.045244	0.0445992
a85	0.0746376	0.0840996	0.0903224	0.102414	0.113586	0.162896	0.144214	0.0800707	0.0728122	0.074948
a5	0.0821708	0.0828026	0.0852271	0.0890255	0.0978123	0.121061	0.143562	0.0959546	0.0971623	0.105222
a41	0.0871986	0.0801191	0.11434	0.137466	0.144009	0.142953	0.119949	0.0641898	0.0547661	0.0550091
a43	0.0564616	0.0403168	0.0632108	0.112961	0.142292	0.157267	0.15594	0.095953	0.0846565	0.0909405
a96	0.0323437	0.0195237	0.0234828	0.0396842	0.0557282	0.0677335	0.112937	0.124259	0.198153	0.326155
a24	0.0267151	0.0162647	0.0156229	0.0200877	0.0257919	0.0314976	0.0886291	0.145413	0.226487	0.403492
a21	0.0225807	0.0161377	0.0178577	0.0199268	0.0218387	0.0202587	0.0591246	0.134324	0.252065	0.435886
a47	0.0173811	0.0124796	0.00994035	0.0103509	0.0118651	0.0147799	0.0526229	0.145796	0.273389	0.451396
a12	0.0153802	0.0117151	0.00994444	0.0101778	0.0115001	0.0116246	0.0411177	0.127075	0.268664	0.492801
a56	0.00401639	0.00312931	0.00276133	0.00324186	0.00409058	0.00506052	0.0224884	0.0937832	0.274518	0.586911
a94	0.00147966	0.00102899	0.00102464	0.0013882	0.0020696	0.00287293	0.0158657	0.0707838	0.244414	0.659073
a57	0.00413452	0.00355968	0.00459992	0.00533484	0.0059875	0.00688356	0.0240054	0.0648553	0.196813	0.683826
a82	0.0589717	0.0403552	0.0400696	0.0300188	0.0241934	0.0266446	0.0574485	0.09962	0.17548	0.447198
a87	0.102331	0.0620743	0.0567395	0.0448309	0.0426224	0.0545518	0.0788944	0.111062	0.156487	0.290406
a23	0.190942	0.134564	0.150761	0.122085	0.0912883	0.0770813	0.0570129	0.0577963	0.0548221	0.0636481
a87	0.0907587	0.0591431	0.0484081	0.0383293	0.0342305	0.0360287	0.0574165	0.123771	0.197308	0.314607
</S>	0.0282587	0.0136319	0.0107092	0.00938014	0.00948267	0.0142125	0.0407717	0.101001	0.247708	0.524844
