 	il	a	contourné	ma	parcelle	parce	qu'	il	me	doit	de	l'	argent	</S>
a23	0.14496	0.102624	0.103958	0.128483	0.143763	0.101289	0.0661743	0.0529292	0.048951	0.033619	0.0241479	0.0192583	0.0158309	0.0140118
a87	0.105124	0.0649483	0.0557485	0.0950152	0.132233	0.111824	0.0826729	0.060481	0.0683862	0.0481231	0.0432388	0.0410214	0.0414407	0.0497429
a10	0.136132	0.140638	0.0775667	0.089617	0.0915384	0.07442	0.0505012	0.033881	0.0364863	0.0339291	0.040911	0.047318	0.0604301	0.0866309
a87	0.2041	0.155478	0.0605891	0.0638767	0.0696168	0.0543869	0.0382884	0.0279329	0.0384681	0.0412657	0.0467495	0.0501558	0.0637027	0.0853897
a30	0.184364	0.123456	0.0622004	0.0620227	0.0688281	0.0535282	0.04097	0.0369054	0.0473011	0.0534173	0.0652248	0.0634854	0.0654717	0.0728242
a53	0.18455	0.0926077	0.0491699	0.0626685	0.0807324	0.0557786	0.0398154	0.0371402	0.0545372	0.0619161	0.0694759	0.0689818	0.0731426	0.069484
a15	0.258241	0.240898	0.139899	0.0760749	0.0519386	0.0309047	0.0178603	0.0134967	0.0178764	0.0210873	0.0272574	0.0314869	0.0340969	0.0388819
a47	0.33004	0.246889	0.127105	0.0687066	0.0628493	0.0389744	0.0212859	0.0136738	0.0169813	0.0145285	0.0148625	0.0141763	0.0143053	0.0156227
a37	0.335554	0.27543	0.125035	0.0619825	0.0515454	0.0299756	0.0172641	0.0121649	0.0142504	0.0131979	0.0138361	0.014127	0.0161243	0.0195128
a21	0.260302	0.258834	0.13007	0.0756258	0.0669527	0.049234	0.0321408	0.0221647	0.0243341	0.0196591	0.0173613	0.0146705	0.0138961	0.0147548
a47	0.18689	0.244022	0.156349	0.110807	0.0942113	0.0630119	0.0402271	0.0243477	0.0210827	0.0140155	0.0118205	0.0103753	0.0107118	0.0121289
a62	0.131287	0.192516	0.167725	0.123094	0.107911	0.0767354	0.0540229	0.0351021	0.029803	0.0193728	0.0157622	0.0139066	0.0147572	0.0180041
