 	j'	ai	gardé	cette	arachide	comme	semence	</S>
a66	0.244365	0.155655	0.160875	0.140822	0.150853	0.0613843	0.0478587	0.0381871
a87	0.295578	0.139348	0.109292	0.134141	0.148918	0.0735599	0.0603858	0.0387766
a99	0.315023	0.188225	0.128714	0.095966	0.122663	0.0570423	0.050699	0.0416669
a50	0.35154	0.233538	0.138691	0.0845057	0.0793181	0.043158	0.0404152	0.0288332
a31	0.325145	0.181551	0.101833	0.0945689	0.154046	0.072506	0.046513	0.0238372
a47	0.194227	0.151278	0.105943	0.113613	0.197977	0.111257	0.085216	0.0404888
a96	0.0744996	0.0919651	0.0921935	0.138981	0.22182	0.14242	0.144461	0.0936596
a93	0.0768053	0.118177	0.140499	0.160218	0.171947	0.114647	0.123471	0.0942359
a96	0.0674136	0.124799	0.190637	0.193926	0.158116	0.0893954	0.0958078	0.0799057
a34	0.106657	0.15017	0.217838	0.195474	0.113199	0.068463	0.0804512	0.0677493
a96	0.123798	0.171407	0.230159	0.184895	0.0997448	0.0628332	0.0677156	0.0594485
a83	0.0917591	0.133434	0.199843	0.184072	0.115863	0.0863087	0.0994747	0.0892452
a24	0.0698155	0.0995162	0.144321	0.14334	0.116901	0.125909	0.156504	0.143692
a61	0.0226894	0.0321066	0.0647512	0.111941	0.121635	0.165758	0.220424	0.260695
a56	0.030837	0.0305528	0.0475914	0.07395	0.101839	0.17592	0.231568	0.307742
a47	0.00778522	0.00703562	0.0111625	0.027523	0.0647499	0.16859	0.263766	0.449388
a31	0.00776083	0.00768735	0.0108093	0.024891	0.0595897	0.152465	0.249	0.487797
a47	0.00212242	0.00187893	0.00299195	0.0088419	0.0245441	0.0974872	0.207124	0.655009
a62	0.00157146	0.00163174	0.00218665	0.00698044	0.0226072	0.101665	0.235422	0.627935
a47	0.00151807	0.00156469	0.00249887	0.00818239	0.0229366	0.089274	0.208363	0.665662
a96	0.00271463	0.00294914	0.00395419	0.00974656	0.0237215	0.0917623	0.215515	0.649637
a56	0.00129058	0.00148957	0.00255856	0.00752703	0.0193477	0.0854083	0.204615	0.677763
a93	0.00183044	0.00221274	0.00365707	0.00778462	0.0147755	0.0673105	0.184397	0.718032
a13	0.00161986	0.00216692	0.0034285	0.00708067	0.0117716	0.0609539	0.187037	0.725942
a9	0.00988217	0.0108071	0.0149042	0.0295765	0.0477273	0.133873	0.241907	0.511322
a3	0.187319	0.0754113	0.0550551	0.0682358	0.109217	0.142886	0.162932	0.198944
a97	0.147442	0.0782255	0.0528838	0.0447334	0.064841	0.131428	0.21451	0.265937
</S>	0.0852013	0.0566738	0.0476282	0.0454322	0.0590169	0.149318	0.25275	0.30398
