 	dieu	est	grand	et	tout-puissant	</S>
a66	0.422906	0.22139	0.164392	0.10835	0.0534497	0.0295125
a10	0.428403	0.233408	0.160995	0.0961356	0.0475625	0.0334965
a87	0.486566	0.289066	0.150517	0.0385673	0.0193447	0.0159386
a23	0.487443	0.282482	0.138748	0.0439925	0.0266113	0.0207235
a99	0.547949	0.256209	0.111233	0.0361964	0.0213051	0.0271072
a18	0.535688	0.223589	0.103994	0.0423313	0.0344033	0.0599942
a54	0.484699	0.244855	0.122947	0.0553259	0.0360032	0.0561698
a37	0.513308	0.28654	0.115507	0.0376343	0.019541	0.0274695
a15	0.394426	0.27559	0.163255	0.07648	0.0420798	0.0481697
a47	0.290375	0.261685	0.196251	0.11168	0.068916	0.0710932
a6	0.182763	0.196919	0.201517	0.128568	0.121028	0.169206
a98	0.177808	0.179548	0.20015	0.131124	0.131353	0.180017
a79	0.13884	0.183176	0.234159	0.169891	0.131969	0.141965
a56	0.139568	0.171287	0.227628	0.153431	0.135077	0.173009
a21	0.160399	0.179277	0.231989	0.168409	0.124647	0.13528
a85	0.0703825	0.0839862	0.185516	0.229312	0.233953	0.196851
a6	0.0169289	0.023138	0.0711967	0.143362	0.30503	0.440344
a36	0.0269673	0.0345112	0.0985124	0.190377	0.281579	0.368053
a98	0.0240673	0.0262515	0.064133	0.17605	0.307408	0.402091
a92	0.00761682	0.009653	0.0301589	0.110402	0.302521	0.539648
a5	0.00823041	0.0103222	0.0315231	0.116225	0.314689	0.51901
a36	0.0119335	0.0114527	0.0215584	0.0753367	0.311677	0.568041
a94	0.0142778	0.0134143	0.0211609	0.0597333	0.257053	0.634361
a58	0.0107507	0.0105847	0.0174605	0.0558366	0.237447	0.66792
a82	0.0240797	0.0200834	0.0284988	0.0710687	0.254205	0.602064
a10	0.093845	0.0621873	0.0771304	0.131074	0.270133	0.365631
a87	0.236685	0.138582	0.127943	0.120589	0.191176	0.185025
a23	0.195411	0.133958	0.140366	0.130729	0.220832	0.178705
a10	0.0700576	0.05151	0.0582232	0.0844128	0.287957	0.447839
a87	0.0325858	0.0243016	0.0360007	0.0643906	0.245137	0.597584
a82	0.0313557	0.0251438	0.0367079	0.0576695	0.219956	0.629167
</S>	0.130959	0.100278	0.132233	0.116276	0.189228	0.331025
