 	sa	soeur	est	autrement	courageuse	que	sa	femme	</S>
a23	0.360326	0.137509	0.124126	0.085551	0.0659813	0.0504681	0.0584493	0.0514071	0.0661815
a10	0.34383	0.102093	0.102886	0.0857769	0.0621347	0.0709576	0.0782885	0.0684709	0.0855629
a87	0.159955	0.122598	0.123481	0.134115	0.0681106	0.0889821	0.0885357	0.0841661	0.130056
a10	0.162538	0.118744	0.122572	0.143841	0.065705	0.0889966	0.0880235	0.0812179	0.128362
a87	0.234277	0.157258	0.104299	0.0907335	0.0463037	0.0714203	0.0766219	0.0817115	0.137375
a99	0.259712	0.151314	0.111986	0.101151	0.0476993	0.0690723	0.0655758	0.0703148	0.123174
a53	0.247868	0.191375	0.0968666	0.0738384	0.0391292	0.0675658	0.0748084	0.0831544	0.125393
a44	0.5623	0.176641	0.076438	0.0620574	0.0341416	0.0251198	0.017621	0.0184113	0.0272702
a54	0.410041	0.215998	0.128993	0.10915	0.0548047	0.0311726	0.019284	0.0136504	0.0169062
a73	0.227331	0.19346	0.153009	0.163765	0.0963461	0.062414	0.0407928	0.0283991	0.034484
a20	0.202817	0.193102	0.172114	0.177448	0.0985375	0.0628649	0.0392524	0.0242564	0.0296091
a73	0.135127	0.172022	0.170238	0.187445	0.115281	0.0867202	0.0601585	0.0351736	0.0378354
a84	0.129286	0.168785	0.176849	0.1864	0.110063	0.086616	0.0642864	0.0373735	0.0403409
a57	0.0875377	0.147194	0.17564	0.180833	0.100796	0.0927254	0.0763092	0.0606647	0.0783001
a79	0.0499874	0.0851877	0.137216	0.160429	0.113591	0.123403	0.0989887	0.100769	0.130428
a69	0.0536561	0.0820927	0.126797	0.17717	0.116334	0.130433	0.107243	0.0872365	0.119038
a57	0.0800576	0.109487	0.160516	0.176713	0.104109	0.108047	0.103537	0.0768673	0.0806666
a38	0.0806252	0.106405	0.163127	0.174916	0.100217	0.108713	0.106442	0.075443	0.0841111
a56	0.0738292	0.0898979	0.138685	0.164661	0.0954892	0.106958	0.114565	0.0964516	0.119463
a90	0.0525161	0.0576726	0.0809963	0.118665	0.0755044	0.105626	0.137707	0.169849	0.201464
a15	0.0549863	0.0585299	0.0714358	0.105254	0.0783259	0.114029	0.150034	0.167982	0.199423
a20	0.0406667	0.0429093	0.0543751	0.100109	0.0782576	0.121762	0.147154	0.188815	0.225952
a90	0.0450688	0.0546143	0.0545173	0.085087	0.0706946	0.0990702	0.125187	0.193541	0.27222
a4	0.0495634	0.0579854	0.0615081	0.0950162	0.0762257	0.111315	0.139015	0.176443	0.232927
a13	0.0462544	0.0533131	0.0578134	0.0910605	0.0797525	0.114199	0.139765	0.178737	0.239104
a54	0.0394085	0.044049	0.055962	0.0816375	0.0972425	0.140623	0.168455	0.173779	0.198844
a73	0.0478648	0.0522301	0.0445226	0.052545	0.0541846	0.0880803	0.128322	0.217124	0.315127
a44	0.0342371	0.0446992	0.0431469	0.0537865	0.0507526	0.0811083	0.115317	0.220203	0.356749
a11	0.0317352	0.0447366	0.0460294	0.0566376	0.049815	0.0829723	0.119197	0.215421	0.353455
a70	0.0295327	0.0394966	0.0413623	0.0509003	0.0477311	0.0866875	0.120615	0.220019	0.363655
a13	0.0477399	0.0540408	0.0519101	0.0574945	0.0533087	0.0846597	0.114175	0.198677	0.337994
a38	0.0413999	0.0448379	0.0483222	0.0554498	0.0592557	0.106387	0.14191	0.200551	0.301886
a75	0.0534766	0.0547097	0.0521352	0.0533099	0.0499394	0.0855628	0.112421	0.194942	0.343503
a94	0.0676538	0.0713323	0.0666751	0.0714145	0.0543394	0.0768153	0.0911047	0.177021	0.323644
a75	0.0271607	0.0339547	0.0369663	0.0414322	0.0366762	0.0751041	0.113904	0.22309	0.411711
a66	0.0410444	0.0572587	0.0538064	0.0654241	0.0549331	0.0887714	0.109979	0.18852	0.340263
a57	0.0184735	0.0262752	0.033122	0.0423907	0.0407444	0.0811953	0.122607	0.225909	0.409283
a11	0.0101665	0.0160887	0.0216187	0.0326768	0.0398575	0.0673166	0.104675	0.235127	0.472473
a56	0.0111492	0.0124839	0.0162131	0.0266021	0.0405335	0.0692314	0.112168	0.22774	0.483878
a32	0.0188763	0.0196004	0.022828	0.0274405	0.0354916	0.0679571	0.111639	0.211291	0.484876
a90	0.0152785	0.0172568	0.0188262	0.0214565	0.0240422	0.0499279	0.0848692	0.207206	0.561137
a44	0.0175344	0.0192153	0.0226672	0.0265661	0.029619	0.058276	0.0969635	0.214426	0.514732
a98	0.019959	0.0244149	0.0298152	0.0342493	0.0348786	0.0611976	0.0943785	0.208328	0.492779
a73	0.0130816	0.0188931	0.0225878	0.0255561	0.0250682	0.0509877	0.0836452	0.222394	0.537787
a20	0.00784599	0.0135513	0.0181021	0.0238593	0.0184814	0.0457722	0.0773744	0.221439	0.573574
a73	0.0170179	0.0245729	0.0290712	0.031826	0.0181871	0.0410257	0.0668001	0.189658	0.581841
a32	0.00914498	0.013312	0.0182861	0.023567	0.0135628	0.0332372	0.0566494	0.211066	0.621175
a98	0.00429657	0.00634874	0.00700418	0.00928635	0.00656047	0.0201225	0.0395071	0.211095	0.695779
a73	0.00846745	0.0118698	0.0146502	0.0185321	0.015946	0.0398724	0.0696163	0.237888	0.583157
