 	le	désespoir	lui	a	brouillé	la	cervelle	</S>
a23	0.298295	0.175278	0.114544	0.129033	0.11735	0.0772642	0.0545205	0.0337151
a83	0.397659	0.230598	0.116026	0.07758	0.0674607	0.0442133	0.0326515	0.0338124
a9	0.338107	0.26483	0.143733	0.0883874	0.0524855	0.0357357	0.0409913	0.0357293
a75	0.374692	0.298665	0.170752	0.0912946	0.0368791	0.0095494	0.0101371	0.00803047
a41	0.296053	0.330875	0.196268	0.0969389	0.0364596	0.0138014	0.0156809	0.0139233
a37	0.237414	0.287478	0.232175	0.140547	0.0545269	0.0181088	0.0158994	0.0138505
a61	0.1971	0.237851	0.241891	0.158422	0.064479	0.0279765	0.033852	0.0384281
a62	0.171597	0.171537	0.219536	0.192823	0.105036	0.0427391	0.0452755	0.0514561
a31	0.124059	0.0984171	0.164575	0.200849	0.167892	0.0884982	0.0747843	0.0809263
a21	0.0880089	0.0620931	0.110402	0.171617	0.195368	0.145472	0.119517	0.107522
a41	0.0949961	0.0682896	0.0958098	0.162616	0.20977	0.147298	0.121543	0.0996782
a56	0.0437031	0.0336591	0.047193	0.080726	0.139648	0.165094	0.233869	0.256108
a12	0.0520332	0.0323374	0.0449128	0.0770475	0.154644	0.200065	0.224601	0.214359
a31	0.0365203	0.0246114	0.0360155	0.0671077	0.137554	0.207153	0.27407	0.216967
a88	0.0145196	0.0106491	0.0169195	0.0347891	0.0835832	0.172596	0.316249	0.350695
a90	0.00625254	0.00441217	0.00716889	0.0139212	0.0373191	0.124952	0.322683	0.483291
a76	0.00637283	0.00342785	0.00495423	0.0102559	0.0243941	0.093658	0.318323	0.538614
a98	0.00554857	0.00287231	0.00417434	0.00782407	0.0166891	0.0723869	0.279949	0.610555
a41	0.0090628	0.00472489	0.00642191	0.0113991	0.021604	0.0838051	0.265791	0.597191
a36	0.00848329	0.00418137	0.00559405	0.0108755	0.0240442	0.104172	0.285207	0.557443
a11	0.00238617	0.001234	0.00171825	0.00390695	0.0134579	0.0955276	0.274822	0.606947
a40	0.00447753	0.00211528	0.0024032	0.00569321	0.0163059	0.102081	0.254477	0.612447
a26	0.0139514	0.00851911	0.00974813	0.0194646	0.0452887	0.156834	0.265597	0.480597
a57	0.0089751	0.00478129	0.00472924	0.0102127	0.0277859	0.14736	0.268914	0.527242
a87	0.0552397	0.0400262	0.0397747	0.0511721	0.0827114	0.194156	0.222957	0.313962
a10	0.0959559	0.0642361	0.0591799	0.0661903	0.0897861	0.199631	0.215283	0.209738
a87	0.152292	0.0939018	0.0752391	0.0721361	0.0948157	0.158027	0.181129	0.17246
a23	0.11029	0.0676377	0.0602212	0.0741393	0.0988835	0.16626	0.205192	0.217377
a87	0.026954	0.0180959	0.0209859	0.0350088	0.0770949	0.200178	0.310677	0.311005
</S>	0.0283481	0.0188028	0.0188157	0.0345763	0.0689082	0.167031	0.303365	0.360153
