 	ici	on	se	lève	avec	le	jour	</S>
a23	0.348059	0.298839	0.194513	0.0846881	0.0367238	0.0164058	0.0100608	0.0107104
a87	0.36742	0.150891	0.0879067	0.0833873	0.0845384	0.0710478	0.0721892	0.0826195
a23	0.213166	0.130133	0.105694	0.0862484	0.0906876	0.0872315	0.120662	0.166177
a87	0.21573	0.0892913	0.0719393	0.0609066	0.0761339	0.0917053	0.148616	0.245677
a79	0.187564	0.0908272	0.0833378	0.0863882	0.0761509	0.0900412	0.144365	0.241326
a20	0.278634	0.169401	0.104916	0.065799	0.0516608	0.0674371	0.112796	0.149356
a69	0.271648	0.223079	0.174297	0.119599	0.0711103	0.0520618	0.0460012	0.0422039
a20	0.180808	0.173948	0.157228	0.136617	0.0996174	0.0798759	0.0843548	0.08755
a73	0.105113	0.135048	0.159059	0.185847	0.149922	0.0993241	0.0846373	0.0810496
a84	0.131792	0.175457	0.209938	0.19885	0.11585	0.0621819	0.0526906	0.0532416
a57	0.113693	0.143546	0.192538	0.229174	0.126697	0.0640555	0.061516	0.0687809
a87	0.0580361	0.0649487	0.0954964	0.158064	0.144605	0.111498	0.15219	0.215161
a23	0.0519285	0.0464469	0.0753315	0.154326	0.206698	0.161765	0.147127	0.156376
a40	0.0417358	0.0289334	0.0402469	0.0863458	0.148319	0.15053	0.220312	0.283577
a30	0.06948	0.072053	0.0810194	0.131906	0.151523	0.167204	0.175745	0.15107
a73	0.11819	0.133438	0.165592	0.205467	0.177924	0.0953827	0.059598	0.0444097
a84	0.091985	0.105251	0.151574	0.205594	0.189177	0.1117	0.081878	0.0628408
a11	0.0433254	0.0473685	0.0707195	0.13062	0.177639	0.163777	0.188641	0.17791
a54	0.0409373	0.0395176	0.0501689	0.0937888	0.162289	0.174398	0.214005	0.224895
a73	0.0510742	0.0514782	0.0617082	0.100062	0.141386	0.170338	0.207439	0.216515
a44	0.0562768	0.0573462	0.0632395	0.0731122	0.110383	0.174933	0.222863	0.241847
a20	0.0491465	0.0463851	0.0468664	0.0538006	0.0813899	0.166313	0.258546	0.297552
a73	0.0513825	0.0470692	0.0465814	0.0508672	0.0829484	0.157682	0.250665	0.312804
a58	0.0311474	0.028772	0.0273091	0.0312615	0.0624614	0.154812	0.28774	0.376497
a82	0.0199789	0.0180634	0.0179936	0.0204533	0.0371369	0.107705	0.299232	0.479436
a53	0.02289	0.0132703	0.0107102	0.0108213	0.0197221	0.0713371	0.284684	0.566565
a35	0.047646	0.0293534	0.0225128	0.0220277	0.0395383	0.098631	0.280435	0.459856
a32	0.0240538	0.0131715	0.00977647	0.0128069	0.0300798	0.0868133	0.281961	0.541337
a54	0.0217893	0.0135082	0.00993065	0.0117667	0.0248273	0.0752607	0.271806	0.571111
a73	0.0240475	0.0160108	0.012945	0.0186309	0.0392878	0.104367	0.287483	0.497228
a84	0.0077674	0.00456747	0.00328579	0.00506211	0.0159998	0.0596763	0.258618	0.645024
a57	0.00736983	0.00367862	0.00253969	0.00300194	0.011322	0.0486597	0.238658	0.68477
a87	0.0218057	0.0121627	0.00704096	0.00620251	0.0186385	0.057829	0.227026	0.649295
</S>	0.00560972	0.00369515	0.00380459	0.00678969	0.0222615	0.0751739	0.258473	0.624192
