 	ils	vont	débattre	sur	cette	question	après	demain	</S>
a66	0.401044	0.383388	0.113428	0.0323259	0.0190059	0.0174422	0.0126329	0.0101018	0.0106304
a87	0.502223	0.339397	0.0784849	0.0181957	0.0110666	0.0132178	0.0120305	0.0127865	0.0125979
a23	0.478951	0.234342	0.0706296	0.019263	0.0237777	0.0335052	0.0389917	0.0436417	0.056898
a54	0.308825	0.176982	0.0688161	0.0689161	0.0573049	0.0679212	0.0722806	0.073198	0.105755
a15	0.247128	0.194049	0.0752306	0.053757	0.0581497	0.0861778	0.0962198	0.0933284	0.0959601
a98	0.19679	0.312949	0.169469	0.0772897	0.0481565	0.0547842	0.0496275	0.0479985	0.0429359
a47	0.214065	0.379716	0.230473	0.0706145	0.0287115	0.0244358	0.0181141	0.0177874	0.0160819
a36	0.121098	0.328763	0.268829	0.136095	0.058023	0.034882	0.0188475	0.0159321	0.0175306
a56	0.126872	0.255977	0.243103	0.132242	0.0938737	0.0625032	0.0362822	0.0252569	0.0238894
a12	0.234526	0.315064	0.170426	0.0777499	0.0531651	0.0461612	0.0368367	0.0344146	0.0316568
a96	0.164163	0.254755	0.151001	0.115805	0.0854398	0.0753356	0.0597761	0.0493121	0.0444123
a90	0.10443	0.173274	0.136622	0.137746	0.117841	0.106	0.0844912	0.071126	0.0684707
a92	0.0605251	0.0958062	0.0946574	0.135908	0.142286	0.151001	0.123513	0.105888	0.0904155
a75	0.0243485	0.0355478	0.0300868	0.0670418	0.109166	0.196522	0.20808	0.183501	0.145705
a47	0.0105214	0.0171338	0.0149724	0.0511432	0.0892679	0.172486	0.222613	0.231205	0.190656
a96	0.00394301	0.00551651	0.00631447	0.0313288	0.0702868	0.187451	0.265386	0.222836	0.206937
a93	0.00360211	0.00426275	0.00456992	0.0255807	0.0581	0.14067	0.269454	0.239271	0.254489
a34	0.00316292	0.0036232	0.00308666	0.0185097	0.0470251	0.125254	0.281127	0.26578	0.252432
a62	0.00217404	0.00225349	0.00177634	0.00752622	0.0214462	0.0625811	0.199395	0.306556	0.396292
a96	0.00116911	0.00154891	0.00215383	0.00642816	0.0168112	0.0489347	0.149902	0.329761	0.443291
a88	0.000724635	0.00123648	0.00225834	0.00706114	0.0196721	0.052977	0.146445	0.325966	0.443659
a62	0.00109172	0.00157836	0.00464099	0.0168078	0.0387442	0.0744473	0.156266	0.322411	0.384013
a47	0.000845403	0.00126891	0.00295477	0.00963437	0.0252789	0.0595193	0.147175	0.332161	0.421163
a88	0.00137824	0.00233889	0.00755305	0.0208438	0.0402514	0.0694565	0.141591	0.302486	0.414101
a71	0.000459303	0.000597152	0.0021014	0.00983746	0.0245354	0.0526774	0.129409	0.316071	0.464312
a9	0.0154164	0.0219702	0.0373369	0.0760912	0.0986646	0.115935	0.153406	0.204697	0.276482
a99	0.146892	0.14202	0.112545	0.0869908	0.0919361	0.0903955	0.101051	0.110961	0.117208
a87	0.317653	0.257077	0.116642	0.0428305	0.0362117	0.0380602	0.0461448	0.0623043	0.0830763
a23	0.28084	0.226806	0.163288	0.0421971	0.0298493	0.0316813	0.0476738	0.0770968	0.100568
a99	0.0469373	0.0312363	0.0275716	0.0154397	0.0183291	0.0430365	0.121288	0.238694	0.457467
a26	0.0329425	0.0211085	0.0167652	0.0108336	0.0168224	0.0478584	0.131048	0.245159	0.477462
</S>	0.00648548	0.00434168	0.00468176	0.0045118	0.0107167	0.0480422	0.137674	0.248909	0.534637
