 	le	tilapia	meurt	à	cause	de	son	amour	pour	ses	enfants	</S>
a15	0.267164	0.215283	0.0887924	0.0762356	0.0889102	0.0811522	0.052355	0.0423169	0.040902	0.0221024	0.0127666	0.0120194
a66	0.32252	0.279763	0.115175	0.0663578	0.0486099	0.030538	0.0192095	0.0215992	0.023	0.0237745	0.0235064	0.0259465
a87	0.470535	0.352272	0.05269	0.0198713	0.0113672	0.00799187	0.00758541	0.0107932	0.0129064	0.0138362	0.0182164	0.0219349
a23	0.437204	0.377774	0.0665128	0.0237506	0.0150269	0.0106917	0.00909247	0.0113818	0.0127139	0.0113731	0.0116896	0.012789
a99	0.347642	0.293457	0.0677979	0.0346062	0.023255	0.02005	0.0233378	0.038325	0.0412964	0.0389341	0.0356569	0.0356407
a53	0.181118	0.233858	0.07016	0.0419125	0.0404198	0.0474653	0.0556115	0.0887794	0.0770139	0.0692592	0.0502522	0.0441493
a15	0.255949	0.218394	0.109367	0.0674506	0.0491447	0.0412767	0.0395934	0.0678734	0.0525926	0.0506173	0.0272502	0.0204905
a98	0.162257	0.163635	0.114344	0.0893247	0.0627344	0.0505593	0.0433532	0.0679478	0.0610618	0.0756972	0.0593811	0.0497039
a85	0.174776	0.151522	0.102813	0.0891153	0.0630633	0.0522433	0.0469975	0.0637841	0.0607511	0.0723412	0.065357	0.057236
a47	0.141181	0.0908421	0.0859598	0.118813	0.0896382	0.0676033	0.0561207	0.0595471	0.0638753	0.0768602	0.0787967	0.0707626
a15	0.119816	0.0972079	0.0697369	0.109806	0.0919125	0.0693039	0.0571175	0.0611265	0.062554	0.0811702	0.0910945	0.089154
a79	0.0882886	0.082406	0.0586497	0.0994184	0.0917396	0.0691598	0.0539265	0.0561227	0.0675595	0.0843786	0.118838	0.129513
a25	0.0480993	0.0438496	0.0489474	0.0985665	0.09825	0.0787551	0.0627353	0.0628969	0.0781669	0.0949976	0.134936	0.149799
a69	0.00885292	0.00964445	0.0249417	0.0697988	0.0805337	0.0728344	0.0608407	0.0714142	0.0945367	0.112662	0.173294	0.220647
a58	0.00913239	0.00855221	0.0192073	0.0464129	0.058767	0.0625729	0.0639292	0.0777106	0.105336	0.127304	0.190483	0.230593
a53	0.00682751	0.011585	0.0183064	0.0245596	0.0271749	0.0339279	0.0462375	0.0637012	0.100379	0.139207	0.236032	0.292062
a15	0.00709613	0.00525607	0.0159716	0.0298523	0.0416902	0.0589736	0.0752714	0.0878528	0.12755	0.143687	0.187823	0.218975
a56	0.00124463	0.0012953	0.00612813	0.0129532	0.0171849	0.0291474	0.0524667	0.0824694	0.12948	0.152731	0.214791	0.300108
a75	0.00250282	0.00179797	0.00809295	0.0163623	0.0178573	0.0270023	0.0475784	0.0615148	0.102361	0.147887	0.24338	0.323664
a79	0.000677691	0.000789673	0.00303116	0.00546569	0.00610279	0.0102855	0.0235079	0.042745	0.0843804	0.146494	0.267062	0.409459
a98	0.000536494	0.000472559	0.00296869	0.00505806	0.00516915	0.00964679	0.0259169	0.0469761	0.0822811	0.141546	0.277704	0.401724
a47	0.000228411	0.000220506	0.00130283	0.00227361	0.00272743	0.0060658	0.0190647	0.0417256	0.0769753	0.153732	0.281675	0.414008
a36	0.000332994	0.000440433	0.00196671	0.00284182	0.00342081	0.00638959	0.0154622	0.0315929	0.0519558	0.129234	0.306403	0.44996
a2	0.00115098	0.00116986	0.00685672	0.010804	0.0126367	0.0219764	0.039335	0.0633491	0.083499	0.154632	0.264054	0.340536
a57	0.0570258	0.0217241	0.0420103	0.0486246	0.0474555	0.0516069	0.0641509	0.0621446	0.0684987	0.101886	0.174658	0.260215
a87	0.278833	0.171059	0.0959185	0.0586596	0.0456017	0.0410884	0.0417052	0.0353615	0.0380726	0.0453841	0.0635739	0.0847425
a23	0.353263	0.230993	0.122139	0.0542905	0.0392131	0.0370962	0.0367285	0.0306427	0.0281442	0.0253331	0.0209164	0.0212405
a87	0.0411624	0.0252212	0.0445299	0.0350626	0.0394711	0.0510486	0.0832662	0.111376	0.140817	0.145423	0.140092	0.14253
</S>	0.0270301	0.0141322	0.0233728	0.0304803	0.0305893	0.0349307	0.0539975	0.0905324	0.121831	0.150278	0.195476	0.22735
