 	donne-	lui	de	l'	eau	dans	ce	gobelet	rouge	</S>
a85	0.21296	0.151514	0.130223	0.147904	0.160981	0.101992	0.0454641	0.0196839	0.0141126	0.0151643
a66	0.348237	0.174492	0.147631	0.140582	0.0960613	0.0342211	0.0169794	0.0148835	0.012782	0.0141301
a87	0.221622	0.13796	0.132378	0.121539	0.104074	0.055891	0.0374998	0.0377797	0.0521549	0.0991019
a10	0.314513	0.18416	0.163241	0.110155	0.0820074	0.0469634	0.0280961	0.0173617	0.0207665	0.0327364
a87	0.341645	0.181178	0.185304	0.104142	0.0635236	0.0338199	0.0249184	0.019793	0.0202115	0.0254654
a23	0.376423	0.183284	0.176577	0.105114	0.0670386	0.0296255	0.018197	0.0125767	0.0138684	0.0172956
a54	0.39655	0.18471	0.178884	0.0974383	0.0522379	0.0243199	0.0163726	0.0152759	0.0151755	0.0190359
a79	0.213815	0.218128	0.211828	0.117204	0.0546628	0.0251731	0.0186718	0.0408925	0.0458973	0.053727
a69	0.160085	0.177049	0.201442	0.128773	0.0897556	0.0657527	0.0436674	0.0492608	0.0396849	0.0445297
a44	0.153014	0.167695	0.187043	0.118647	0.0882992	0.0770747	0.0555718	0.0559482	0.0436309	0.0530771
a98	0.0689835	0.0967267	0.151915	0.131115	0.125717	0.125557	0.091614	0.0803782	0.0602154	0.0677793
a47	0.0495431	0.0858024	0.117399	0.117267	0.119498	0.132993	0.108749	0.0939042	0.0755818	0.0992619
a79	0.0549017	0.0809518	0.116099	0.129202	0.137172	0.138405	0.0831465	0.0695383	0.0772279	0.113356
a69	0.0278843	0.0456805	0.0709435	0.102422	0.136134	0.16233	0.116674	0.104253	0.0978293	0.13585
a90	0.0324759	0.0522494	0.0649024	0.125877	0.17854	0.185385	0.111749	0.0842764	0.0745712	0.0899738
a44	0.0261699	0.042039	0.047175	0.101383	0.164804	0.195631	0.129753	0.0990149	0.0897857	0.104244
a12	0.0178758	0.0263021	0.0263599	0.0520259	0.104169	0.181219	0.171086	0.141812	0.127523	0.151628
a21	0.0100851	0.0135114	0.0132104	0.0220189	0.0470484	0.118776	0.16834	0.180327	0.194752	0.23193
a5	0.00337976	0.00348463	0.00338984	0.00494636	0.0104939	0.0382874	0.107333	0.206746	0.287051	0.334889
a43	0.0024617	0.00245501	0.00232751	0.00324758	0.00624817	0.0214754	0.0947489	0.225195	0.304586	0.337254
a90	0.00228855	0.00257897	0.00233346	0.00297306	0.00512542	0.011352	0.0455991	0.157023	0.3138	0.456926
a4	0.00130564	0.00132579	0.00106415	0.00138478	0.00243484	0.00634055	0.0301696	0.124296	0.324502	0.507177
a13	0.0014058	0.00140021	0.00102662	0.00128381	0.00220259	0.00457768	0.0187353	0.101042	0.331129	0.537197
a3	0.00112929	0.00110297	0.000886979	0.00108694	0.00199265	0.00406793	0.0146063	0.0887058	0.299265	0.587156
a87	0.0229856	0.0139228	0.0134984	0.016137	0.0239949	0.0322239	0.0572506	0.134989	0.251789	0.43321
a23	0.23387	0.152616	0.145917	0.121514	0.102792	0.0683733	0.0488198	0.0411784	0.0415571	0.0433622
a87	0.035235	0.0259477	0.023788	0.0166845	0.0158833	0.0163437	0.0271601	0.098297	0.287286	0.453375
</S>	0.0106428	0.00959387	0.00976132	0.00886235	0.0131821	0.0220157	0.047706	0.136954	0.302555	0.438726
