 	aligne	les	enfants	devant	la	maison	</S>
a87	0.26035	0.141274	0.113763	0.121977	0.130423	0.125579	0.106634
a10	0.158167	0.0820973	0.0812886	0.100096	0.152501	0.202953	0.222897
a87	0.284959	0.108641	0.0799117	0.0749246	0.11533	0.156026	0.180207
a23	0.362469	0.128124	0.0749772	0.06359	0.0906053	0.124387	0.155847
a35	0.32275	0.148592	0.115527	0.0959821	0.105946	0.101657	0.109546
a73	0.591795	0.206679	0.0892937	0.0392973	0.0244587	0.020013	0.0284631
a94	0.620959	0.23334	0.0708444	0.0309945	0.0192563	0.0121366	0.0124691
a38	0.496821	0.270352	0.10725	0.0478808	0.0314815	0.0225682	0.0236462
a14	0.430042	0.266451	0.135445	0.062515	0.0407251	0.0310394	0.0337822
a44	0.414413	0.287832	0.166107	0.0655679	0.030233	0.0181602	0.0176872
a38	0.361182	0.277055	0.186815	0.0798125	0.04032	0.0267448	0.0280714
a35	0.30468	0.25636	0.219325	0.102268	0.0500044	0.0328155	0.0345468
a14	0.283559	0.238745	0.211657	0.116373	0.0664785	0.0427145	0.0404729
a30	0.236788	0.212027	0.212041	0.136028	0.0880021	0.060265	0.0548485
a57	0.107143	0.121856	0.191599	0.196464	0.145577	0.109511	0.12785
a87	0.0986079	0.0862015	0.140966	0.181127	0.170113	0.144878	0.178106
a23	0.0949935	0.103415	0.175599	0.20924	0.174641	0.121302	0.12081
a87	0.135389	0.143976	0.188214	0.181977	0.142651	0.101441	0.106352
a23	0.118167	0.130735	0.191106	0.206433	0.163669	0.104233	0.0856578
a87	0.100078	0.120679	0.209676	0.23134	0.158757	0.0938089	0.085661
a23	0.0752618	0.0989543	0.166166	0.211934	0.195796	0.139507	0.112381
a20	0.0581715	0.0762286	0.159616	0.254368	0.207362	0.12977	0.114485
a90	0.165924	0.174729	0.14649	0.13018	0.119642	0.115954	0.147081
a57	0.20533	0.173038	0.141147	0.12329	0.113077	0.114198	0.129921
a76	0.0617681	0.0613487	0.0714065	0.10717	0.154961	0.213601	0.329744
a94	0.0950233	0.0833627	0.0965341	0.145271	0.17277	0.180197	0.226843
a32	0.0583433	0.0516466	0.0582646	0.0894148	0.151126	0.249104	0.342101
a75	0.0371999	0.0348373	0.0493474	0.0809836	0.146433	0.255812	0.395386
a73	0.0326591	0.0336347	0.0508639	0.0854171	0.155472	0.264166	0.377787
a44	0.0124385	0.0134299	0.025554	0.0570042	0.131678	0.280997	0.478898
a30	0.0112412	0.00998954	0.0201714	0.0460133	0.112179	0.263592	0.536814
a35	0.005646	0.00590108	0.0175765	0.0509805	0.129825	0.286289	0.503782
a66	0.00641214	0.00466257	0.011406	0.0288644	0.0779618	0.242051	0.628642
a38	0.00481675	0.00529548	0.0143364	0.0421814	0.104815	0.251479	0.577076
a41	0.00624072	0.00500917	0.0130427	0.0382891	0.0923253	0.238297	0.606796
a24	0.00497939	0.00359142	0.00831777	0.0264492	0.0780726	0.24651	0.63208
a25	0.00671208	0.00577742	0.0119774	0.0293841	0.0744899	0.242449	0.62921
a87	0.0157749	0.0121939	0.0205569	0.0400192	0.0870865	0.230459	0.59391
</S>	0.0188324	0.0110709	0.0174574	0.0354746	0.0929904	0.285631	0.538543
