 	où	est-ce	qu'	il	habite	</S>
a23	0.367043	0.2194	0.127779	0.115851	0.0944598	0.0754675
a79	0.293139	0.208711	0.206034	0.12486	0.0831753	0.0840802
a54	0.424582	0.277877	0.13802	0.0683796	0.0450047	0.0461364
a47	0.596618	0.276601	0.0678814	0.0279089	0.0162364	0.014755
a5	0.39739	0.358518	0.149549	0.052241	0.0247902	0.0175116
a18	0.327276	0.332459	0.180114	0.0793169	0.0444707	0.0363634
a61	0.198353	0.248232	0.233996	0.127619	0.0986413	0.0931588
a47	0.173547	0.208406	0.238716	0.170088	0.119191	0.0900524
a61	0.167944	0.199508	0.242307	0.168716	0.117238	0.104286
a56	0.119538	0.143518	0.231253	0.214425	0.15906	0.132207
a13	0.110374	0.133201	0.211676	0.220861	0.173974	0.149916
a9	0.0596525	0.0658815	0.137101	0.243245	0.246388	0.247732
a50	0.0241506	0.0236988	0.0497329	0.142289	0.289674	0.470455
a83	0.0139451	0.0173248	0.0426256	0.110545	0.26408	0.55148
a9	0.0132436	0.0141482	0.031746	0.0932295	0.249786	0.597846
a99	0.0188334	0.0135379	0.0239929	0.0696387	0.221246	0.652751
a87	0.0798756	0.0508852	0.0747854	0.126226	0.221588	0.44664
a23	0.292209	0.145464	0.117794	0.128948	0.153438	0.162147
a87	0.19739	0.0924884	0.109433	0.176518	0.218468	0.205703
a23	0.0374042	0.0279969	0.0780995	0.197867	0.303712	0.35492
a87	0.10641	0.0620698	0.109752	0.199522	0.257462	0.264784
a23	0.0985356	0.0589246	0.108493	0.194688	0.25931	0.280049
</S>	0.184452	0.0871439	0.110773	0.167237	0.213409	0.236986
