 	personne	ne	respecte	le	fou	</S>
a15	0.34122	0.212342	0.208859	0.135041	0.0609358	0.0416022
a66	0.214398	0.278907	0.230701	0.142869	0.075968	0.0571569
a87	0.581281	0.178056	0.088472	0.0477712	0.0421593	0.0622601
a23	0.630583	0.182344	0.0800782	0.0404592	0.0299558	0.0365802
a50	0.562252	0.218745	0.0850405	0.0480224	0.0383707	0.0475691
a62	0.336166	0.166003	0.0883899	0.108449	0.111132	0.189861
a47	0.509193	0.237472	0.076509	0.0615311	0.0523964	0.0628979
a96	0.364258	0.275098	0.0968531	0.0906036	0.0759497	0.0972374
a90	0.297758	0.299565	0.124672	0.103587	0.0846742	0.0897433
a76	0.190553	0.272362	0.158468	0.137697	0.113241	0.127678
a15	0.139377	0.234129	0.168472	0.157472	0.144015	0.156534
a7	0.100601	0.195397	0.18555	0.142766	0.16484	0.210845
a40	0.0930178	0.167464	0.18511	0.129033	0.161169	0.264206
a85	0.079143	0.132406	0.157201	0.150019	0.202047	0.279183
a47	0.0383916	0.080904	0.13586	0.153268	0.251578	0.339998
a36	0.0377542	0.070818	0.13815	0.131407	0.208046	0.413825
a15	0.0356666	0.0452546	0.0891226	0.12162	0.211506	0.49683
a73	0.0216394	0.025138	0.0513747	0.105388	0.221679	0.574781
a15	0.0198602	0.0223497	0.0446641	0.100102	0.216666	0.596357
a69	0.0130258	0.0148267	0.0291559	0.0812977	0.217462	0.644232
a40	0.0134026	0.0145087	0.0238705	0.0751091	0.226451	0.646658
a47	0.0101186	0.0152066	0.0273856	0.0920933	0.28091	0.574286
a6	0.004054	0.00809996	0.0177684	0.0721431	0.256096	0.641839
a37	0.00368222	0.00595503	0.0126423	0.0482963	0.226507	0.702917
a26	0.0101731	0.018982	0.0339014	0.0960666	0.257938	0.582939
a57	0.0634007	0.0798435	0.105538	0.165682	0.252811	0.332725
a97	0.274617	0.161261	0.129944	0.117872	0.143382	0.172923
a87	0.297125	0.195228	0.150397	0.103844	0.11147	0.141935
a23	0.272979	0.171679	0.155365	0.123412	0.126405	0.150159
a87	0.181321	0.0900152	0.08069	0.0955648	0.167271	0.385138
a23	0.0530501	0.0419063	0.053266	0.0953502	0.191255	0.565172
a99	0.0750473	0.0540811	0.0655305	0.109113	0.198261	0.497967
a87	0.0815756	0.0701661	0.0917105	0.140647	0.209941	0.40596
a97	0.0359547	0.0350843	0.0486106	0.106351	0.208032	0.565968
</S>	0.128919	0.109548	0.0894697	0.116039	0.167741	0.388282
