 	il	a	eu	un	accident	</S>
a79	0.316419	0.170064	0.10871	0.0871377	0.158171	0.159499
a20	0.230614	0.142615	0.132973	0.122569	0.165665	0.205565
a30	0.410333	0.22032	0.141534	0.0794537	0.0877743	0.0605851
a35	0.451751	0.319135	0.149195	0.03951	0.0267028	0.0137056
a24	0.400684	0.325327	0.163519	0.0555413	0.0364904	0.0184385
a32	0.344914	0.305174	0.184997	0.0847127	0.0515078	0.0286946
a25	0.228687	0.252895	0.244501	0.13182	0.0860019	0.0560948
a58	0.134836	0.166688	0.249114	0.176021	0.146535	0.126806
a38	0.107198	0.142206	0.211999	0.180661	0.192149	0.165787
a94	0.127608	0.148351	0.208184	0.188816	0.192627	0.134415
a35	0.133886	0.130786	0.161594	0.164011	0.20303	0.206694
a76	0.0926077	0.0916854	0.135868	0.167508	0.240515	0.271816
a90	0.0881263	0.0742034	0.111489	0.166225	0.249999	0.309957
a58	0.0450922	0.0379984	0.0673429	0.133169	0.27802	0.438378
a82	0.0123015	0.0126279	0.0311013	0.088879	0.292092	0.562998
a38	0.00580206	0.00570474	0.015465	0.0559362	0.262847	0.654245
a76	0.00321415	0.0027173	0.00862091	0.0363346	0.242629	0.706484
a35	0.00324738	0.00284108	0.0086458	0.0337288	0.212828	0.738709
a98	0.00221594	0.0020775	0.00633917	0.0252597	0.182047	0.782061
a24	0.00183767	0.00162239	0.00580377	0.0254602	0.207498	0.757778
a9	0.00195274	0.00172539	0.00531437	0.0212298	0.163917	0.805861
a87	0.00296645	0.00327712	0.0108096	0.0434006	0.22893	0.710616
</S>	0.00412543	0.00458596	0.0133451	0.0563147	0.266187	0.655442
