 	je	m'	inquiétais	pour	toi	</S>
a66	0.583065	0.171631	0.0849033	0.0681566	0.0478922	0.0443524
a87	0.298271	0.219536	0.181502	0.136892	0.0847385	0.0790602
a97	0.329323	0.212703	0.1513	0.127218	0.0898889	0.0895684
a13	0.447563	0.240356	0.132528	0.0853603	0.0502581	0.0439342
a50	0.676386	0.216282	0.0454218	0.0269239	0.0180938	0.0168923
a62	0.674129	0.245449	0.0341394	0.0184651	0.0133892	0.0144285
a31	0.60317	0.274106	0.0576928	0.0284839	0.0195857	0.0169618
a47	0.492073	0.313024	0.0982784	0.0441525	0.027424	0.0250485
a62	0.41888	0.303152	0.11149	0.0636587	0.0515559	0.0512635
a47	0.284625	0.275167	0.17352	0.106597	0.0822666	0.0778236
a21	0.20011	0.194755	0.178659	0.145491	0.130814	0.150172
a85	0.0855295	0.118489	0.197119	0.188446	0.19504	0.215376
a6	0.0390961	0.0651266	0.198893	0.203338	0.214741	0.278805
a98	0.0222219	0.037166	0.101605	0.159261	0.261092	0.418654
a47	0.00872183	0.0147173	0.0526558	0.112288	0.255519	0.556099
a37	0.00147797	0.00258394	0.0123647	0.0519928	0.215272	0.716309
a26	0.00265646	0.00396313	0.0131961	0.0498472	0.207718	0.722619
a82	0.00821042	0.0099313	0.0343216	0.0903402	0.255638	0.601558
a97	0.0514094	0.0323952	0.0622381	0.150148	0.263463	0.440346
a10	0.108152	0.0693813	0.103547	0.188022	0.237231	0.293666
a97	0.0687646	0.0415904	0.0640243	0.159185	0.272758	0.393678
a87	0.0267085	0.021554	0.0476389	0.124994	0.290098	0.489007
a97	0.0257694	0.0251242	0.0663321	0.148708	0.294336	0.43973
a87	0.029368	0.0286841	0.0748239	0.154541	0.291986	0.420597
a97	0.034541	0.0342331	0.079279	0.160086	0.291483	0.400379
</S>	0.0833404	0.0704287	0.120381	0.176058	0.249022	0.300771
