 	pour	sécher	un	habit	il	faut	d'	abord	le	mettre	à	l'	envers	</S>
a15	0.14556	0.109472	0.0812208	0.0953857	0.0962007	0.13417	0.106195	0.0706224	0.0851358	0.0355479	0.0161117	0.00920831	0.00775943	0.00740901
a66	0.215439	0.182833	0.106776	0.0600496	0.0404707	0.068889	0.0695103	0.0602757	0.0670294	0.0389821	0.0207317	0.0169254	0.0223787	0.0297097
a87	0.324863	0.276468	0.12405	0.0618496	0.0312099	0.029603	0.0258156	0.0273776	0.0228524	0.0147502	0.00953033	0.00968677	0.0167584	0.0251852
a23	0.231927	0.267179	0.160347	0.0932293	0.0451363	0.0426487	0.0353342	0.0312851	0.0269993	0.0189248	0.0128037	0.00979424	0.0111579	0.0132337
a99	0.209185	0.259751	0.139098	0.0642633	0.0298624	0.0351012	0.0385289	0.0450885	0.0349224	0.0289243	0.0256694	0.0252564	0.0272614	0.0370885
a62	0.139794	0.170486	0.0863661	0.0428016	0.0287682	0.0397636	0.0563461	0.0892995	0.0889733	0.0700106	0.0547815	0.047619	0.0421956	0.042795
a12	0.196232	0.231486	0.165292	0.117735	0.0505371	0.0428271	0.0274884	0.0310764	0.0399038	0.0330087	0.0266557	0.0184155	0.0106631	0.00867855
a96	0.181323	0.230535	0.177032	0.116468	0.0468651	0.0344508	0.0213607	0.0240414	0.0321801	0.0316219	0.0336211	0.0321517	0.0220824	0.0162676
a93	0.160078	0.205142	0.171402	0.117012	0.0519235	0.035697	0.0224417	0.0247188	0.0327536	0.0360834	0.0404286	0.0426288	0.0338033	0.0258873
a56	0.123385	0.150114	0.142468	0.119697	0.0676475	0.0439189	0.0267479	0.0249155	0.0311671	0.0388697	0.0494475	0.0648405	0.0655354	0.0512458
a94	0.134404	0.146148	0.144801	0.128585	0.0775973	0.0528022	0.0310433	0.0252615	0.0322371	0.0352594	0.0409051	0.0496785	0.054976	0.0463007
a56	0.0914812	0.0992345	0.111722	0.115133	0.0881599	0.0681961	0.0426792	0.0324345	0.037379	0.0399908	0.0456045	0.0613777	0.0897835	0.0768239
a75	0.0734143	0.076538	0.103444	0.131214	0.11211	0.0858923	0.056108	0.0370843	0.0413339	0.0364959	0.0373803	0.0502515	0.0824157	0.0763173
a98	0.034293	0.0382715	0.0619406	0.0897287	0.0893024	0.0822706	0.0691443	0.0452615	0.0566263	0.0559917	0.059195	0.0724998	0.113665	0.13181
a15	0.0311167	0.0332713	0.0563594	0.0888787	0.102509	0.097709	0.0863027	0.0531441	0.0656146	0.0678209	0.0681365	0.0696328	0.0849006	0.0946034
a20	0.0223631	0.0229366	0.0394031	0.0796656	0.122323	0.113718	0.0985436	0.0605419	0.0666552	0.0645854	0.0638272	0.0646634	0.0843302	0.0964433
a85	0.0261836	0.0254433	0.035062	0.064296	0.110558	0.102511	0.0986898	0.0698017	0.0700424	0.0594731	0.0550818	0.0618713	0.102045	0.118941
