 	il	est	allé	vers	le	marigot	</S>
a23	0.212661	0.230739	0.196554	0.136047	0.0967053	0.0653793	0.0619141
a30	0.265823	0.209047	0.175942	0.122915	0.0894792	0.067577	0.0692166
a53	0.263693	0.209911	0.181571	0.0923123	0.0685713	0.0773903	0.106552
a20	0.300708	0.221536	0.186409	0.0802683	0.0682361	0.0722903	0.0705524
a30	0.414206	0.262096	0.198517	0.0550517	0.0331876	0.0215939	0.015348
a44	0.317109	0.238773	0.251707	0.0980584	0.0464269	0.0257714	0.0221547
a57	0.37435	0.227655	0.217819	0.0931908	0.0422396	0.0233919	0.0213535
a38	0.246258	0.162267	0.208715	0.136254	0.0880043	0.0738133	0.0846891
a35	0.249898	0.171641	0.232694	0.159174	0.0874184	0.0520391	0.0471353
a41	0.325434	0.238099	0.196853	0.118458	0.060878	0.0337847	0.0264926
a35	0.254865	0.242525	0.206638	0.131561	0.0752587	0.0490792	0.0400739
a30	0.215066	0.214082	0.197652	0.139618	0.09288	0.0725753	0.0681273
a35	0.166901	0.187192	0.214544	0.169586	0.106362	0.077589	0.0778267
a76	0.136642	0.143335	0.152848	0.154662	0.130948	0.136112	0.145454
a90	0.102436	0.109308	0.126199	0.162586	0.156866	0.164943	0.177661
a57	0.0815055	0.0796333	0.0942869	0.138974	0.163206	0.207633	0.234761
a38	0.0239799	0.0261745	0.0480034	0.097501	0.155835	0.254787	0.393719
a41	0.0118677	0.0126834	0.0281464	0.0670653	0.133433	0.26622	0.480584
a61	0.00546867	0.00536205	0.0117485	0.039122	0.103973	0.276648	0.557678
a32	0.0035856	0.00343535	0.00672743	0.0267044	0.0862342	0.275009	0.598304
a10	0.00386326	0.00347126	0.00556995	0.0184658	0.0581194	0.227826	0.682684
a26	0.00537009	0.00556851	0.0119551	0.0397281	0.0874238	0.23069	0.619264
a24	0.00546537	0.00518168	0.00990748	0.028643	0.0666421	0.216148	0.668012
a9	0.00279518	0.00269551	0.00467935	0.0173764	0.0547199	0.22294	0.694793
a99	0.00754221	0.00733236	0.0110785	0.0267277	0.061248	0.214187	0.671884
a87	0.0111669	0.0104598	0.0146326	0.0300715	0.0639035	0.221302	0.648464
</S>	0.0216222	0.0185788	0.0184706	0.0416008	0.0881129	0.252897	0.558718
