 	il	y	a	un	feu	de	brousse	</S>
a23	0.389934	0.21348	0.109003	0.0734287	0.0541103	0.0462364	0.0550553	0.0587523
a87	0.360494	0.262118	0.145467	0.0962158	0.0552856	0.0289247	0.0252353	0.0262583
a23	0.225159	0.209771	0.178508	0.13775	0.0935972	0.0538468	0.0466794	0.0546883
a40	0.387875	0.271958	0.147246	0.0720958	0.0330113	0.0228012	0.0271835	0.0378282
a20	0.395165	0.241744	0.135352	0.089114	0.0574725	0.0378023	0.0263095	0.0170399
a35	0.279204	0.250999	0.224104	0.149161	0.0587612	0.0202276	0.0108177	0.00672538
a73	0.24235	0.218812	0.218965	0.169719	0.0845973	0.0331811	0.0196995	0.0126755
a84	0.236982	0.174074	0.179964	0.160374	0.11856	0.0635736	0.0403551	0.026118
a38	0.117036	0.110242	0.144207	0.159466	0.154309	0.114472	0.101388	0.0988792
a41	0.121473	0.117483	0.15732	0.163646	0.14507	0.105278	0.0968125	0.0929181
a61	0.148107	0.135584	0.137767	0.129898	0.128506	0.12803	0.114027	0.0780815
a24	0.067367	0.0757506	0.0991436	0.115451	0.143707	0.167558	0.192112	0.138911
a32	0.0442703	0.0511402	0.0646826	0.0816911	0.119849	0.168703	0.242098	0.227567
a90	0.0466154	0.0473214	0.0562094	0.0684097	0.101948	0.146141	0.248274	0.285081
a94	0.0475811	0.0381543	0.0467798	0.0561534	0.100748	0.180839	0.28171	0.248035
a35	0.0183079	0.0177076	0.0227818	0.0312748	0.0602863	0.13261	0.308954	0.408077
a54	0.0196993	0.0145802	0.0176863	0.0259142	0.0544648	0.13079	0.316575	0.420291
a2	0.0211564	0.0137313	0.0149866	0.0219448	0.0486955	0.131173	0.334067	0.414246
a57	0.00392101	0.00252189	0.00324384	0.00536647	0.0122549	0.0412081	0.221263	0.710221
a87	0.00610989	0.003111	0.00262846	0.00419226	0.0111504	0.0408993	0.221302	0.710606
</S>	0.0108041	0.00528413	0.00443108	0.00714016	0.0206774	0.0676842	0.265848	0.618131
