 	aujourd'	hui	le	ciel	est	couvert	de	nuages	</S>
a66	0.185617	0.147461	0.158571	0.149409	0.147267	0.0966547	0.0568709	0.0395308	0.0186184
a87	0.183493	0.116474	0.113915	0.152345	0.15207	0.102875	0.0776919	0.0690958	0.0320409
a23	0.312255	0.155425	0.119898	0.128608	0.0891394	0.0595166	0.0452152	0.0535637	0.036379
a20	0.20952	0.11276	0.102917	0.139981	0.108497	0.0872695	0.0745909	0.0962137	0.0682495
a69	0.342971	0.183744	0.117161	0.100934	0.0694296	0.0466626	0.0397189	0.0543341	0.0450446
a15	0.260248	0.178819	0.147438	0.128001	0.0918724	0.0596827	0.0520458	0.0544858	0.0274086
a92	0.1448	0.131785	0.124113	0.111037	0.11397	0.112676	0.113959	0.0996464	0.048013
a56	0.0962098	0.0883415	0.101927	0.128752	0.132434	0.114952	0.113596	0.131677	0.0921105
a47	0.124579	0.114274	0.144146	0.166013	0.125704	0.0784638	0.0648999	0.085169	0.0967513
a62	0.119757	0.109249	0.138336	0.156913	0.132756	0.0917211	0.0807096	0.0901761	0.080382
a50	0.132674	0.132291	0.148908	0.160797	0.131242	0.0825237	0.0641538	0.0741628	0.0732482
a83	0.111138	0.125152	0.139788	0.157067	0.142198	0.0928711	0.0682922	0.0816705	0.0818222
a71	0.0783441	0.100792	0.10629	0.122773	0.150767	0.120374	0.0979939	0.115816	0.106852
a58	0.0619238	0.0794293	0.0875497	0.101744	0.131355	0.121151	0.105556	0.148312	0.16298
a93	0.050657	0.0574905	0.0606419	0.0683476	0.113229	0.143573	0.14579	0.187391	0.17288
a62	0.0479405	0.0551509	0.0484782	0.0449581	0.0721299	0.0957769	0.124949	0.219706	0.290911
a96	0.035955	0.0425139	0.0414534	0.0458695	0.0756997	0.116231	0.147275	0.230595	0.264407
a98	0.0166097	0.0192423	0.0181715	0.0200627	0.0361554	0.0778243	0.142138	0.285123	0.384673
a92	0.00647962	0.0113106	0.0115301	0.0100875	0.023568	0.0683964	0.143314	0.26688	0.458434
a56	0.00602655	0.0096841	0.00878499	0.00840786	0.0201074	0.0613158	0.129984	0.256881	0.498808
a96	0.00550266	0.00750891	0.00704286	0.0079153	0.0177654	0.0512292	0.114324	0.251865	0.536847
a11	0.00359748	0.00392042	0.00300332	0.00320431	0.00792114	0.0327108	0.092909	0.250396	0.602337
a62	0.00223088	0.00237269	0.00169989	0.00149197	0.00387125	0.0185306	0.0654839	0.248449	0.65587
a96	0.00339694	0.0037051	0.00303094	0.00286619	0.00714369	0.0287242	0.0865039	0.287002	0.577627
a18	0.00292808	0.00315808	0.00238797	0.00222485	0.00582401	0.0241004	0.0744541	0.259778	0.625145
a26	0.0789402	0.072714	0.0440317	0.0329883	0.0414472	0.0726005	0.101616	0.186511	0.369151
a82	0.199657	0.153036	0.0980042	0.0725503	0.065292	0.0739398	0.0774802	0.104162	0.155878
a97	0.219354	0.137957	0.110304	0.0996378	0.0834509	0.0832036	0.0777965	0.0864338	0.101863
a87	0.187904	0.119093	0.0994644	0.0983878	0.089887	0.0958441	0.0903416	0.103447	0.115631
a23	0.149115	0.100672	0.0802276	0.0785918	0.0806371	0.103286	0.109734	0.132712	0.165024
a87	0.114521	0.0791589	0.0419274	0.0344102	0.035097	0.0554582	0.0868056	0.164946	0.387676
a23	0.0412486	0.0334371	0.0220746	0.0214057	0.0350074	0.0663348	0.110949	0.185768	0.483775
a99	0.0691385	0.0621249	0.042307	0.0421271	0.0593606	0.0886672	0.119855	0.168213	0.348207
a97	0.0970894	0.08806	0.0608646	0.0648891	0.0835334	0.0998312	0.11247	0.138207	0.255055
</S>	0.091709	0.0695787	0.0449122	0.0471316	0.0629522	0.0811617	0.0969857	0.138794	0.366774
