 	tu	manges	tellement	vite	que	je	ne	veux	pas	manger	dans	une	même	assiette	que	toi	</S>
a66	0.254301	0.208685	0.0912482	0.0605887	0.0510557	0.0526124	0.0501166	0.0514334	0.0540888	0.0390069	0.0284227	0.0179087	0.0126197	0.00945241	0.00629978	0.0058265	0.0063342
a87	0.217425	0.0796281	0.035179	0.0359724	0.041302	0.0513625	0.0593183	0.0717887	0.0707246	0.0682019	0.0549758	0.0446392	0.0402433	0.0347307	0.028987	0.0312587	0.034263
a23	0.34328	0.111462	0.0888583	0.0801348	0.0686371	0.0635123	0.0464236	0.0347154	0.026118	0.0196676	0.0161519	0.0153353	0.0123652	0.0133897	0.014874	0.0200393	0.0250358
a70	0.235683	0.0995295	0.0879307	0.0774452	0.0751579	0.0744883	0.057482	0.0460885	0.0344926	0.0265472	0.0232225	0.0223293	0.0207197	0.0213228	0.0252847	0.0304971	0.0417786
a93	0.181465	0.153385	0.113889	0.0808943	0.0657885	0.0564083	0.042843	0.0362555	0.0337338	0.0285758	0.0270983	0.028681	0.0265784	0.0256229	0.0271452	0.0314675	0.0401689
a44	0.321395	0.307372	0.132192	0.0517563	0.0331593	0.0220113	0.0128081	0.0101144	0.00996141	0.0095517	0.00978008	0.0123202	0.0132784	0.0139836	0.0114993	0.012913	0.0159039
a47	0.235992	0.243193	0.162565	0.0772396	0.0540874	0.0373673	0.0223193	0.0168501	0.0142054	0.0120471	0.0115603	0.0138974	0.0155006	0.0188796	0.0185335	0.0205788	0.0251832
a61	0.159177	0.201635	0.18515	0.0994914	0.0724089	0.0561253	0.0371161	0.0265764	0.0187583	0.0142493	0.0134189	0.0145754	0.0150293	0.0178964	0.0202513	0.0217893	0.0263523
a47	0.153364	0.180129	0.165886	0.0970181	0.0800109	0.0671342	0.0494522	0.0345054	0.0238985	0.0172407	0.0154793	0.0160099	0.01649	0.0194922	0.0201424	0.0203652	0.0233825
a62	0.110935	0.14305	0.151877	0.104837	0.0910745	0.0811663	0.0686289	0.0528787	0.0373736	0.025106	0.0212293	0.0193121	0.0185327	0.0194241	0.01856	0.0172521	0.0187628
a96	0.098069	0.141156	0.137724	0.0952289	0.0911066	0.0840389	0.075266	0.060491	0.0457441	0.0307384	0.0236325	0.019292	0.0186439	0.0196457	0.0189427	0.019031	0.0212497
a98	0.0518155	0.122734	0.146432	0.102052	0.0971307	0.0951461	0.0864694	0.0686188	0.0484749	0.0311439	0.0240557	0.0195498	0.0182486	0.0200265	0.0209621	0.0220614	0.0250784
a79	0.0362713	0.119419	0.119144	0.0848425	0.0857119	0.0865568	0.080627	0.0650281	0.0493374	0.0350485	0.0273801	0.0212083	0.0208697	0.0246458	0.0338608	0.0474403	0.0626083
