 	la	panthère	a	attrapé	le	cabri	</S>
a23	0.438555	0.235422	0.11458	0.0668355	0.0593574	0.0427734	0.0424773
a30	0.431464	0.213994	0.111544	0.0739482	0.0552367	0.0528585	0.0609546
a99	0.315495	0.227801	0.151174	0.0916835	0.0672174	0.0682746	0.0783545
a53	0.359636	0.23832	0.136695	0.0744631	0.0570101	0.0620618	0.0718143
a90	0.537482	0.238924	0.103325	0.0468917	0.0309497	0.0236768	0.0187507
a41	0.357041	0.258588	0.182784	0.089895	0.0502076	0.0342747	0.0272099
a27	0.34315	0.285246	0.198179	0.0902392	0.0405581	0.023991	0.0186368
a25	0.236872	0.234369	0.194907	0.129622	0.078332	0.0626974	0.0632001
a40	0.120125	0.136553	0.136615	0.135939	0.118717	0.144135	0.207917
a41	0.248748	0.247005	0.184757	0.125432	0.0824509	0.0599103	0.0516974
a24	0.262873	0.250789	0.181824	0.127664	0.0798031	0.0532987	0.0437476
a25	0.199227	0.223281	0.187115	0.142944	0.104297	0.0752056	0.0679318
a62	0.128544	0.184806	0.188016	0.156063	0.136083	0.105505	0.100983
a41	0.0768837	0.0883638	0.0965346	0.119854	0.173126	0.224374	0.220863
a35	0.0738418	0.0767358	0.0786911	0.0983052	0.164352	0.234346	0.273729
a94	0.0509681	0.0526452	0.0562577	0.0740972	0.149051	0.26308	0.353901
a90	0.0355671	0.037742	0.0416233	0.0581098	0.132716	0.275434	0.418807
a31	0.0252107	0.0236828	0.0270639	0.044305	0.112809	0.27041	0.496519
a32	0.0144619	0.0129285	0.0167677	0.0321053	0.0930859	0.259278	0.571373
a24	0.0104873	0.0075543	0.00803991	0.0133221	0.0462197	0.19747	0.716907
a9	0.0133469	0.0100403	0.0109894	0.0186173	0.06077	0.223465	0.662771
a87	0.0179647	0.0131558	0.0130458	0.0200606	0.0581441	0.208653	0.668976
</S>	0.0100842	0.00838715	0.0105092	0.0193879	0.0723296	0.255022	0.624279
