 	le	constructeur	de	cette	maison	est	décédé	</S>
a66	0.26855	0.262818	0.213694	0.115004	0.0642319	0.0441753	0.0190283	0.0124983
a87	0.323764	0.268315	0.152013	0.122307	0.0771417	0.0341205	0.012641	0.00969725
a23	0.308584	0.338721	0.164713	0.0996666	0.0445074	0.0197027	0.0140158	0.0100893
a13	0.347509	0.326303	0.138619	0.0768429	0.0303411	0.0126846	0.021455	0.0462453
a53	0.218081	0.280801	0.159378	0.149862	0.0855015	0.0415347	0.0311878	0.0336539
a44	0.201277	0.254036	0.235716	0.179568	0.0830097	0.0269636	0.0113633	0.00806648
a70	0.115751	0.170394	0.24632	0.223996	0.138685	0.0668046	0.0274144	0.0106343
a62	0.0603009	0.0850724	0.161676	0.243813	0.261491	0.117062	0.0511938	0.0193904
a88	0.0385608	0.036868	0.0926405	0.194239	0.327742	0.179345	0.0929429	0.0376617
a61	0.0155157	0.0101956	0.0350846	0.129049	0.319702	0.279248	0.153189	0.0580158
a21	0.01508	0.00764015	0.0239348	0.080707	0.21858	0.295479	0.2519	0.106678
a5	0.00594494	0.00311056	0.00852658	0.0289154	0.0990328	0.230982	0.365431	0.258057
a94	0.00276437	0.00116634	0.00189867	0.00547859	0.0283651	0.122728	0.367978	0.469621
a15	0.00208234	0.000671116	0.000914253	0.00219944	0.00968111	0.0517213	0.272605	0.660125
a7	0.002226	0.00101216	0.000739799	0.000844138	0.00258192	0.0172977	0.166964	0.808335
a2	0.00514594	0.00287642	0.00274357	0.00331845	0.00919855	0.0378707	0.179118	0.759728
a57	0.207921	0.126379	0.0650167	0.0361305	0.0377875	0.0542854	0.137239	0.33524
a87	0.399171	0.237815	0.159513	0.0841306	0.0400665	0.0259163	0.0253209	0.0280664
a23	0.258794	0.203808	0.169031	0.121357	0.0862894	0.0698304	0.053286	0.0376045
a87	0.171856	0.134249	0.0710042	0.0457479	0.0314726	0.0381751	0.141663	0.365833
</S>	0.0213313	0.0132942	0.0088883	0.00961605	0.0149649	0.04665	0.253791	0.631464
