 	il	tend	la	corde	de	son	arc	</S>
a23	0.290844	0.152767	0.0626888	0.0437917	0.0431515	0.0646581	0.115703	0.226397
a87	0.478005	0.160763	0.0704969	0.044706	0.0378093	0.0438826	0.0592604	0.105077
a23	0.328773	0.156267	0.0798697	0.0689552	0.0639193	0.066452	0.0948489	0.140915
a20	0.139997	0.0742092	0.0466861	0.0451266	0.0561856	0.0865416	0.182386	0.368868
a73	0.399868	0.15165	0.100953	0.110114	0.0730928	0.0517574	0.0518072	0.0607575
a7	0.421122	0.199353	0.136765	0.0974941	0.0631802	0.0319638	0.0274676	0.0226543
a30	0.405822	0.190126	0.134929	0.10054	0.0710567	0.0388616	0.0324864	0.0261787
a2	0.217035	0.215538	0.191412	0.141406	0.0999287	0.0508197	0.0453922	0.0384693
a38	0.16778	0.171362	0.185489	0.165558	0.130885	0.0677768	0.0599691	0.0511803
a41	0.149091	0.161616	0.18465	0.173025	0.141542	0.071106	0.0639087	0.0550611
a35	0.127404	0.123283	0.204505	0.194111	0.145521	0.07275	0.0684468	0.0639794
a26	0.0966066	0.100629	0.193593	0.200104	0.160458	0.0896497	0.0830136	0.0759466
a32	0.0818514	0.0916527	0.140982	0.16111	0.174346	0.131562	0.112664	0.105833
a41	0.0711358	0.0754225	0.0989166	0.137945	0.173554	0.165914	0.149252	0.12786
a0	0.0424463	0.0546611	0.0944824	0.148517	0.19119	0.179449	0.15544	0.133813
a11	0.0217874	0.0258295	0.0349331	0.0603877	0.110478	0.186741	0.245776	0.314068
a31	0.0165593	0.0184895	0.024765	0.0495889	0.0947892	0.172956	0.268819	0.354033
a88	0.00836092	0.0104308	0.0157589	0.0325045	0.0648362	0.142269	0.264087	0.461753
a75	0.00820619	0.0116101	0.0155324	0.0274031	0.0500455	0.118935	0.247058	0.52121
a41	0.00333061	0.0061256	0.0159859	0.0336921	0.0608897	0.141639	0.259123	0.479214
a12	0.00381664	0.00889315	0.0195954	0.0390643	0.0805505	0.171124	0.283223	0.393733
a31	0.00349098	0.00629815	0.0157239	0.0306824	0.0570379	0.133978	0.267703	0.485086
a24	0.0029198	0.0051378	0.0102662	0.0198014	0.0322408	0.0808893	0.211289	0.637455
a12	0.00149495	0.00281628	0.00520991	0.0104053	0.0219267	0.0759175	0.225257	0.656972
a96	0.00208622	0.00324209	0.0053044	0.0104361	0.0206839	0.0740674	0.214731	0.669449
a75	0.00296063	0.00419316	0.00775173	0.0143108	0.0264952	0.0780055	0.216272	0.650011
a41	0.00325029	0.00345117	0.00690278	0.0161983	0.031726	0.0923042	0.219947	0.62622
a76	0.00221282	0.00223815	0.00452344	0.0114247	0.0244084	0.0840067	0.216855	0.65433
a20	0.00172107	0.00163669	0.00466762	0.0130801	0.0303315	0.0983351	0.240303	0.609925
a84	0.00142568	0.00128988	0.00317727	0.0091826	0.0212967	0.0754616	0.215614	0.672552
a57	0.000830457	0.00125394	0.00273489	0.0059017	0.0126928	0.0609027	0.218167	0.697516
a87	0.000731966	0.000907261	0.00216641	0.00748797	0.0193317	0.0924292	0.286112	0.590834
</S>	0.000788498	0.00152622	0.00326294	0.0105683	0.0259507	0.100906	0.298193	0.558805
